host,label,n_points,SDE,SDE_raw,FAP,period,period_uncertainty,T0,duration,depth,depth_mean,depth_mean_std,depth_mean_even,depth_mean_odd,odd_even_mismatch,rp_rs,snr,transit_count,distinct_transit_count,empty_transit_count,pl_names,n_planets_in_catalog,ra,dec,st_rad,st_teff,st_mass,n_original,n_after_quality,n_after_outliers,n_final,points_removed_pct,pre_norm_median_flux,flux_source,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,depth_duration_ratio,r_star_used,m_star_used
55_Cnc_B,1.0,17335.0,24.811415181735356,21.575957658702997,8.0032e-05,0.7368553294736554,0.0018388718847304,1870.6963387956023,0.0559734895123318,0.9997037840367688,0.999722856354541,4.504806061471771e-06,0.999718553037006,0.9997274896604312,0.7009690497439891,0.0156618874595595,58.60256803268128,37.0,34.0,3.0,55 Cnc B b; 55 Cnc B c,2.0,133.167908,28.3152863,0.274,3286.0,0.26,18225.0,17347.0,17335.0,17335.0,4.883401920438956,1339412.4,pdcsap_flux,3.110921808570564e-08,2.7154136583791983e-05,0.000231332602408,2.004932055137776,17.860308384320383,0.274,0.26
61_Vir,1.0,15050.0,4.677917623445721,4.69259966083516,,3.0686562118932676,0.0161665915114361,1571.3915282246662,0.027083870597836,0.9999709751474544,0.999960869349691,9.067179736598466e-06,0.9999653328071748,0.9999575503684854,0.3017316012120543,0.0051677696394292,4.441395188640329,8.0,7.0,1.0,61 Vir b; 61 Vir c; 61 Vir d,3.0,199.596455,-18.3157745,0.963,5577.0,0.942,16416.0,15054.0,15050.0,15050.0,8.32115009746589,3809970.8,pdcsap_flux,1.0555981349347009e-08,2.893225033073244e-05,2.5888168387888655e-06,0.8032761584536251,36.921272811994314,0.963,0.942
6_Lyn,1.0,17625.0,4.621806218649183,4.929077269946982,,11.958087141675776,0.027047839029465,1843.003936268238,0.0499287104901835,0.9996598857729504,0.999615057069456,1.931617613493502e-05,0.999615057069456,,,0.0176675744809899,16.646856513304318,3.0,2.0,1.0,6 Lyn b,1.0,97.6960311,58.1611753,4.94,4941.0,1.32,17625.0,17625.0,17625.0,17625.0,0.0,1522726.6,pdcsap_flux,3.690496315464372e-08,0.0001142107099263,-9.802106124334742e-06,-0.1709263554385848,20.02174452251263,4.94,1.32
70_Vir,1.0,13218.0,4.922214443727941,4.378043787489774,,2.9702919878236105,0.0035420185212505,1930.4922857964796,0.0343673573449895,0.9999247644783394,0.999965251906244,5.057382910441225e-06,0.999960321528776,0.999970291847656,0.6991767339864599,0.0050984494118946,6.321391223265973,30.0,23.0,7.0,70 Vir b,1.0,202.1064898,13.7763085,1.89,5495.0,1.09,15686.0,13219.0,13218.0,13218.0,15.733775341068467,3130000.2,pdcsap_flux,1.3614247028876756e-08,3.0436948475676137e-05,4.393977406147442e-06,,29.09518920645555,1.89,1.09
75_Cet,1.0,14843.0,6.268323948644913,4.256656143226774,0.048819528,1.147937118033697,0.0053225086222152,1411.598505699473,0.0632269954149729,0.9997998056190008,0.9998134792151444,7.33198707408892e-06,0.999778972536754,0.999847472146462,3.3626522369170693,0.0125488730979038,24.06055574491448,22.0,18.0,4.0,75 Cet b; 75 Cet c,2.0,38.0391598,-1.0350269,10.38,4809.0,1.92,15670.0,14843.0,14843.0,14843.0,5.277600510529679,2551068.2,pdcsap_flux,4.79159259299428e-08,0.0001703936509911,0.000121976865725,2.5088581575408515,15.812862829509632,10.38,1.92
7_CMa,1.0,14621.0,5.488275879030344,4.503569104936496,,1.8283470750409627,0.003085262103168,1468.505150158325,0.0539909204821218,0.9998194526642826,0.9998652762598366,1.0991342351363232e-05,0.9999179134133572,0.9998161327227,3.3514866232462492,0.010084105789923,16.49995146081001,24.0,23.0,1.0,7 CMa b; 7 CMa c,2.0,99.171276,-19.2561808,4.87,4826.0,1.34,14664.0,14621.0,14621.0,14621.0,0.2932351336606631,9455263.0,pdcsap_flux,2.9908974887512895e-08,0.0001279955124202,3.5122619592264925e-05,1.155757795410387,18.518288699955697,4.87,1.34
8_UMi,1.0,17654.0,5.580583365369038,4.480330399365458,,1.2202139441479334,0.0055118867329037,1684.0038567921877,0.0970435500899318,0.9997588095223592,0.9997890335010376,7.929141475747097e-06,0.9998569323957776,0.9997142562812148,6.594493752641899,0.0139664884202122,23.308750509475995,22.0,21.0,1.0,8 UMi b,1.0,224.201685,74.9009379,10.73,4847.0,1.51,18418.0,17654.0,17654.0,17654.0,4.148115973504185,661441.0800000001,pdcsap_flux,1.1389344359087785e-07,0.0001967497993341,0.0001870004146695,0.1104045169489055,10.302166487065517,10.73,1.51
91_Aqr,1.0,9432.0,5.0721073841373885,4.591944010030507,,5.130267730654274,0.0588206531341208,2451.7170678672833,0.0630036490038592,0.9991894318069776,0.9991351463171652,1.0079338335468025e-05,0.9991298324397564,0.9991404601945744,0.3738283832245585,0.0256036525930763,24.783189303677737,4.0,2.0,2.0,91 Aqr b,1.0,348.9745031,-9.0878076,11.0,4665.0,1.4,15017.0,9432.0,9432.0,9432.0,37.19118332556436,7692871.25,pdcsap_flux,1.0406479372537549e-07,5.31387740898559e-06,-0.0001841782469775,,15.85923113351377,11.0,1.4
AB_Aur,1.0,15605.0,2.995024997544,5.606151648226542,0.06282513,6.674698415601831,0.0497459182282193,2476.3679723958976,0.1208854477897673,0.9980552512242966,0.9980410779871042,8.636638191061817e-05,0.9986858679779048,0.9961364675527395,12.57302926885097,0.0419466056326319,31.91958444659919,3.0,3.0,0.0,AB Aur b,1.0,73.9410446,30.5510888,2.95887,9770.0,2.4,16865.0,15605.0,15605.0,15605.0,7.471093981618737,277533.4,pdcsap_flux,9.60466260821863e-07,0.001248554593838,-2.6888468367847196e-05,1.1148633836581232,8.25620675997347,2.95887,2.4
AB_Pic,1.0,18254.0,6.129363081288338,3.754554572763062,0.028651461,4.0389987840988475,0.049280129224676,1327.5604824406971,0.0377801892869159,0.9985710425116388,0.998418350511914,0.0002203159186821,0.9995036527781817,0.996519071545946,4.996925205345649,0.033984707709588,19.823478543863665,7.0,7.0,0.0,AB Pic b,1.0,94.8039208,-58.0541184,0.999394,5285.0,0.9,18276.0,18276.0,18254.0,18254.0,0.1203764499890569,78672.78,pdcsap_flux,1.06080023088333e-06,0.0025901843467343,8.910549175800142e-05,,26.43107568699942,0.999394,0.9
AF_Lep,1.0,17314.0,3.859989456038482,3.871803102774338,,7.031264467482671,0.0530615945276586,1439.6397400810142,0.0729109832974946,0.994406090546794,0.9957343977076136,0.0005100860908437,0.9932431669320244,0.9994514721981756,7.822695845973955,0.0546678726128247,34.32768892531855,5.0,5.0,0.0,AF Lep b,1.0,81.7699216,-11.9011752,1.25,6140.0,1.218,17651.0,17314.0,17314.0,17314.0,1.909240269673107,771090.2,pdcsap_flux,2.2356459627626243e-06,0.0063754867574681,9.45567378310974e-05,0.7346250724144736,13.638632282455642,1.25,1.218
AT2021ueyL,1.0,104127.0,4.87114125092315,7.869770854327863,0.000240096,0.8684682095767416,0.0006874073221977,3533.6767835245423,0.020781653354323,0.9957023275295382,0.9949114489920352,0.0013211949566979,0.9958815397642844,0.9938847049186867,0.5341029813559605,0.0660976961413815,3.815738463818263,34.0,33.0,1.0,AT2021ueyL b,1.0,324.5450417,26.4665694,,3680.0,0.49,108899.0,104127.0,104127.0,104127.0,4.3820420756848115,168.95135,pdcsap_flux,0.0006293394715123,0.0047178686545553,-0.0002515641865887,,47.91256549962673,1.0,0.49
