host,gaia_teff,gaia_status,gaia_distance_pc,simbad_sptype,simbad_parallax_mas,simbad_status,stellar_param_flags,stellar_param_verified_clean,stellar_param_could_be_checked
TIC_31752971,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,A2V,4.4501,Success,,True,True
TIC_234518259,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,A2V,5.6004,Success,,True,True
TIC_315652389,6749.58447265625,Success,225.4420928955078,,4.4117,Success,,True,True
TIC_245878670,4375.62255859375,Success,91.79509735107422,,,Not found in SIMBAD,,True,True
TIC_101932572,6553.80517578125,Success,159.7866973876953,F3V,6.3061,Success,,True,True
TIC_316832189,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,Fm_dD,3.4131,Success,,True,True
TIC_76527960,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,,Not found in SIMBAD,,False,False
TIC_370134610,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,2.2574,Success,,False,False
TIC_219322317,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,1.7734,Success,,False,False
TIC_219920019,7613.400390625,Success,282.02960205078125,A3mA7-F2,3.4674,Success,,True,True
TIC_464139856,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,A2Ib,0.8148,Success,,True,True
TIC_61724376,5664.59130859375,Success,296.69000244140625,,3.3252,Success,,True,True
TIC_328153490,3624.146728515625,Success,98.17050170898438,,,Not found in SIMBAD,,True,True
TIC_166766868,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,3.223,Success,,False,False
TIC_160991022,5754.73095703125,Success,166.8905029296875,,4.4719,Success,,True,True
TIC_100566535,10524.0859375,Success,274.6026916503906,A0V,3.7743,Success,,True,True
TIC_122314621,18715.421875,Success,1107.69091796875,B0II,0.9121,Success,TIC Teff (6551K) vs Gaia teff_gspphot (18715K) disagree by 186%; TIC Teff (6551K) inconsistent with SIMBAD spectral type 'B0II' (expected roughly 10000-30000K),False,True
TIC_76758733,5251.20166015625,Success,233.0825958251953,,4.246,Success,,True,True
TIC_87775884,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,,Not found in SIMBAD,,False,False
TIC_61135882,5505.05615234375,Success,639.246826171875,,1.4982,Success,,True,True
TIC_326512158,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,A1/2IV/V,2.0999,Success,,True,True
TIC_382384315,7676.57666015625,Success,179.1717987060547,A6IV/V,5.1688,Success,,True,True
TIC_303993393,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,,Not found in SIMBAD,,False,False
TIC_464422047,8053.03955078125,Success,152.08740234375,A2mA5-A9,6.7132,Success,,True,True
TIC_217602397,7193.80419921875,Success,2322.633056640625,,,Not found in SIMBAD,,True,True
TIC_166606391,6249.10205078125,Success,88.97129821777344,F6V,11.2065,Success,,True,True
TIC_125108479,6199.63720703125,Success,1408.9984130859375,,,Not found in SIMBAD,,True,True
TIC_277800037,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,A1V,3.9677,Success,,True,True
TIC_30214880,7382.45849609375,Success,461.318115234375,A1/2(m)F2-F3,2.0623,Success,,True,True
