host,status,SDE,SDE_raw,FAP,period,period_uncertainty,T0,duration,depth,depth_mean,depth_mean_std,depth_mean_even,depth_mean_odd,odd_even_mismatch,rp_rs,snr,transit_count,distinct_transit_count,empty_transit_count,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,depth_duration_ratio,elapsed_s,st_rad,st_teff,st_mass,sector,ra,dec,st_rad_err,st_mass_err,predicted_probability
TIC_456611043,Success,7.214757818159844,6.12621881612757,0.006562625,0.3392747881839382,0.0003908555196167,4153.518624369628,0.0142208288165728,0.937685622612862,0.9957696678953952,0.0116220932451539,1.006754855418985,0.9847145110245216,0.6710064021429618,0.2244922108044014,0.3502699714109401,71.0,63.0,8.0,0.090985333875796,0.1167611946437949,-0.0035352115687428,-0.5065282189715137,65.93748048778208,91.42382800008636,0.376189,3271.0,0.364375,104.0,282.366487829897,-58.321076309861,0.0365823,0.0447596,0.892092736551836
TIC_57237703,Success,8.278446556791566,5.471449540642471,0.001040416,8.33983700296565,0.0911638399216361,4179.618329858993,0.0696737570480574,0.8454693621222678,1.021480214278411,0.014747571838079,1.026468123820012,1.011404637004378,0.3641870461947304,0.3535203719499287,-1.4403372412322293,3.0,3.0,0.0,0.0334435517142267,0.0072370410352209,-0.0075679544694611,1.7002941039180832,12.134688840435375,43.23136716708541,0.777793,3993.0,0.62,104.0,272.337402639077,-33.9894461863,,,0.8897283605931037
TIC_229144939,Success,6.541009311156985,5.0186946288516445,0.020968387,0.2450666503298052,7.836848137966757e-05,1354.354609624327,0.0013636563032246,0.9979510720183576,0.9959829021231608,0.0012506737132526,0.9948979855732892,0.9970895170040296,0.6231160490661387,0.0407071308882517,3.663225572219936,111.0,101.0,10.0,0.0001214850619228,0.0125691152607948,0.0003110479720486,-3.463561756440506,731.8200852065879,437.57952945900615,0.147,50000.0,0.5,104.0,26.822767146964,-51.5608928136199,0.111,0.3,0.8893646122022336
TIC_116416387,Success,8.683830761878593,7.1994060214615425,0.000320128,0.1336607381911079,4.3653163602969114e-05,1354.2231014336082,0.0072731486140693,0.996849636388756,0.9970721602992368,0.0005661288096207,0.9966875417628236,0.9974645962855768,0.4853625644508713,0.0504762971165038,5.369471626097956,205.0,194.0,11.0,0.0002926237207282,0.0075696711197068,0.0008266036288147,1.3921488779866609,137.0588845744784,191.75891391700137,0.18,31000.0,0.47,104.0,7.90178950355249,-40.6319541155575,0.104,0.03,0.887818465525036
TIC_161172848,Success,7.48412099072946,4.973273507141554,0.004001601,7.39924512552776,0.0681476636875868,1332.2992507271576,0.088265078507,0.9985379370812916,0.9986170089063168,0.0001285516513734,0.9993544446173483,0.99712984688907,6.996856235278666,0.0343866745339737,15.16268482883128,3.0,3.0,0.0,1.489029768153852e-06,0.0011702510127301,0.0001528505318144,2.5312678064298835,11.312944529949068,53.15288895799313,0.847445,5327.0,0.92,104.0,339.876139647712,-52.0881322520608,0.045113,0.115606,0.8832347980864437
TIC_143951327,Success,6.800333693712585,6.023085906894677,0.013445378,9.672814291072186,0.0464839184851584,2061.954525358664,0.1257457876099868,0.998648066321548,0.9988502150431045,0.0001478480362811,0.9985435482253134,0.9994635486786856,2.121843432753537,0.0330662420369785,8.672860743392857,3.0,3.0,0.0,4.7368717735198626e-06,0.0004763730164078,9.485532110398154e-05,-0.4950219285810797,7.941801354165082,45.62036912504118,0.573226,3843.0,0.565674,104.0,333.618726052055,-50.030833905274,0.0170766,0.0203144,0.8824872289162912
TIC_372347022,Success,10.251797406173589,9.936944161087077,8.0032e-05,2.2226796277883865,0.0029639023006948,3127.4131540202575,0.0222263737829966,0.9998883520842418,0.9998776133416865,2.7958459062744353e-05,0.999862590771948,0.9999013990771064,0.4904966177466655,0.0095023813788689,4.5444801684494065,11.0,10.0,1.0,1.1255443786650237e-07,6.313731250290737e-05,6.066958644912468e-06,-0.3925117448325251,44.98657144194899,39.76357791700866,57.0499,3995.0,,104.0,315.809029383305,-66.0355345606604,,,0.8805718511444134
TIC_425863648,Success,5.959621091641085,4.130290062791323,0.060904362,0.9833856112643796,0.0013499387966502,1355.0059144974846,0.0283374257356899,0.9997598944367108,0.9997810454872806,3.4584095889335195e-05,0.9997545525226618,0.9998102866847436,0.5695031765458954,0.0139350412381909,6.03988262731829,27.0,26.0,1.0,6.627639952126647e-07,0.0001582649546004,4.159128200220685e-05,2.077048256671062,35.28054749085937,111.58527637494262,4.08759,4855.0,,104.0,351.880160362703,-47.4595924426567,,,0.8788932914674141
TIC_41957773,Success,5.883896676441143,5.574179951088328,0.068347339,15.594858807317388,0.0907570860579207,3944.875746823939,0.0467230722544182,0.9989750622051936,0.9987585846312586,0.0002249284374516,0.9992084570913422,0.9980935557772216,1.8448508752361903,0.0287909437419056,5.633542010922267,3.0,2.0,1.0,2.7647917961198743e-06,0.0005574506570602,1.8738090269976304e-05,-0.9217524447476648,21.38076573315933,108.3248247500742,1.05585,5521.0,0.97,104.0,22.3905705171572,-36.0855131155736,0.0620126,0.121929,0.8776898621236052
TIC_166674855,Success,7.33425672949412,5.300354783008598,0.005282113,0.4321440864584816,0.0009170201630461,1354.447538486062,0.0161646371568453,0.9995329583146968,0.9995875020686684,8.212617938985366e-05,0.9996392816999736,0.9995364706979314,0.4429775073192767,0.0194350189860716,5.180218705766272,63.0,60.0,3.0,4.372969666441091e-06,0.0007067278292299,0.0001925866143064,0.0094220774220558,61.83454343059087,82.02566337492317,0.589915,4249.8,0.66,104.0,34.5676352937029,-49.0376295416342,0.0531331,0.0787954,0.876853993853657
