host,injected_period,injected_depth_ppm,repeat,baseline_days,r_star,m_star,is_control,injected_duration_hours,n_transits_in_baseline,rp_earth_implied,tls_period_min,tls_period_max,period_in_search_range,recovered_period,recovered_sde,recovered_snr,detected,alias,score,classified_planet,status,elapsed_s
TIC_141616639,3.0,1200,4,25.949558808514666,0.58,1.0,False,1.4694797172730651,8.649852936171555,2.1915320170820407,0.2656910167139323,12.970612839835882,True,3.000868451062454,6.05017581358486,4.885038486971775,True,exact,0.983899273724736,True,ok,19.22980275005102
TIC_103245940,3.0,1200,9,25.702693253206235,0.92,1.0,False,2.3544269271153264,8.567564417735412,3.476223199509444,0.5303136985312915,12.849263298600581,True,3.250236763026485,16.182843035818713,24.86476511671813,False,,0.7956464862287186,True,ok,11.85255820909515
TIC_41865539,3.0,2500,3,27.354670184955467,1.11,1.0,False,2.7730583381170724,9.118223394985156,6.053718000000001,0.7029625242321041,13.614834343012712,True,3.003070621912686,14.354582016958114,13.891453818969634,True,exact,0.8135512998617808,True,ok,1.0531315002590418
TIC_137284119,1.0,5000,6,27.162940687427636,3.16,1.0,False,3.8060283590317647,27.162940687427636,24.37256784764642,0.6011786339329722,13.578692527608599,True,0.9995175554681114,22.20851984966182,318.0956038061225,True,exact,0.20425443437221932,False,ok,46.891831249929965
TIC_386297468,3.0,2500,1,24.70878760436699,1.6,1.0,False,3.9357133245808162,8.236262534788997,8.726080000000001,1.2155158285125123,12.352310428804905,True,2.99451405429449,9.279318995181859,13.515544521729044,True,exact,0.30862603229498975,True,ok,5.209471791982651
TIC_169532369,3.0,2500,4,25.546149676266168,1.62,1.0,False,4.228039175489318,8.515383225422056,8.835156000000001,1.2375373095906237,12.770297041052451,True,3.001918385939825,8.295484651651151,28.123820292973623,True,exact,0.48321172721163164,True,ok,5.722285875119269
TIC_241174783,3.0,2500,7,26.58040682138153,2.68185,1.0,False,6.305420053006609,8.860135607127177,14.626273529999999,2.625043623914777,13.286731249138477,True,2.986672040355788,8.204019867029622,80.20610066784849,True,exact,0.05090421889471745,False,ok,2.143754417076707
TIC_317397615,3.0,1200,2,24.440541790874704,4.04,1.0,False,8.95713632795075,8.1468472636249,15.265154050019733,0.6012079821088884,12.216798628977804,True,2.9987038139734614,13.029827858994679,41.28345893699874,True,exact,0.1783337877693134,False,ok,31.3497830000706
TIC_417705690,3.0,2500,2,24.9259989928064,1.04,1.0,False,2.5943338419202,8.308666330935466,5.671952,0.6366116710355674,12.459527333031241,True,3.0009720401297217,17.207968947104906,52.52513445312879,True,exact,0.6919531757832498,True,ok,10.124560582917184
TIC_380517859,3.0,1200,3,27.69741391939351,0.49,1.0,False,1.2825658329840928,9.232471306464504,1.8514667040865518,0.2062780187152777,13.845929146291825,True,1.111173917722763,16.31163732461803,11.024837284361736,False,,0.2767601756252612,False,ok,31.906386457849294
TIC_377290815,3.0,2500,8,28.200277128785274,1.84,1.0,False,4.695531074186289,9.400092376261759,10.034992,1.4949773596584035,14.096666316702786,True,2.9967783323925183,12.843688351680372,74.99484578353304,True,exact,0.8375212281709233,True,ok,5.290447958279401
TIC_274662200,3.0,2500,0,26.04462685606927,0.53023,1.0,False,1.3206584306850544,8.681542285356423,2.8917683739999998,0.23207910785598018,13.018146735561224,True,2.9975409040207524,20.346883312763243,16.782086560590486,True,exact,0.863731353346485,True,ok,20.778571124654263
TIC_307734817,3.0,5000,1,26.334599854084217,1.59204,1.0,False,3.7092097058193287,8.778199951361406,12.279146492457912,1.2030317634307626,13.163133337412878,True,3.000570350519456,11.930771667042384,38.86738354231827,True,exact,0.9704733390082932,True,ok,5.060967250261456
TIC_122220263,3.0,5000,3,26.849800203672658,1.65,1.0,False,4.226158363205411,8.94993340122422,12.726182578676134,1.2727946240942276,13.422122345819377,True,2.998809409834739,17.45884745751362,104.66366691158218,True,exact,0.8610843754583655,True,ok,3.197266375180334
TIC_224418572,3.0,5000,4,26.44738539674563,1.94,1.0,False,4.815901938828642,8.815795132248544,14.962905577352545,1.6170719689901427,13.220220461576886,True,3.0056952439751723,10.824937738886954,39.48540674921955,True,exact,0.5952028152616607,True,ok,2.509573417250067
TIC_299876474,3.0,2500,5,24.456575197919392,0.64,1.0,False,1.662222814356232,8.152191732639798,3.4904319999999998,0.30778757672046864,12.22550987078943,True,2.595330703302615,16.799810457493727,12.195348142436771,False,,0.44020182914989103,True,ok,16.762207542080432
TIC_420645189,3.0,2500,9,25.063728802741707,1.03,1.0,False,2.5269673770193375,8.354576267580569,5.617414,0.628829029855171,12.528392214133975,True,2.995211237898452,14.575441976435947,47.26557824672938,True,exact,0.5020325627988991,True,ok,10.8669280000031
TIC_34466256,3.0,5000,8,21.72871459828343,1.6,1.0,False,4.1837357403404845,7.242904866094477,12.340540682352616,1.2151314527630093,10.812275481027193,True,3.0071969376686507,10.759824298644535,21.479508477175603,True,exact,0.4499419444419236,True,ok,0.4125553332269192
TIC_311121985,3.0,5000,5,24.95724255637697,1.86,1.0,False,4.766712173902361,8.319080852125657,14.345878543234917,1.5237790919172234,12.474454606344112,True,2.988420874033237,10.69136976981673,99.01628411401492,True,exact,0.8078836424684293,True,ok,3.5033149998635054
TIC_468977648,3.0,5000,6,25.0171180550833,2.08,1.0,False,5.1089288402411706,8.339039351694433,16.042702887058404,1.7950787859193573,12.50508675730588,True,3.0065715922649323,6.374043298666912,15.834883724746138,True,exact,0.5244750156485949,True,ok,3.381760625168681
TIC_307734817,3.0,5000,9,26.334599854084217,1.59204,1.0,False,3.7912587890841474,8.778199951361406,12.279146492457912,1.2030317634307626,13.163133337412878,True,3.000570350519456,12.757482603287226,45.998912580146126,True,exact,0.9646449761104225,True,ok,5.321230791974813
TIC_80478272,3.0,5000,7,28.759714508929846,1.48,1.0,False,3.7306471960937495,9.586571502976616,11.415000131176171,1.081142345236777,14.376385055413934,True,3.007365941107553,12.378966504385465,53.57322988366383,True,exact,0.9669499906052248,True,ok,7.614652167074382
TIC_277871306,6.0,700,0,24.16133836904828,1.04,1.0,False,3.429947176348629,4.026889728174713,3.001314888059085,0.6377093230706057,12.078585838080917,True,3.956754435381226,17.65782042818287,27.44626592401766,False,,0.38761648534713516,True,ok,7.583892291877419
TIC_386297468,6.0,700,2,24.70878760436699,1.6,1.0,False,5.113523579562207,4.1181312673944985,4.6174075200909,1.2155158285125123,12.352310428804905,True,2.0916449850048493,9.436471848075506,8.005321085636607,False,,0.20603851344872134,False,ok,4.626954167149961
TIC_237751146,3.0,5000,2,21.77257683706989,0.433512,1.0,False,0.9163098546150072,7.2575256123566305,3.34360779518003,0.17158836834495664,10.883510615053172,True,1.6704692204237344,16.491979186969644,11.455516424123328,False,,0.16474327899911959,False,ok,20.037312250118703
