host,raw_var_oot_rms,raw_var_excess,raw_var_ls_amp,raw_var_ls_power,raw_var_ls_period,savgol_var_oot_rms,savgol_var_excess,savgol_var_ls_amp,savgol_var_ls_power,savgol_var_ls_period,gp_protect_var_oot_rms,gp_protect_var_excess,gp_protect_var_ls_amp,gp_protect_var_ls_power,gp_protect_var_ls_period
TIC_113553629,0.001293632944603066,0.9772294606733835,0.0001555322129736922,0.029947022182123837,2.0798529645708568,0.001275987314005873,0.9639119109449477,6.935967153535958e-05,0.006754590577813774,0.26106940977876864,0.0012680367900717582,0.9579035790039022,5.080394184721522e-05,0.003894364522203673,0.20424088031792373
TIC_182943944,0.0015438178452697392,1.050845305586355,0.0004645503118936328,0.11515227129604534,1.10830058063556,0.0014874866686365746,1.0124694575086,0.00043163853111528254,0.13784270605440885,0.2758545498057671,0.001410680223900651,0.9602133662643086,4.6700304705083156e-05,0.0028998161189658367,0.22087824622895635
TIC_31858844,0.16999272709334362,0.964050261441791,0.028554033932778767,0.03426747178493197,8.958266389006033,0.16451716202763778,0.9228466020982975,0.016943242325532265,0.015855627307075303,0.29719367167318594,0.16125299132126794,0.9042119154085465,0.006516911724407469,0.0028674930911154134,0.2478571728183488
TIC_284305328,0.00644409163506203,0.9655966294605581,0.0006818160042663375,0.02155733965892816,0.7637795674151717,0.006328984296358435,0.948082243490321,0.0007364146596956551,0.029492434672245063,0.2296780539719233,0.006272232187424029,0.9395257049883046,0.00041266201069884513,0.010446368866101138,0.2296780539719233
TIC_444413256,0.0044924389085746474,1.058234057923449,0.001373517532569126,0.13120650299817027,1.3296405344412567,0.0041602162595282795,0.9797183873712997,0.0003873737725400002,0.018849010854487393,0.3338501159463957,0.004081515235512112,0.9612131613342595,0.00015295328900946317,0.003576619953400057,0.2226739229791062
TIC_463203560,0.0017174923695229103,1.0139615209040762,0.00031703276497843273,0.05365914201833039,0.9957265354081394,0.0016704150503793562,0.9862290915439484,0.0002585230406354875,0.04647502221326436,0.24874847991703908,0.0016236594975679395,0.9586258569326036,7.403628443010923e-05,0.004817204150553587,0.24874847991703908
TIC_286132427,0.0012819879292809695,3.448200989453574,0.0010116656622002648,0.41619116258745453,5.031725142877737,0.0006500200081158415,1.7485299317934044,5.774975125385151e-05,0.013949426231962136,0.2269951192275671,0.000643892463098183,1.7320629162241141,1.511325052871674e-05,0.0012885061793027775,0.21680682841843035
TIC_387834907,0.0006184630074134395,1.3926971678281108,0.0002119319768753778,0.08877821603206029,5.524210591008398,0.0005366563834074445,1.2084350401473132,8.640781401673374e-05,0.029707064152838265,0.3420563833441732,0.0004892297609556053,1.1015950036649735,5.891234426655901e-06,0.00032962522992362826,0.20235203630067392
TIC_335489455,0.005075831417679865,0.9389639133783287,0.0003174516640465042,0.009504275614679258,1.6710122936516385,0.005026790868714203,0.9301233820332279,0.00024907339057926505,0.0062534243254376825,0.2108286538719357,0.005075951855209457,0.9389862089975783,0.0003174282392108573,0.009502931684880535,1.6710122936516385
TIC_374177909,0.009354989340695634,0.9610579319506128,0.003095985208343969,0.05404036635583687,6.025272724160506,0.008658355042860286,0.8893095639016454,0.0018348256350397868,0.022413425996858263,4.240006731816653,0.00861749448321665,0.8850756426046316,0.0013583202866639366,0.01297433623968726,0.21478458116144392
