host,in_skew,in_kurt,out_skew,out_kurt,skew_diff,kurt_diff,n_in,n_out,wavelet_e1,wavelet_e2,wavelet_e3,status
CoRoT-5,-0.1958070516622115,0.1086227026443849,0.007781376942041096,0.006671294449996701,-0.20358842860425258,0.1019514081943882,235.0,13958.0,0.38075167730730913,0.5175149240374475,0.10173339668314596,ok
DH_Tau,0.17965357991286057,-0.8029626071588725,1.3791408524996855,14.75992715180163,-1.199487272586825,-15.562889758960502,50.0,15267.0,0.595841509554609,0.37100593160328316,0.033152558780164904,ok
DE_CVn,1.0134016294400514,-0.6330487358744175,-0.1139528216294545,0.5264187683668164,1.127354451069506,-1.159467504241234,830.0,11350.0,0.06405053682066092,0.3195770496625866,0.6163724130413689,ok
CoRoT-24,0.11777407803641092,-0.29081553854189357,0.02925741563713707,-0.011365802957640003,0.08851666239927385,-0.27944973558425357,102.0,14323.0,0.6475805836906529,0.3006862145457419,0.05173320015168502,ok
DENIS-P_J082303.1-491201,-0.04761164295887248,0.1799654419347756,-0.006864152688434516,0.12193420346326356,-0.04074749027043796,0.05803123847151204,100.0,12783.0,0.5574926570316773,0.37740897748026836,0.06509836547922546,ok
DMPP-4,0.13678878299689193,0.3020863479440772,0.11772406121510826,0.4752487514889099,0.019064721781783672,-0.1731624035448327,236.0,17695.0,0.635999797672254,0.24024422092115932,0.12369683698310369,ok
DMPP-3_A,0.1022672383692506,0.43604769084365014,0.14677033643808615,0.2756551877843796,-0.04450309806883555,0.16039250305927055,186.0,17706.0,0.6065331048868835,0.24073764916863238,0.1527230914186308,ok
CoRoT-6,0.5966733424652397,0.002386686692370965,-0.017694935244340418,-0.04481744099858487,0.6143682777095801,0.04720412769095583,76.0,11758.0,0.5663422483467115,0.20573733606062106,0.22792041144139188,ok
DMPP-1,-0.0430749381132144,-0.0506294906081588,0.1943058226089022,0.5662209877183946,-0.2373807607221166,-0.6168504783265534,149.0,14163.0,0.5212795230835441,0.39673490671897144,0.08197886367498354,ok
DP_Leo,,,,,,,,,,,,no usable ephemeris
DMPP-7,-0.1051056086781238,0.17648729171932676,0.23514523967638068,0.45283593179059123,-0.3402508483545045,-0.2763486400712645,211.0,12819.0,0.47088669127894056,0.37924013987539723,0.1498689051474545,ok
CoRoT-7,0.013200115225745008,-0.07756146929227237,0.04425210506550898,0.016739440435191266,-0.031051989839763972,-0.09430090972746363,337.0,13609.0,0.5121262386374469,0.24410094965097012,0.24377252145727385,ok
EPIC_201427007,0.004311787557357066,0.08137386649417166,0.02295469776306644,0.030707882317093205,-0.018642910205709372,0.05066598417707846,81.0,9843.0,0.5210806330511432,0.29932053097162575,0.1795988320633676,ok
EPIC_201238110,-0.34777154755126755,-0.6894488739582045,0.017153648271152535,0.04712071645330651,-0.36492519582242006,-0.736569590411511,73.0,15766.0,0.575007400857945,0.23322531465697868,0.19176728063257556,ok
Barnard's_star,0.08219471665228639,0.35677133322680765,0.008508075149461343,0.3763624796166698,0.07368664150282506,-0.019591146389862146,4021.0,79143.0,0.5156102032193712,0.30548914877831473,0.17888272675151068,ok
DS_Tuc_A,-0.07787438917186175,-1.5026240033234939,1.8947500183153068,13.879687547659366,-1.9726244074871686,-15.382311550982859,155.0,17888.0,0.5713942453643648,0.29095315178602016,0.13765256019945898,ok
DMPP-8,0.3108289643798708,0.4778277854111863,0.2450610079170245,0.5630178440964673,0.06576795646284628,-0.08519005868528096,156.0,16741.0,0.5617566837460454,0.3086706850243463,0.12956743342209098,ok
DMPP-6,0.01960599221530708,0.05971907929044873,0.16445904143723825,0.416906649504337,-0.14485304922193115,-0.35718757021388825,278.0,17442.0,0.5841170821122513,0.3115068356410766,0.10436386608017194,ok
EPIC_201170410,0.11808170237322606,-0.5264728512995687,0.009558108640028104,0.13348442121977921,0.10852359373319795,-0.6599572725193479,168.0,15706.0,0.575487541180346,0.36192438057145826,0.06258807788410777,ok
EPIC_206032309,-0.027110658410334516,-0.21671924205731363,0.009517553174089376,0.07103848327934825,-0.03662821158442389,-0.2877577253366619,224.0,8849.0,0.539973595774591,0.2649134599797372,0.1951129432798385,ok
EPIC_201497682,0.09497323045129642,0.3878407283363039,0.0029097500843543035,0.002336120786400997,0.09206348036694212,0.3855046075499029,233.0,15489.0,0.5675670247723692,0.24558653381995327,0.18684642645689792,ok
EPIC_206024342,-0.8576055039444953,0.3488068110364133,-0.01609035508835905,0.06660202216254651,-0.8415151488561362,0.2822047888738668,31.0,9648.0,0.7469844226270942,0.16938106709375358,0.08363448864993397,ok
EPIC_206317286,-0.11820159935030147,-0.38949510692932376,0.08801166017613304,0.18188389316155718,-0.20621325952643452,-0.5713790000908809,93.0,9346.0,0.4561829815298669,0.35808869390980674,0.18572831515184487,ok
