host,tic_id,rad,e_rad,mass,e_mass,Teff,logg,e_logg,rho,e_rho,lum,lumclass,priority,contratio,numcont
TOI-1294,219015370,1.58143,0.0794221,1.02,0.130472,5714.0,4.04857,0.0776156,0.2579,0.0540979,2.40190148,DWARF,0.00115576969,0.0035580683,43
TOI-1295,219852584,1.59715,0.0727236,1.32,0.207623,6470.0,4.15195,0.0865258,0.323995,0.0749679,4.02718973,DWARF,0.002508492,0.0101527516,53
TOI-1296,219854185,1.75475,0.0942867,0.963,0.124632,5494.0,3.93327,0.0803157,0.178231,0.0403706,2.52742052,DWARF,0.002172379,0.0193477161,58
TOI-1298,237104103,1.48668,0.0724271,1.02,0.12403,5731.0,4.10223,0.076039,0.310419,0.0683782,2.14808059,DWARF,0.00253177341,0.0019119099,44
TOI-1301,356867115,0.731699,0.0479774,0.77,0.0878583,4781.0,4.59589,0.0873154,1.96559,0.493268,0.2520196,DWARF,0.00969472248,0.00485889753,92
TOI-132,89020549,0.940806,0.0527538,0.91,0.113124,5304.0,4.45011,0.083551,1.0928,0.256805,0.6311159,DWARF,0.00140121044,0.00405893056,48
TOI-1333,395171208,1.80173,0.0767587,1.42,0.261268,6696.0,4.07897,0.0942338,0.242782,0.0616928,5.879463,DWARF,0.000172498039,0.6174468,1268
TOI-1338_A,260128333,1.51811,0.0699799,1.02,0.122643,5723.2,4.08406,0.0743385,0.291535,0.0585864,2.22769952,DWARF,0.00169670011,0.0185551289,98
TOI-1346,219852882,0.784109,0.0494724,0.819,0.096527,4965.0,4.5626,0.0883415,1.69885,0.439016,0.3366082,DWARF,0.006998998,0.440801442,64
TOI-1347,229747848,0.846387,0.0434397,0.945,0.120799,5424.0,4.55836,0.0780316,1.55857,0.342092,0.55861336,DWARF,0.006838702,0.0241112821,112
TOI-1386,343019899,1.03088,0.0525527,1.033,0.128555,5769.0,4.42576,0.0775995,0.942935,0.204973,1.06049633,DWARF,0.0002525057,0.317404717,1324
TOI-139,62483237,0.700727,0.0575277,0.69,0.0852195,4405.0,4.58582,0.101468,2.0054,0.601312,0.166562289,DWARF,0.00512776244,0.000145170634,55
TOI-1408,364186197,1.48504,0.114601,1.375,0.406981,6594.0,4.23289,0.164253,0.419845,0.192609,3.75635171,DWARF,0.004866322,0.0033035602,146
TOI-1410,199444169,0.778749,0.0617714,0.71,0.085434,4507.0,4.50653,0.099479,1.50337,0.43646,0.225444853,DWARF,0.00330170267,0.07330506,337
TOI-1411,116483514,0.68962,0.0637914,0.65,0.0805444,4184.0,4.57376,0.107379,1.98191,0.67174,0.131304979,DWARF,0.009122653,0.001387601,35
TOI-1416,158025009,0.801873,0.0532161,0.81,0.10277,4946.0,4.53834,0.0914034,1.57097,0.425117,0.346675,DWARF,0.006035704,0.192992315,33
TOI-1420,321857016,0.940037,0.0535176,0.935,0.117864,5387.0,4.46259,0.0853171,1.12558,0.269074,0.670458853,DWARF,0.00186963868,0.0182649549,295
TOI-1422,333473672,1.00826,0.0466332,1.076,0.141953,5914.0,4.46274,0.0787366,1.04977,0.224661,1.12037838,DWARF,0.00209733658,0.0255991574,128
TOI-1431,375506058,1.93656,0.0619095,1.758,0.29612,7575.0,4.10903,0.0818989,0.242062,0.0506154,11.1246481,DWARF,0.000333105883,0.00504324352,822
TOI-1437,198356533,1.2224,0.0548341,1.144,0.152159,6093.0,4.32207,0.0785303,0.626305,0.132662,1.855436,DWARF,0.0119748022,0.00270146085,82
TOI-1438,229650439,0.815924,0.0458266,0.9,0.111979,5259.0,4.56901,0.0857944,1.65689,0.398056,0.458782971,DWARF,0.009308255,0.053155642,110
TOI-1439,232982558,1.62481,0.0780528,1.063,0.135876,5873.0,4.043,0.0782199,0.247815,0.0532014,2.829686,DWARF,0.00411057146,0.006534708,45
TOI-1442,235683377,0.308799,0.00922995,0.286682,0.0201815,3328.0,4.91612,0.00465389,9.73583,0.186558,0.0105385231,DWARF,0.0102309054,0.0108558983,109
TOI-1443,237232044,0.748579,0.0432136,0.89,0.112315,5236.0,4.63898,0.0858843,2.12166,0.519299,0.3794626,DWARF,0.0111993989,0.0147161568,99
TOI-1444,258514800,0.92499,0.0470452,0.956,0.11332,5466.0,4.48625,0.0772158,1.20794,0.255515,0.6880932,DWARF,0.006574009,0.0289331619,137
TOI-1448,343628284,0.381586,0.0113779,0.370553,0.0202547,3391.0,4.84373,0.0021442,6.66919,0.231853,0.0173456557,DWARF,0.00200990052,0.028478248,758
TOI-1451,417931607,1.02852,0.0518794,1.04,0.131855,5781.0,4.43068,0.0794308,0.955872,0.204386,1.06445944,DWARF,0.00470243,0.002311731,31
TOI-1452,420112589,0.275364,0.00934128,0.24878,0.0207334,3248.0,4.95407,0.00680159,11.915,0.217378,0.00760279223,DWARF,0.01188383,0.8522838,118
TOI-1466,237086564,0.749646,0.0713216,0.66,0.082238,4201.0,4.5079,0.110712,1.56666,0.516248,0.15769507,DWARF,0.0034467543,0.0410861261,311
TOI-1468,243185500,0.369306,0.010922,0.356472,0.020177,3382.0,4.85532,0.00108728,7.07728,0.227058,0.0160754025,DWARF,0.004401787,0.0898065,35
TOI-1470,284441182,0.49012,0.0145314,0.488207,0.0202643,3624.0,4.74607,0.00772316,4.14664,0.196883,0.0373295136,DWARF,0.00282235141,0.178367391,898
TOI-1472,306955329,0.859483,0.0540654,0.857,0.107804,5103.0,4.50257,0.0887877,1.3498,0.348125,0.45130676,DWARF,0.00203384738,0.0332865976,236
TOI-1478,409794137,1.03709,0.0528693,0.996,0.124568,5623.0,4.4047,0.0780946,0.892919,0.195414,0.9687203,DWARF,0.00180525088,0.0497594066,249
TOI-150,271893367,1.67987,0.0741256,1.1,0.141051,5982.9,4.02891,0.0751965,0.23204,0.0482786,3.25757432,DWARF,0.00216221274,0.05282966,143
TOI-1516,376637093,1.2421,0.0533669,1.324,0.221627,6485.0,4.37164,0.086542,0.690901,0.155373,2.45838332,DWARF,0.00019511288,0.0216013938,405
