host,crowd_ok,crowd_note,crowd_contratio,crowd_numcont,crowd_flux_ratio_max,crowd_nearest_arcsec,crowd_target_sep_arcsec,crowd_target_tmag,crowd_n_nb_21,crowd_n_nb_42,crowd_n_nb_63
EPIC_206042996,1,,,,0.0777105530937415,39.2406995206503,0.1613712311348312,15.1373,0.0,1.0,1.0
EPIC_206317286,1,,,,0.004882924395942,17.65441205600794,0.9055633490031028,13.1461,1.0,1.0,3.0
EPIC_211822797,1,,0.00110901345,59.0,0.0222781949494335,7.710752778158176,0.5880029472376214,13.5357,1.0,2.0,6.0
EPIC_211945201,1,,0.000122691519,41.0,0.000151965148919,41.739542629790705,0.9574766651631352,9.66896,0.0,1.0,2.0
EPIC_212297394,1,,,,0.2796147002881664,24.25296322567183,0.3589490130349465,13.5896,0.0,4.0,5.0
EPIC_212424622,1,,0.008645909,60.0,0.0164406884664637,22.653057144728844,0.1970476284270486,12.7615,0.0,4.0,5.0
EPIC_212499991,1,,0.7381538,60.0,3.852653933026117,16.55746682824403,0.1354758745828544,12.734,1.0,4.0,9.0
EPIC_212624936,1,,,,0.0074672381095891,28.07847622280968,0.5360032414884199,13.3582,0.0,2.0,4.0
EPIC_212587672,1,,0.06261726,58.0,0.0005670221181605,30.37509396129305,0.4426342908224572,11.7902,0.0,1.0,5.0
EPIC_212737443,1,,,,2.176306203482492,17.72281985890472,0.7948275369494301,13.803,2.0,4.0,8.0
EPIC_220492298,1,,,,0.0,57.67581859701423,0.2486854410038213,13.2689,0.0,0.0,1.0
EPIC_228836835,1,,0.00010514204,44.0,0.0020148373825493,33.425573994240736,1.6856745478155202,14.2591,0.0,1.0,3.0
EPIC_220674823,1,,0.0143696126,26.0,0.0170828371187417,25.87278014012469,0.9453971410496592,11.4574,0.0,2.0,3.0
EPIC_229004835,1,,0.004462138,38.0,0.0042159164932172,6.420812917931207,2.0699699269645455,9.63123,2.0,3.0,3.0
EPIC_248847494,1,,,,0.0015770301632789,40.09679524282245,0.6006476944193987,11.594,0.0,1.0,2.0
EPIC_246851721,1,,0.103007726,193.0,0.1117171891139082,5.898806556754159,0.2057148106008121,10.8243,2.0,8.0,20.0
EPIC_249893012,1,,0.08018122,113.0,0.0940675861885899,8.351255222115263,0.5715783478876941,10.8872,2.0,7.0,13.0
FU_Tau,1,,,,0.0142311501227986,5.689422800740478,0.0001206266364148,13.7781,1.0,2.0,4.0
GJ_1061,1,,0.000874942634,41.0,0.0005008088559187,39.3384001723927,12.922650245747825,9.47068,0.0,1.0,6.0
GJ_1002,0,"nearest source 21.8"" away; target unresolved",,,,,21.774444632599018,17.302,,,
GJ_1132,1,,,,5816.744662467851,6.859225338348849,5.159386231788699,20.2489,2.0,22.0,70.0
GJ_1148,1,,0.0872145,27.0,0.0942523093502065,10.0603691155175,9.03090619148134,9.29573,1.0,1.0,3.0
GJ_1151,0,"nearest source 15.7"" away; target unresolved",,,,,15.724563885536032,16.4774,,,
GJ_1252,0,"nearest source 20.2"" away; target unresolved",,,,,20.177071971028415,10.1165,,,
GJ_1265,1,,,,1.002951656504142,14.142483587532842,14.104878560694113,10.8472,1.0,4.0,9.0
GJ_1289,1,,0.00149227865,98.0,0.0001162401067157,35.57923173266022,14.79252447281668,9.81379,0.0,3.0,11.0
GJ_143,1,,0.139429048,56.0,0.1443045417437502,21.715822872041,6.70847210380673,6.9934,0.0,2.0,4.0
GJ_15_A,0,"nearest source 15.7"" away; target unresolved",,,,,15.74964262852762,11.33,,,
GJ_160.2,1,,0.0002652023,30.0,0.0,48.26315496876339,12.1027468262449,8.4665,0.0,0.0,4.0
GJ_163,0,"nearest source 18.6"" away; target unresolved",,,,,18.57175919249586,9.47061,,,
GJ_179,1,,0.432673216,114.0,0.6738201592556735,24.431345741199028,5.307273853087139,9.44636,0.0,5.0,10.0
GJ_180,1,,,,1409.6782531100291,11.827445984515636,11.017342705962175,16.6977,4.0,6.0,12.0
GJ_2030,1,,0.025966119,20.0,0.0258988213572166,7.803509828412704,3.402895558046491,5.5464,1.0,2.0,4.0
GJ_2056,1,,0.0388572738,766.0,0.0084559031476651,8.971128260176815,1.7739301215324983,8.8868,7.0,30.0,75.0
GJ_2126,1,,0.0851429,2280.0,0.0406817849752194,8.01462684146825,1.5819699967846734,9.3703,25.0,78.0,183.0
GJ_229,1,,0.00180475356,183.0,5.178929511069995e-05,14.740251595357297,11.343431216310298,6.408,1.0,11.0,30.0
GJ_238,1,,,,1982.3667284380615,13.836648317508608,4.912877239123993,17.6115,2.0,4.0,14.0
GJ_251,1,,0.00656296127,156.0,0.0053767024126109,16.976818230341028,12.839505640524491,7.64819,2.0,5.0,10.0
GJ_27.1,1,,0.000172579515,40.0,0.0001013612598762,19.607944553820992,8.224060297861683,9.54228,1.0,1.0,2.0
GJ_273,1,,0.0210863911,257.0,0.0006507287577548,13.515580724686483,0.0409400957543628,7.308,2.0,9.0,19.0
