host,pool,gaia_ruwe,gaia_nss,gaia_gmag,gaia_sep_arcsec,gaia_source,gaia_nss_flag,gaia_ruwe_high
TIC_144046368,main,,,,,,,
TIC_101180761,main,1.359,0.0,16.387169,1.74,6.665629818501108e+18,0.0,0.0
TIC_123050567,main,1.437,0.0,14.632783,24.360000000000003,5.963210074976555e+18,0.0,1.0
TIC_56729707,main,0.693,0.0,9.232009,6.119999999999999,4.042694596558359e+18,0.0,0.0
TIC_220371163,main,1.056,0.0,16.021276,8.16,6.470857965071419e+18,0.0,0.0
TIC_60813046,main,0.98,0.0,13.791884,5.52,4.04564925483744e+18,0.0,0.0
TIC_144381527,main,1.192,0.0,9.825589,21.72,6.525337941593856e+18,0.0,0.0
TIC_96745915,main,,,,,,,
TIC_120401211,main,1.024,0.0,16.753885,24.72,6.637421607176491e+18,0.0,0.0
TIC_246417791,main,0.911,0.0,15.015843,27.18,4.036832889566343e+18,0.0,0.0
TIC_80421028,main,1.211,0.0,11.825605,100.08,4.976245114552068e+18,0.0,0.0
TIC_320688368,main,1.065,0.0,15.688892,4.56,6.448307561405485e+18,0.0,0.0
TIC_219327284,main,1.115,0.0,8.361782,33.6,6.411019896588e+18,0.0,0.0
TIC_410155200,main,1.038,0.0,15.539709,100.56,6.387419738490978e+18,0.0,0.0
TIC_229153733,main,1.0,0.0,9.374965,9.3,4.912283946183186e+18,0.0,0.0
TIC_214376691,main,0.991,0.0,17.298767,40.98,5.949747624583627e+18,0.0,0.0
TIC_419744996,main,1.153,0.0,8.77706,14.7,6.396470226719885e+18,0.0,0.0
TIC_55856762,main,,,,,,,
TIC_140067390,main,0.996,0.0,16.4251,55.2,6.558358337360756e+18,0.0,0.0
TIC_409948637,main,1.1,0.0,6.746401,7.56,6.37592437878313e+18,0.0,0.0
TIC_89574346,main,0.969,0.0,14.075516,14.46,6.723051813281524e+18,0.0,0.0
TIC_631619263,main,1.017,0.0,18.452406,111.18,4.909928272584503e+18,0.0,0.0
TIC_246322977,main,1.392,0.0,8.823894,6.72,4.036382747017104e+18,0.0,0.0
TIC_158595145,main,,,,,,,
TIC_631769128,main,0.974,0.0,18.730844,50.28,4.93906629279295e+18,0.0,0.0
TIC_314440582,main,1.092,0.0,8.12565,39.900000000000006,6.732931371935985e+18,0.0,0.0
TIC_1518979716,main,0.965,0.0,19.199335,2.5799999999999996,5.94822102137849e+18,0.0,0.0
TIC_632229980,main,0.944,0.0,18.794811,77.28,5.03735232439422e+18,0.0,0.0
TIC_129766612,main,1.092,0.0,5.711231,31.62,4.965520271976049e+18,0.0,0.0
TIC_201233348,main,0.977,0.0,8.837238,70.5,6.523472620119279e+18,0.0,0.0
TIC_1989725292,main,0.983,0.0,18.730053,24.3,6.478819936788995e+18,0.0,0.0
TIC_91639155,main,2.499,1.0,11.017095,41.040000000000006,4.953438528971405e+18,1.0,1.0
TIC_80062745,main,1.078,0.0,9.417657,17.16,6.671499183371236e+18,0.0,0.0
TIC_1513445543,main,1.045,0.0,18.150286,30.6,5.920970274212824e+18,0.0,0.0
TIC_237316813,main,0.975,0.0,9.005533,28.98,6.394802787272921e+18,0.0,0.0
TIC_57849979,main,0.841,0.0,12.957914,30.72,6.728179626300483e+18,0.0,0.0
TIC_175517571,main,1.008,0.0,8.032771,105.0,5.044254512933965e+18,0.0,0.0
TIC_11652849,main,0.83,0.0,11.227532,30.66,5.036326759219158e+18,0.0,0.0
TIC_143507479,main,1.092,0.0,16.394402,15.48,6.710590738750299e+18,0.0,0.0
TIC_2027293051,main,0.995,0.0,19.086758,33.36,6.562093305344553e+18,0.0,0.0
TIC_63523812,main,1.085,0.0,8.893341,22.14,6.723937401187131e+18,0.0,0.0
TIC_41858056,main,,,,,,,
TIC_118114124,main,8.586,0.0,8.454458,6.359999999999999,4.99934829339111e+18,0.0,1.0
TIC_632087263,main,1.036,0.0,19.12544,30.12,5.010379242580652e+18,0.0,0.0
TIC_369984911,main,1.469,0.0,13.669219,24.3,6.668562456531212e+18,0.0,1.0
TIC_2055644991,main,1.059,0.0,19.021217,9.6,6.530958159702772e+18,0.0,0.0
TIC_183594679,main,1.067,0.0,9.880969,58.379999999999995,4.984806221323374e+18,0.0,0.0
TIC_183591757,main,1.747,0.0,12.051697,125.4,4.989706263611065e+18,0.0,1.0
TIC_207109256,main,1.113,0.0,15.71135,21.299999999999997,4.939654845047728e+18,0.0,0.0
TIC_316832189,main,3.518,1.0,8.563835,11.76,6.461873511963454e+18,1.0,1.0
TIC_403123914,main,1.097,0.0,9.045768,17.939999999999998,6.403690105402251e+18,0.0,0.0
TIC_616319103,main,,,,,,,
TIC_60464650,main,1.009,0.0,9.829673,6.359999999999999,6.727202843324379e+18,0.0,0.0
TIC_147458059,main,1.525,0.0,10.719251,9.42,5.048943547773107e+18,0.0,1.0
TIC_101430261,main,1.086,0.0,16.019676,5.279999999999999,6.667411474016698e+18,0.0,0.0
TIC_314324611,main,1.106,0.0,15.066034,16.8,6.723850952074905e+18,0.0,0.0
TIC_231828950,main,1.162,0.0,14.676595,96.3,4.716204464188411e+18,0.0,0.0
TIC_1988864013,main,1.027,0.0,17.193373,108.12,6.451069607630155e+18,0.0,0.0
TIC_31122542,main,1.039,0.0,17.815989,12.66,5.948831039873388e+18,0.0,0.0
TIC_101545865,main,1.019,0.0,15.561997,9.96,6.667228748927775e+18,0.0,0.0
TIC_91638505,main,0.998,0.0,10.616543,21.84,4.953436433027942e+18,0.0,0.0
TIC_1818156579,main,1.012,0.0,18.65693,30.36,6.657855201846835e+18,0.0,0.0
TIC_424854383,main,0.99,0.0,17.159397,3.54,6.646275218399233e+18,0.0,0.0
TIC_41841748,main,1.026,0.0,19.017914,16.68,4.985038351419047e+18,0.0,0.0
TIC_219945301,main,1.021,0.0,19.66918,6.119999999999999,6.639706598494258e+18,0.0,0.0
TIC_267082507,main,1.113,0.0,9.034939,12.12,6.386853455643092e+18,0.0,0.0
TIC_91635430,main,0.987,0.0,12.309841,20.520000000000003,4.953534083403745e+18,0.0,0.0
TIC_308225736,main,2.413,0.0,10.68224,65.82,4.95256390183188e+18,0.0,1.0
TIC_160714507,main,4.326,1.0,10.346376,10.260000000000002,6.703564481496526e+18,1.0,1.0
TIC_362852137,main,0.994,0.0,17.388206,13.5,5.948336160880314e+18,0.0,0.0
TIC_238169256,main,34.331,0.0,8.288645,23.1,6.388781548066043e+18,0.0,1.0
TIC_57219252,main,0.967,0.0,17.468174,14.88,6.724965302798079e+18,0.0,0.0
TIC_616415905,main,1.007,0.0,17.742533,18.96,4.990387750365597e+18,0.0,0.0
TIC_234507929,main,1.373,0.0,9.266619,29.94,4.903489433708372e+18,0.0,0.0
TIC_394632474,main,1.014,0.0,8.948597,28.68,6.387891703857452e+18,0.0,0.0
TIC_161356637,main,18.572,0.0,10.661733,158.57999999999998,6.512664180298451e+18,0.0,1.0
TIC_180444482,main,1.088,0.0,6.4881,35.879999999999995,5.00191070524051e+18,0.0,0.0
TIC_616617233,main,1.009,0.0,18.702627,47.82,5.026780318229912e+18,0.0,0.0
TIC_322008992,main,1.056,0.0,8.98264,11.28,4.99203303637268e+18,0.0,0.0
TIC_406276748,main,0.966,0.0,10.23464,3.84,6.410175815255474e+18,0.0,0.0
TIC_2027012057,main,0.981,0.0,19.061901,28.139999999999997,6.508471428927646e+18,0.0,0.0
TIC_219927265,main,2.902,0.0,8.406495,16.560000000000002,6.670258728096238e+18,0.0,1.0
TIC_155985589,main,1.083,0.0,15.222176,17.7,4.97564550275866e+18,0.0,0.0
