host,tic_id,n_sectors_measured,sectors,mean_depth,sector_depth_frac_scatter,sector_depth_chi2red,status
K2-91,56520147,4.0,"43,44,70,71",-0.00033765286207199097,1.925336859455107,0.7356417308964253,ok
K2-97,366568760,5.0,"7,44,45,46,72",-6.642937660217285e-05,7.496921860389103,1.5591688586140866,ok
K2-98,366410512,5.0,"7,34,44,45,46",1.208782196044922e-05,16.122648813543332,0.5550293544259487,ok
KELT-1,432549364,3.0,"17,57,84",0.0019566317399342856,2.1977508144869202,5006.989030745984,ok
KELT-10,269217040,3.0,"67,94,104",-0.00016547242800394693,2.6122508438589884,9.755127654558363,ok
KELT-12,116242971,5.0,"25,26,40,53,79",0.0007437169551849365,2.502657910370049,149.0508730354042,ok
KELT-16,236445129,3.0,"15,41,55",0.006649096806844075,0.9962163485657428,1681.3519648955057,ok
KELT-19_A,425206121,3.0,"7,87,33",0.0039957861105601,1.292315172529754,682.1147307164267,ok
KELT-14,134537478,5.0,"7,33,34,61,87",0.0021377146244049073,2.3177332626910943,1831.5633127919616,ok
KELT-15,268644785,5.0,"7,9,34,35,36",0.0017792105674743653,2.5799926375681506,800.996051150593,ok
KELT-17,6893917,5.0,"44,45,46,71,72",0.0034353137016296387,1.2837102843230777,2409.5685726785587,ok
KELT-18,293687315,5.0,"23,48,50,75,77",-5.8215856552124026e-05,3.2790352340079383,2.332863747897743,ok
KELT-3,67666096,2.0,"21,48",-2.086162567138672e-06,189.06015023839174,6.290920252981402,ok
KELT-6,165987272,,,,,,error: TypeError
KELT-4_A,165297570,1.0,48,0.004587084054946899,,,ok
KELT-20,69679391,5.0,"14,40,41,54,74",3.3289194107055664e-05,3.3362473160317436,1.757703777349721,ok
KELT-23_A,458478250,5.0,"14,15,16,17,21",-4.64022159576416e-05,5.5098102148714405,0.872413626858712,ok
KELT-21,203189770,5.0,"41,55,75,81,82",0.000231701135635376,2.2363065673546445,3.5041000240599978,ok
KELT-2_A,97735908,5.0,"43,44,45,71,72",0.002953493595123291,0.9251605057667894,2848.0409582398743,ok
KELT-7,367366318,5.0,"19,43,44,45,59",0.001529937982559204,2.368261527105961,3665.2553155489213,ok
KELT-9,16740101,5.0,"14,15,41,55,75",0.002799952030181885,1.359123793241741,23316.447391889516,ok
KELT-8,358516596,5.0,"26,40,53,54,80",0.001880311965942383,2.886527023694935,563.1126971413906,ok
KIC_3526061,399793957,5.0,"80,81,14,26,40",-2.068281173706055e-06,118.89801675173538,2.959004153101294,ok
