host,label,ls_period_match,trend_slope_ppm_day,trend_amp_frac,straylight_frac,flagged_frac,ls_matched_harmonic,raw_status
TIC_285524410,0.0,0.09617583096176203,248.2626010507071,0.005946621744339994,0.12194023971639187,0.12194023971639187,2.0,ok
TIC_285542903,0.0,1.2695902477994394,3.680400881438272,0.00010049021179618412,0.042309304454196284,0.07190699822927092,3.0,ok
TIC_285666479,0.0,0.21933795977916318,0.5677809256655715,1.5737932548741955e-05,0.0,0.0,1.0,ok
TIC_285674856,0.0,0.005326934850719889,17.655839068218565,0.00041234414132843385,0.06001846722068329,0.10341643582640812,0.5,ok
TIC_285677945,0.0,0.11135484385908759,2.7676708639470107,6.861039681887538e-05,0.13374622465122968,0.15071731626635984,3.0,ok
TIC_286355915,0.0,0.0044652814795560795,5.537747824714626,0.00013043561963072635,0.08402255639097744,0.08402255639097744,0.5,ok
TIC_28643432,0.0,0.02623702540147372,2.0117733373664928,5.372301413066861e-05,0.1476020652578911,0.1476020652578911,1.0,ok
TIC_286561122,0.0,1.7627479503908885,9.553864222783185,0.00022740477020517918,0.2126442981982954,0.2126442981982954,3.0,ok
TIC_287190564,0.0,0.15533720699740627,3.4841805854055634,9.825540397619822e-05,0.1950435979807251,0.20585385752893784,3.0,ok
TIC_287329267,0.0,0.5344945796574647,2.47015011894465,5.488301861094676e-05,0.19921739216796275,0.2297569744460666,3.0,ok
TIC_287474726,0.0,0.2141105472777785,0.18170352819382427,4.548714211707534e-06,0.02400967296176877,0.026140027637033623,1.0,ok
TIC_288185138,0.0,0.004088228347604683,0.5903067288055206,1.6646655059628593e-05,0.0,0.0,2.0,ok
TIC_288391628,0.0,0.1206026945608162,2.4680376965777797,6.959916935426043e-05,0.0,0.0,0.5,ok
TIC_288471040,0.0,0.060983310840962146,0.7112147412301026,1.8369923195104706e-05,0.09405336586918465,0.127048962919739,1.0,ok
TIC_28873762,0.0,0.049459295929303926,5.563191773453763,0.00012716937430863064,0.1572758744180494,0.2192312283633759,1.0,ok
TIC_289125016,0.0,0.007272443559935952,2.975279023840929,7.691834962551385e-05,0.0,0.0,1.0,ok
TIC_289316336,0.0,0.06154630886933461,2.9189402839218515,7.292130714668091e-05,0.0,0.017971684484253105,1.0,ok
TIC_289539327,0.0,0.04652612428500465,5.845083467721033,0.0001548040693373294,0.14515509195717816,0.14515509195717816,1.0,ok
TIC_289988797,0.0,0.019130988122221845,4.744674802853058,0.00011518315931472733,0.09087056544375832,0.09849860757961013,2.0,ok
TIC_290302097,0.0,0.21730404388394603,14.433070986755721,0.0003543384830847617,0.1078502080443828,0.1078502080443828,1.0,ok
TIC_291147951,0.0,0.06341442432565404,21.51705233780555,0.0005562682536427678,0.0,0.0,2.0,ok
TIC_29117085,0.0,0.14858920993645047,84.39921320009081,0.0022386804347018226,0.09065420560747664,0.09065420560747664,0.5,ok
TIC_291555748,0.0,0.00044611861770809107,31.70223950554367,0.0008191661292654749,0.0,0.0,1.0,ok
TIC_292321872,0.0,0.13990758407202575,0.46324830553675855,1.0911957982603944e-05,0.09394584727715243,0.09394584727715243,3.0,ok
TIC_293075732,0.0,1.0420346071310198,6.743145480880878,0.00016230357009328384,0.24177596215867556,0.24177596215867556,3.0,ok
TIC_29336129,0.0,0.028753933910686032,14.421939264357714,0.0003609303430982923,0.03650485436893204,0.03650485436893204,2.0,ok
TIC_293527670,0.0,1.7536828192605092,2.9572153544861663,8.22463799755915e-05,0.0,0.0,0.3333333333333333,ok
TIC_293567206,0.0,1.1431857625240869,1.0971137482336821,3.0938872828895634e-05,0.0,0.0,3.0,ok
TIC_293708935,0.0,0.07168251046557113,0.3257074046002512,7.343922593798972e-06,0.1271382849575102,0.3543207151528529,0.5,ok
TIC_29374525,0.0,0.02239457140235484,8.359292009171787,0.00020047550128912575,0.11390532544378698,0.11390532544378698,2.0,ok
TIC_294090620,0.0,0.031336807000201916,6.229141849034654,0.0001558438641520721,0.009845126374575392,0.027405147101157233,1.0,ok
TIC_294173437,0.0,0.05413656694787015,23.977809969297166,0.0006641157125582133,0.18486186710485775,0.18486186710485775,2.0,ok
TIC_294176967,0.0,0.12648619601341696,2.837050652122688,7.706158774257604e-05,0.0,0.0,3.0,ok
TIC_294179389,0.0,0.27826001212705526,4.8381928726720975,0.00013141789797766965,0.02547399639868658,0.02547399639868658,1.0,ok
TIC_294283951,0.0,0.006538104784536146,6.100348354716144,0.0001622030417851318,0.0,0.0,0.5,ok
TIC_294315741,0.0,0.521594637410675,4.777960150478121,0.00011196861831514061,0.1793129896455377,0.1793129896455377,3.0,ok
TIC_294500964,0.0,0.06552389632017366,105.13245112792998,0.002626390046428317,0.022981186685962374,0.02570188133140376,1.0,ok
TIC_294599100,0.0,0.10775808148285651,17.82992905911646,0.0004676731048648807,0.0,0.0,0.5,ok
TIC_294780517,0.0,0.05352244301597474,6.24775711530168,0.0001595503225183819,0.06226499267095787,0.06226499267095787,2.0,ok
TIC_294869729,0.0,1.0072331550532416,3.849311476357422,9.352375511516699e-05,0.01696329254727475,0.051535436198951214,3.0,ok
TIC_295354126,0.0,0.25623974921417947,0.15431797688435173,4.1197004606561e-06,0.0,0.0,1.0,ok
TIC_295413003,0.0,0.32279804205418594,14.065752189826613,0.0003820632506196027,0.0,0.0,1.0,ok
TIC_295599256,0.0,0.14898852429044368,8.233408774187803,0.0002022674036848018,0.1428728613082467,0.1428728613082467,0.3333333333333333,ok
TIC_295807723,0.0,0.2904050440154667,13.890055843373322,0.0003847134068914319,0.0,0.0,0.3333333333333333,ok
TIC_296898634,0.0,2.3820294064427814,40.50374789204664,0.0011218249008685993,0.0,0.0,3.0,ok
TIC_297153209,0.0,0.133113866204142,2.2378980920687987,6.198538599969726e-05,0.0,0.028352943191354535,0.3333333333333333,ok
TIC_297967252,0.0,1.014257993150677,0.12237372879412574,3.0093843043098135e-06,0.0,0.03516355140186916,0.3333333333333333,ok
TIC_298049015,0.0,0.18591070148241248,135.96383495050435,0.0036307872906994883,0.27002714643104275,0.27002714643104275,2.0,ok
TIC_298495970,0.0,0.13943015945838877,16.324213564158395,0.0004078035465961312,0.11743236197207578,0.12090840623370604,1.0,ok
TIC_298666530,0.0,0.20966782060166994,1156.17295637963,0.026978579136925637,0.12962076803445388,0.12962076803445388,1.0,ok
TIC_29959761,0.0,0.09895371431792306,1.001495790112472,2.549619593342316e-05,0.06280667320902845,0.12070657507360157,2.0,ok
TIC_29960109,0.0,0.4416608657795032,39.49463830468207,0.0010099032076048575,0.05233416811147499,0.05233416811147499,3.0,ok
TIC_299876474,0.0,0.3171608149687727,48.96709016123086,0.0011975673227514413,0.10317098209193566,0.10317098209193566,0.3333333333333333,ok
TIC_300011941,0.0,0.3040446212280204,27.8406906155993,0.0007762069234694489,0.0,0.0,0.5,ok
TIC_300013921,0.0,0.4348744950848258,0.8180064396118808,2.2806226877908155e-05,0.0,0.0,3.0,ok
TIC_300557619,0.0,0.05153035735214285,2.4048833430223935,5.3552916827952775e-05,0.1946322719013434,0.22526386861676248,1.0,ok
TIC_300599466,0.0,0.02720172956821332,3.4029469119356084,7.628628107231185e-05,0.18081609549250738,0.2150766144648904,1.0,ok
TIC_300810086,0.0,0.0073876741008201815,0.10291339972686236,2.5216691059175632e-06,0.08580634220790233,0.14091911141258268,2.0,ok
TIC_300871545,0.0,0.025305374877001748,7.4968397024157,0.0002090123024003408,0.0,0.0,1.0,ok
TIC_301051430,0.0,0.12972361022176837,1.6794981979765504,4.387028080221388e-05,0.09303453105640253,0.09303453105640253,1.0,ok
