host,var_status,var_oot_rms,var_excess,var_ls_amp,var_ls_power,var_ls_period
GJ_179,ok,0.001331650757126492,1.564434527910823,0.00021186941673802362,0.050516283145688595,8.55309152345626
GJ_180,ok,0.0006331385129516001,1.1004169477243815,3.465889477251054e-05,0.006865092674818459,4.148647824251069
GJ_2030,ok,0.00018001257236777488,1.6361080088615798,6.307375720790105e-05,0.12715981968653142,2.7179644887946246
GJ_2056,ok,0.0006116962112711888,0.9805157022106998,4.696730699450483e-05,0.014298606380761338,5.615960808554914
GJ_2126,ok,0.0007110498516102229,3.4385214967685958,0.0007643770826017726,0.6636868191812828,5.803620463708241
GJ_229,ok,0.00021637225180538364,1.339692233850895,2.779438130483399e-05,0.031087953437048482,9.053219324216002
GJ_238,ok,0.0008094919353083653,1.021267688062422,6.548951603245702e-05,0.014072302425113904,2.414633895439352
GJ_251,ok,0.00039594911846306324,1.0304406938863235,9.695311852089471e-05,0.09136320230016866,0.3311951005872035
GJ_27.1,ok,0.0008287080001491533,1.0062425605087655,0.00010713773312600347,0.033451787051299045,4.975063516781064
GJ_273,ok,0.0003656110082999017,1.256451928983944,3.8988566701751064e-05,0.02192440880621819,7.189663666565593
GJ_3021,ok,0.004943504089278609,38.50632080256116,0.005245858052072868,0.8561763403182755,7.067234951252626
GJ_3082,ok,0.0007102779426894633,1.0053374440133664,0.00012101175273254704,0.05497681265752493,7.390244552901761
GJ_3090,ok,0.000994126626061007,1.210169575859124,0.0005532410710574765,0.3393465489486682,13.0
GJ_3138,ok,0.0008226436487873357,0.9815488828598692,4.760654679477443e-05,0.007818583686196945,5.628375911562482
GJ_317,ok,0.0009966020543342017,1.1945611299962604,0.00043275435636548463,0.2116198016150762,5.732766621058978
GJ_3222,ok,0.0009742596254752152,3.331979339450783,0.00024060689540952716,0.07866559324861201,4.052570723848703
GJ_328,ok,0.00045614647241072327,1.0264292002377227,4.059149240834894e-05,0.014892844223851833,0.8468169483966718
GJ_3293,ok,0.0010473953754801875,1.0382314386714189,0.00015995753120558618,0.04835719909973015,5.798875582304699
GJ_3323,ok,0.0015443191621077475,1.039290133955275,0.00019414486021592417,0.02259081513068449,3.5570871058097793
GJ_3341,ok,0.0012390857947935862,1.0911529769381823,7.088515657398432e-05,0.008044859712611539,5.847658851362521
GJ_3378,ok,0.0007291423147167045,1.061325114663471,5.657950898235667e-05,0.012472546579147514,4.441784945113747
GJ_338_B,ok,0.020609834761842985,100.8860161783971,0.007649339051072322,0.11625845246158657,13.0
