host,injected_period,injected_depth_ppm,repeat,injected_duration_days,duty_cycle_pct,true_secondary_depth,fold_period,fitted_duration_days,old_depth,new_depth,new_half_phase,new_n_in_window,new_truedur_depth,new_truedur_half_phase,new_truedur_n_in_window,fitted_over_true_duration,old_n_in_window,status
TIC_271167979,5.0,10000,7,0.04115501624183663,0.8231003248367326,0.003243114721932616,0.61866184813541,0.024416751617250165,0.0027743681692832256,0.007734818726498061,0.019733519765959395,702,0.009004545471384962,0.004115501624183663,146,0.5932873765319772,1781,ok
TIC_56231866,5.0,10000,8,0.311763342215557,6.23526684431114,0.002470857048722852,5.0013346438491695,0.24867059547685005,0.001679205866662259,0.004631347578873735,0.024860423585399805,895,0.00411862355315451,0.0311763342215557,1123,0.7976261535742587,1800,ok
TIC_437156845,5.0,10000,10,0.06652454680187292,1.3304909360374584,0.002618471947931189,5.000360142310402,0.07991921771261619,0.00038625715211404454,0.003704489062266725,0.007991346166887266,287,0.004024756697794674,0.006652454680187292,238,1.2013492996898727,1800,ok
TIC_309436531,10.0,1000,0,0.08878779327372496,0.8878779327372497,0.0002786279299075156,3.2147035778954995,0.0564793546083423,-0.00037766038125952583,0.004822272922245019,0.008784535376247102,208,0.0051971587416616005,0.0044393896636862485,103,0.6361162106396925,1255,ok
TIC_420803693,10.0,1000,1,0.06321690881089218,0.6321690881089218,0.0002603714471872687,0.9144721243150284,0.051492238862927586,0.0001853159834100948,0.000384971773353171,0.028154077906692384,892,0.00034605416284771984,0.003160845440544609,100,0.8145326911975733,1580,ok
TIC_180987952,10.0,1000,3,0.13069563169892315,1.3069563169892313,0.00029927635631576965,1.3890297174833364,0.046194501013943665,0.00015305130417642143,0.0005003481312595426,0.01662833430865666,466,0.0006816147612743739,0.006534781584946157,183,0.35345099460064267,1393,ok
TIC_56231866,5.0,10000,11,0.311763342215557,6.23526684431114,0.0032708071387033133,5.0013346438491695,0.22606417770622728,0.0026037446221245375,0.008260026331001535,0.022600385077636183,719,0.0072516025532297634,0.0311763342215557,996,0.7251146850675078,1616,ok
TIC_298049015,10.0,1000,2,0.04403874546376758,0.4403874546376758,0.00033741696202971294,1.9599704988919644,0.06100563925767497,0.002724736851937415,0.010134750246642787,0.015562897322220784,482,0.006106349359714436,0.0022019372731883788,68,1.385271960298386,1551,ok
TIC_167009792,10.0,1000,4,0.14916349269985793,1.4916349269985791,0.0003274330559356331,4.998479343534986,0.11351569783084933,0.00011061561958980448,0.0006394037666375141,0.011355023200973122,311,0.0006955824364853758,0.0074581746349928965,205,0.7610152844789042,1460,ok
TIC_412014494,10.0,1000,7,0.15129439973842732,1.5129439973842733,0.00029234270622136016,4.997356941767321,0.0526907188859229,0.00011151986015933701,0.0006034454561715252,0.005271858654475937,180,0.00047061730260278267,0.007564719986921366,256,0.34826615510567355,1627,ok
TIC_256349966,10.0,1000,5,0.11791018946750674,1.1791018946750673,0.00032775549752461774,3.401869123156327,0.023213289982808548,7.241550257175433e-05,0.001088123214339376,0.003411843481102348,84,0.0010416699521988981,0.005895509473375337,144,0.1968726374509438,1224,ok
TIC_219366908,10.0,2500,1,0.056113885348994176,0.5611388534899417,0.0007190503700889028,0.6294685130170254,0.04525770031804512,0.001696599620608863,0.0018573780457353806,0.03594913755187388,64,,0.0028056942674497087,4,0.8065330004609341,90,ok
TIC_458856474,10.0,1000,6,0.07103023461897998,0.7103023461897997,0.00032809799916300175,6.077339645019965,0.04746625940357967,-0.00023388159581294587,0.004146819079638431,0.00390518402591466,67,0.0044387222942059434,0.0035515117309489986,60,0.6682542956277414,1376,ok
