host,label,status,elapsed_s,multi_transit_depth_chi2red,n_transits_used,power_ratio_half_period,power_ratio_double_period
GJ_3293,1,Success,92.61570382118225,4.016317638200565,3,0.9859697421470697,
GJ_3341,1,Success,102.2712950706482,0.07730700852367603,2,0.21847492144117533,
GJ_3378,1,Success,104.90875291824341,1.9801478281105909,12,0.6250740691576651,0.47918116220163065
GJ_341,1,Success,69.05534791946411,,1,0.4228240491849982,
GJ_338_B,1,Success,128.4924590587616,66.52703719106992,2,0.21173732921709595,
GJ_1002,1,Success,691.0065269470215,1.1702085822156776,22,-0.00831048061284521,0.3319772364869412
GJ_3473,1,Success,98.59298086166382,1.2651270531619978,19,0.5858808196317633,0.598091088382104
GJ_357,1,Success,76.27532505989075,0.34454289912088776,5,0.4143577209567301,0.4062048348828581
GJ_3634,1,Success,80.22076272964478,1.1042066543559372,11,0.8689034566409316,0.6496370645518961
GJ_367,1,Success,97.89686727523804,,0,,0.2888220516168189
GJ_3779,1,Success,96.56882786750793,2.5750018990958146,4,-0.024630270079556486,-0.21030498821574495
GJ_1265,1,Success,691.8694767951965,1.006966725446976,130,,-0.02085910876623316
GJ_3929,1,Success,89.03060793876648,0.4892076438275471,8,0.49970906745411675,0.4889433509845394
GJ_3942,1,Success,51.83925914764404,3.2613272669885927,2,0.059510114805046824,
GJ_411,1,Success,86.63169598579407,2.467438240852025,7,0.5397993413057425,0.47623338506461715
GJ_3323,1,Success,441.90267610549927,15.33398398480386,3,-0.018424124708649084,
GJ_3470,1,Success,323.3090476989746,0.02302330716610648,4,0.8784263797007917,
GJ_414_A,1,Success,69.23789381980896,0.8495973015699719,12,0.21961532517167595,0.8477302090920559
GJ_3512,1,Success,329.09534883499146,,0,,0.33710141618013456
GJ_433,1,Success,45.48825693130493,0.39435157595585135,8,0.09953875903534347,0.39339811421007065
GJ_422,1,Success,76.64978361129761,1.169763130553595,8,0.8583139822685893,0.48266319397265567
GJ_4276,1,Success,85.70333003997803,8.020181507238396,5,0.5387398517271996,0.8137474383976875
GJ_3988,1,Success,203.1688151359558,13.788766053031923,83,0.3564122563180646,0.34892568700591076
GJ_480,1,Success,50.756813764572144,3.613210337875839,2,0.13325329065323802,
GJ_463,1,Success,65.30613994598389,1.189919064264153,4,0.244197884079322,
GJ_436,1,Success,82.34064674377441,16.753994101684512,5,0.5116954953456799,0.10401154616013181
GJ_504,1,Success,38.0962598323822,7.519792703704097,2,-0.3832557842172331,
GJ_393,1,Success,269.9267210960388,9.205266303005322,3,0.9892221606531875,
GJ_508.2,1,Success,44.89901304244995,3.1988074034908283,4,0.11722556743384377,
GJ_486,1,Success,87.53754115104675,1.3744153809240214,13,0.3371335741666398,0.39038838177921964
GJ_514,1,Success,59.48580884933472,9.112643458632125,3,0.15479403325258953,0.5169143884592201
GJ_676_A,1,Success,34.71506690979004,1.7993431138356937,46,,0.21729232772177384
GJ_649,1,Success,70.14609885215759,12.679526006896747,3,0.3591861505000046,
GJ_674,1,Success,72.06471991539001,3.1625450599909555,2,0.01175722286981062,
GJ_625,1,Success,92.2166588306427,0.26388636281099204,7,0.4837064348813615,0.32474048818592066
GJ_685,1,Success,82.96124386787415,6.732423475497448,3,0.09553222190213102,
