host,sec_depth_windowed,sec_significance,sec_sigma_eff,sec_n_in_window,sec_status
GJ_9066,8.988571401635781e-06,0.14990614591146054,5.9961326782056856e-05,192,ok
GJ_9773,6.121394206681785e-05,0.8011040599733973,7.641197333196716e-05,145,ok
GJ_9689,5.506553045131479e-05,0.7316129890820372,7.52659278512894e-05,131,ok
GJ_849,1.5511949736479735e-05,0.7300674264579246,2.1247283708765392e-05,1620,ok
GQ_Lup,-0.006138590502932528,-12.355690064068572,0.0004968229593897055,161,ok
GU_Psc,0.0023055743403402884,23.42859061328775,9.840858028534844e-05,1155,ok
GPX-1,4.0571286561874587e-05,0.20622125707650985,0.00019673668533027268,752,ok
GJ_9714,9.242831926647987e-05,2.979659859608928,3.101975514702233e-05,176,ok
G_192-15,0.0007655818919465318,12.817121376948467,5.973118841828456e-05,1861,ok
G_196-3,0.000502866905517152,5.651201400677532,8.898407079543517e-05,191,ok
GJ_680,-1.399940729562843e-06,-0.02221351359721694,6.302203041567621e-05,425,ok
G_264-012,0.0001249734179255002,0.834807131846577,0.00014970334243439136,95,ok
G_268-110,0.0012828249193401753,2.1371615550302905,0.0006002470502619506,146,ok
G_261-6,-0.0003064662589629119,-1.0372309494517293,0.00029546578717585235,131,ok
Gaia-1,-3.384189623445444e-05,-0.10856432686990014,0.00031172206571141397,219,ok
Gaia-4,-0.0006759542526206808,-2.6765262154929617,0.00025254908721160564,54,ok
Gaia-5,0.00034411335616546523,0.9161260823857675,0.0003756179010527986,164,ok
G_9-40,-0.0005110393593028562,-2.5967172407513948,0.00019680208198370497,176,ok
Gl_378,-6.7498349369699e-05,-1.6099127428693039,4.1926712903333214e-05,132,ok
Gaia-2,-0.00014674065744979536,-1.0650190850008854,0.0001377821857996783,122,ok
Gl_49,6.226198691228202e-05,2.0042642937513135,3.106475882766357e-05,139,ok
Gl_410,9.781756714788425e-05,2.1762546214433187,4.4947666593815406e-05,156,ok
Gl_725_A,1.0562753770648747e-05,0.5030271691641814,2.0998376267030626e-05,320,ok
Gl_686,6.329986955599942e-05,1.9904452860221362,3.1801863633490225e-05,130,ok
HAT-P-11,5.3318729183460256e-05,1.266152765041676,4.2110818422218785e-05,156,ok
HAT-P-12,-0.000254166443489634,-0.9116045527882959,0.00027881216993950195,106,ok
GJ_9827,-3.192058719347912e-06,-0.1011037715848674,3.157210328863419e-05,2001,ok
HAT-P-15,9.003056360223916e-05,0.5501476702775262,0.00016364799574053007,129,ok
GJ_900_A,0.00010592072526161012,1.7801463350795068,5.9501133796890564e-05,257,ok
HAT-P-14,0.0002824794837625877,3.3413194927793293,8.454129704538359e-05,92,ok
HAT-P-18,0.0009664999900963478,2.348470695816226,0.00041154441135593333,47,ok
HAT-P-2,-6.54417370319349e-05,-1.6493194212599325,3.967802488007039e-05,117,ok
HAT-P-16,-0.00010898941039672039,-0.8565658989487027,0.00012723995962305693,116,ok
HAT-P-13,0.00038501250746747484,3.9249688712809503,9.809313655571042e-05,92,ok
HAT-P-20,6.410096907760732e-05,0.5204287124818641,0.00012316954760608278,140,ok
HAT-P-21,-0.0001999463770603338,-1.7408601637939116,0.00011485493276185051,291,ok
HAT-P-23,0.0005325774574029829,5.112764784804607,0.00010416623486881887,1109,ok
GJ_896_A,0.0003476066429058955,6.2911894418352885,5.525292889677956e-05,843,ok
HAT-P-22,8.614832408548878e-06,0.12192781620855868,7.065518498103112e-05,89,ok
HAT-P-24,-1.069767556938217e-05,-0.09816060460454835,0.00010898135369559943,442,ok
HAT-P-27,3.3311290334792076e-05,0.08377481636498045,0.0003976289269279361,37,ok
HAT-P-26,-9.9614581704488e-05,-0.5700687031973749,0.00017474136213016845,94,ok
