host,in_frozen_test,matched,methods,n_planets,any_transit,min_incl,min_imppar
Kepler-666,True,True,Transit,1,1,88.0,0.834
Kepler-676,True,True,Transit,1,1,88.62,0.798
Kepler-681,False,True,Transit,1,1,89.28,0.1304
Kepler-682,True,True,Transit,1,1,88.17,0.5409
Kepler-687,False,True,Transit,1,1,89.62,0.79
Kepler-696,False,True,Transit,1,1,87.52,0.689
Kepler-701,False,True,Transit,1,1,89.93,0.029
Kepler-713,True,True,Transit,1,1,87.54,0.0062
Kepler-720,False,True,Transit,1,1,89.71,0.0078
Kepler-729,False,True,Transit,1,1,89.76,0.0645
Kepler-731,True,True,Transit,1,1,87.96,0.0007
Kepler-743,False,True,Transit,1,1,89.59,0.2924
Kepler-763,False,True,Transit,3,1,87.27,0.08
Kepler-768,False,True,Transit,1,1,88.44,0.0917
Kepler-782,False,True,Transit,1,1,89.98,0.8756
Kepler-791,False,True,Transit,1,1,80.57,0.863
Kepler-794,False,True,Transit,1,1,89.97,0.67
Kepler-798,False,True,Transit,1,1,89.93,0.694
Kepler-82,False,True,Transit|Transit Timing Variations,5,1,86.3,0.0
Kepler-826,False,True,Transit,1,1,87.03,0.54
Kepler-830,False,True,Transit,1,1,87.54,0.852
Kepler-835,False,True,Transit,1,1,81.99,0.4568
Kepler-839,False,True,Transit,1,1,87.34,0.9052
Kepler-845,False,True,Transit,1,1,76.15,0.29
Kepler-85,False,True,Transit,4,1,87.39,0.0
Kepler-852,False,True,Transit,1,1,89.42,0.895
Kepler-855,False,True,Transit,1,1,89.78,0.001
Kepler-865,False,True,Transit,2,1,89.11,0.027
Kepler-870,False,True,Transit,1,1,89.81,0.847
Kepler-872,False,True,Transit,1,1,84.69,0.1264
Kepler-875,False,True,Transit,1,1,86.79,0.0166
Kepler-880,True,True,Transit,2,1,81.59,0.609
Kepler-891,False,True,Transit,1,1,89.93,0.0533
Kepler-898,False,True,Transit,1,1,87.35,0.642
Kepler-901,False,True,Transit,1,1,86.49,0.027
Kepler-915,False,True,Transit,1,1,76.0,0.69
Kepler-96,False,True,Transit,1,1,87.94,0.54
Kepler-970,False,True,Transit,1,1,88.74,0.7
Kepler-972,True,True,Transit,1,1,81.05,0.956
Kepler-974,False,True,Transit,2,1,72.0,0.8237
Kepler-977,False,True,Transit,1,1,89.99,0.01
Kepler-979,False,True,Transit,1,1,88.23,0.5932
Kepler-990,True,True,Transit,2,1,82.87,0.1093
LHS_1140,False,True,Transit,2,1,89.8,0.09
L_363-38,False,True,Radial Velocity,1,0,,
LkCa_15,False,True,Imaging,2,0,50.0,
NGC_2682_Sand_978,False,True,Radial Velocity,1,0,,
OGLE-2011-BLG-0251L,False,True,Microlensing,1,0,,
PDS_70,False,True,Imaging,2,0,130.5,
ROXs_12,False,True,Imaging,1,0,,
