injected_period,injected_depth_ppm,repeat,source_file,recovered_period,recovered_sde,recovered,alias,elapsed_s,sigma_point,n_points,baseline_days,n_in_transit,expected_snr,snr_bin
5.0,8000,1,TIC_452483795.csv,4.9944592084022394,10.78687662567915,True,exact,65.08456708397716,0.009399551871426638,18137,25.8522058102144,906.85,25.630115705576358,20-40
5.0,500,1,TIC_385624852.csv,4.990238195596899,11.30728335766934,True,exact,206.48125720908865,0.0008739343087745068,79107,24.316621581117033,3955.3500000000004,35.98186541652419,20-40
8.0,200,3,TIC_281979481.csv,1.0845006859484805,11.231639458320243,False,,30.7089125829516,0.0013443541663561858,12502,20.26492319427848,625.1,3.7195555376264053,<5
5.0,8000,2,TIC_9727392.csv,5.011536331258094,12.963963237760629,True,exact,77.60161241702735,0.0020940261113569464,17574,27.405993566663255,878.7,113.24739149636402,>80
8.0,500,1,TIC_65347776.csv,8.027225826783576,7.270713101691598,True,exact,33.06451029202435,0.0017323316395139923,12933,20.265641759470554,646.6500000000001,7.339620547619633,5-10
8.0,1000,1,TIC_320506985.csv,5.292308129509208,7.499600821830859,False,,3.0508970000082627,0.0004410270142289011,840,22.60437693787071,42.0,14.694656992245463,10-20
8.0,200,1,TIC_89759617.csv,0.7456861975508988,8.33489915522757,False,,59.15771091601346,0.0016577262486531354,18322,26.58892167764816,916.1,3.6516456111917712,<5
8.0,500,0,TIC_431999925.csv,0.9699328848804182,6.656511632820481,False,,59.10388170799706,0.0337235122130593,16307,24.454459790681994,815.35,0.4233594352730712,<5
8.0,200,2,TIC_45684223.csv,6.5853461422764825,18.06647836363775,False,,68.61566287500318,0.004942859943279245,20257,28.80589338676191,1012.85,1.2877283500971597,<5
8.0,1000,2,TIC_152714791.csv,7.996932393799907,9.412242605130617,True,exact,29.618126500048675,0.0009364133159743976,8292,24.090633739541772,414.6,21.74438195122348,20-40
8.0,500,2,TIC_80478272.csv,5.092269125056348,17.91061961972604,False,,74.71385016699787,0.001960860955483089,17986,28.759714508929846,899.3000000000001,7.646725531475558,5-10
8.0,1000,0,TIC_137500798.csv,8.012795882817397,11.412024331445188,True,exact,73.54405212495476,0.0012072323138017644,19609,28.200153411778047,980.45,25.937127314672423,20-40
8.0,3000,2,TIC_314338017.csv,8.019865001871121,15.005237521403986,True,exact,48.32277712493669,0.0005303437366937539,11763,27.87979996846616,588.15,137.1853896557466,>80
8.0,3000,0,TIC_420645189.csv,8.004281380927782,11.845231884297304,True,exact,61.13035470806062,0.0010921235380218167,16838,25.063728802741707,841.9000000000001,79.7039311450803,40-80
8.0,3000,3,TIC_51024887.csv,8.22774870331339,10.01161121944538,False,,50.05546641605906,0.04730200403715204,13983,22.90719345132311,699.1500000000001,1.6769761839516835,<5
8.0,3000,1,TIC_286696848.csv,8.944980668610368,15.72872318481596,False,,74.38484795799013,0.004464722855530262,16457,25.202731784060234,822.85,19.274675975851746,10-20
8.0,8000,2,TIC_49899799.csv,8.011994866202953,24.32126999930192,True,exact,51.276934499968775,0.0004625485775853878,14350,25.554418306736125,717.5,463.28004054039826,>80
12.0,200,1,TIC_336456596.csv,0.7790818662236321,12.605306509433207,False,,3.596218792023137,0.0005533639915000289,1015,23.812852808516027,50.75000000000001,2.5747621940764223,<5
8.0,8000,1,TIC_389999924.csv,7.983906907317374,11.531283116618958,True,exact,76.51011462509632,0.008356465820161326,18357,26.5310555695969,917.85,29.00368648383236,20-40
8.0,8000,3,TIC_143350972.csv,7.987080367198266,24.159399695674335,True,exact,63.23841016704682,0.00033455182135512306,17317,25.726846969728513,865.85,703.635786069064,>80
5.0,8000,3,TIC_360286627.csv,4.99865349155291,12.312069555739352,True,exact,242.00857412500773,0.005807209502796466,91137,24.172649825359258,4556.85,92.99398517050658,>80
12.0,500,1,TIC_329145325.csv,1.0768013935790628,10.829634968759104,False,,3.7716415830655023,0.0014143510235117673,1015,23.8127593384213,50.75000000000001,2.5184354187757387,<5
12.0,200,2,TIC_341805908.csv,1.490302586959937,13.970562135757442,False,,67.76439804106485,0.0014906105335041027,19515,27.88944809869554,975.7500000000002,4.1911681948796025,<5
12.0,500,0,TIC_19155785.csv,6.406643549087668,8.991196729575512,False,,51.002592334058136,0.001225207193738665,14596,23.614145415705025,729.8000000000002,11.024588694336613,10-20
12.0,200,3,TIC_312899686.csv,4.419857294265675,12.25816966663636,False,,60.99668304203078,0.008242787105165945,14999,27.697152767928856,749.9500000000002,0.664464934972084,<5
12.0,500,2,TIC_389525208.csv,6.764423485586763,11.096669437322223,False,,60.13788791699335,0.0011506755886841376,16780,24.36283469571208,839.0000000000001,12.586300170426037,10-20
12.0,1000,1,TIC_172464366.csv,2.92866541427444,13.61705549753806,False,,48.21717887499835,0.001962303641363937,14235,21.772436210155092,711.7500000000001,13.59557337689324,10-20
12.0,500,3,TIC_305943739.csv,11.96909786141729,10.514614665322783,True,exact,64.66122649994213,0.0003806757385966419,19602,28.200535035638495,980.1000000000001,41.11970590912663,40-80
12.0,1000,0,TIC_141776043.csv,4.071446601465848,11.647872481802953,False,,62.60104645800311,0.002309450528282129,16891,25.016610835891242,844.5500000000002,12.58357435481777,10-20
8.0,1000,3,TIC_388624270.csv,8.01739249768883,10.016664748864526,True,exact,293.88694058405235,0.0022365813882604113,98109,25.095859723334343,4905.45,31.31516613727767,20-40
8.0,500,3,TIC_124709665.csv,7.986155064207871,10.433484322417817,True,exact,305.20524579193443,0.0016244272971417577,100911,25.841251078372352,5045.55,21.8637162621688,20-40
12.0,200,0,TIC_348684813.csv,12.028545219901831,9.10851634660975,True,exact,199.5274679590948,0.0020867642717292017,92882,24.057090439803687,4644.100000000001,6.531416583845523,5-10
12.0,8000,0,TIC_326114850.csv,6.013817246931092,8.455937324277123,True,half,3.66207066597417,0.00030553582902757034,902,22.75007462841063,45.10000000000001,175.8393672526395,>80
12.0,1000,2,TIC_233497719.csv,3.803565980469976,17.68241059963531,False,,73.26329616701696,0.006150048409259433,18201,26.484172036544578,910.0500000000002,4.90517033054964,<5
12.0,3000,0,TIC_87597187.csv,2.041263529326734,14.862393989197528,False,,61.34627533296589,0.00720946308219103,16457,25.22519837096206,822.8500000000001,11.936545812253751,10-20
12.0,8000,3,TIC_190442486.csv,11.97905950754361,18.23109588402608,True,exact,3.304293666034937,0.0004908343202553579,797,25.97949026051242,39.85000000000001,102.88906672297017,>80
12.0,3000,1,TIC_461662295.csv,11.984677006250664,11.400622409653442,True,exact,63.804723375011235,0.0009797642759428527,17082,26.318378272296286,854.1000000000001,89.48577742020905,>80
12.0,1000,3,TIC_347011522.csv,12.01225638058664,9.101311910075708,True,exact,75.62226049997844,0.00342089982325188,17991,28.759947659948466,899.5500000000002,8.76742980265202,5-10
12.0,8000,1,TIC_137543637.csv,6.730482705176124,9.368026983831212,False,,46.53176975005772,0.004408046961543152,12029,26.850380491114265,601.4500000000002,44.50855951816689,40-80
12.0,3000,2,TIC_38686737.csv,2.244919628328869,17.27629924115763,False,,60.605993875069544,0.004540385166820164,16677,25.3105780072342,833.8500000000001,19.079743198674283,10-20
12.0,3000,3,TIC_115446313.csv,11.986548202143448,11.4320829433853,True,exact,57.59168237494305,0.0010051653530682742,18214,26.484991356491037,910.7000000000002,90.06818526682362,>80
8.0,8000,0,TIC_297153209.csv,7.993500102595568,13.277454510558284,True,exact,335.21448854205664,0.001844798188263925,113463,27.69803782369536,5673.150000000001,326.62788358589455,>80
12.0,8000,2,TIC_308425348.csv,12.009350348578602,10.016133655836692,True,exact,238.40693483303767,0.016128842489449076,109190,26.532282890862007,5459.500000000001,36.64909218563305,20-40
