host,ts_var_ratio,ts_acf_lag1,ts_acf_1hr,ts_n_in,ts_n_out,ts_status
EPIC_201497682,1.0137502506319476,-0.004591303847013418,-0.01695514687802713,233,15267,ok
EPIC_201595106,0.9060267756345167,-0.010358772983931336,0.0009267454342918488,129,15747,ok
EPIC_201757695,1.0704782560703971,-0.011830683630358382,0.009952236117859812,87,15882,ok
EPIC_201841433,1.1486009071736871,-0.0039683394362301306,0.002696577358881128,193,15456,ok
EPIC_206024342,1.5889926775987822,0.0006964907992761338,0.014215664398006835,31,9641,ok
EPIC_206032309,0.9811253828417844,0.006226875122326847,-0.02206814116345914,224,8631,ok
EPIC_206042996,0.9973893586606721,-0.014757867039239649,0.019324574243204103,137,9218,ok
EPIC_206317286,0.7670187407866041,0.01851300316212573,-0.0025381866952558815,93,9271,ok
EPIC_211822797,0.9884003468928155,-0.010147328120972032,0.003445157171656725,153,14656,ok
EPIC_211945201,1.1021691414307715,0.0015504202018707084,-0.011014063445525218,134,14713,ok
EPIC_212297394,0.9961972405712907,-0.00229121372265039,0.007560900975755987,2920,80919,ok
EPIC_212424622,0.8429573168600398,-0.004096469954437627,0.016018981738586548,79,11341,ok
EPIC_212499991,0.5396975858089952,0.034839650576549,0.05001925958167187,10,11453,ok
EPIC_212587672,1.0001206243313592,-0.00015574368657075618,0.0031448690255850274,1368,62549,ok
EPIC_212624936,0.9291642327629799,-0.009708782314228625,-0.006768480279431493,321,10185,ok
EPIC_212737443,1.219462920428282,0.010712094232667864,0.0027335834997130482,49,10075,ok
EPIC_220492298,1.0300188781360053,-0.021680824232608423,-0.018195995555054634,189,12205,ok
EPIC_220674823,0.9328451185968963,-0.0028203569710658575,0.00020927944513911577,1335,67668,ok
EPIC_228836835,1.1122242035541987,-0.0024468476266482977,-0.009351209823280785,131,15459,ok
EPIC_229004835,0.9763169158339822,-0.018573870820602714,0.000765242614267323,510,14329,ok
EPIC_246851721,1.1861950710861962,0.0035685540507494865,0.0009138104601264048,662,98568,ok
EPIC_248847494,1.0552952084667273,-0.007867845756622216,-0.008744241668877537,171,15257,ok
EPIC_249893012,1.0916600053144665,-0.005518128368289873,-0.01308983913531386,90,12201,ok
FU_Tau,3.493766712591413,0.07197703055710646,0.027105832045465086,187,14753,ok
GJ_1002,1.0097990782705564,-0.0010429515463891768,0.006932627893460443,725,62703,ok
GJ_1061,0.8599793978048075,-0.011211127440039118,-0.0027098638758463133,209,12534,ok
GJ_1132,1.491031440826707,-0.0025527738819119085,-0.00309287512460772,302,14668,ok
GJ_1148,0.9910269303779047,0.005994442173947682,-0.0044294505732954785,160,15325,ok
GJ_1151,1.1318777262027,0.003393653896630216,0.005343937392537323,75,13808,ok
GJ_1252,0.9922643161970692,-0.0055744186425222405,-0.006069830901938944,754,13451,ok
GJ_1265,0.9466498408675311,-0.01023195440365446,0.00716727406282932,2260,72110,ok
GJ_1289,1.255364180881605,0.04589679540668531,0.0012038737128090874,71,12600,ok
GJ_143,1.3943867114099786,0.07762213526244947,0.00776693872112424,155,17651,ok
GJ_15_A,1.2670113186234373,-0.04255295022087107,-0.013570943630481188,119,12666,ok
GJ_160.2,1.0125685926490726,-0.0023568788127383733,-0.01182147462563063,140,16791,ok
GJ_163,0.9369398977660466,-0.004811238247205322,-0.001707177824760276,502,10893,ok
GJ_179,1.1483338351077674,-0.0668072053242925,-0.009524798488430967,52,17107,ok
GJ_180,0.9020621629159672,-0.028259281185403558,0.0004358234836159521,149,16722,ok
GJ_2030,0.9982786812007116,0.18532617155736056,-0.01296229058669957,83,14405,ok
