host,tic_id,elapsed_s,status,sector_used,shift_pixels,verdict,error_message
Kepler-1701,120899838,32.24882507324219,failed,,,,"Depth measured at the target's own pixel in this sector (-1121 ppm) doesn't match the known transit depth (3808 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1702,164830907,39.94827198982239,failed,,,,"Depth measured at the target's own pixel in this sector (-1227 ppm) doesn't match the known transit depth (19623 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1705,185335907,28.065394163131714,failed,,,,"Depth measured at the target's own pixel in this sector (-10963 ppm) doesn't match the known transit depth (21636 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1704,350738167,30.12926197052002,completed,40.0,1.9645532818208415,"Photocenter shifted 1.96 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1709,164464070,28.524235010147095,failed,,,,"Depth measured at the target's own pixel in this sector (-573 ppm) doesn't match the known transit depth (368 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1700,158325998,51.214595079422,completed,74.0,0.929447944938838,"Photocenter shifted 0.93 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-171,239229224,38.95976495742798,completed,74.0,0.9633171794116685,"Photocenter shifted 0.96 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1715,138431008,22.61480689048767,completed,15.0,2.30095763610695,"Photocenter shifted 2.30 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1680,169079027,153.56670212745667,failed,,,,"Depth measured at the target's own pixel in this sector (-5160 ppm) doesn't match the known transit depth (3690 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1711,273778951,29.287919759750366,completed,74.0,1.828350325375124,"Photocenter shifted 1.83 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1714,270698316,31.162208080291748,completed,14.0,0.7450644572679483,"Photocenter shifted 0.75 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1710,137316027,51.447203159332275,completed,40.0,0.9060456854023409,"Photocenter shifted 0.91 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1713,158432813,46.078447103500366,failed,,,,"Depth measured at the target's own pixel in this sector (-198 ppm) doesn't match the known transit depth (311 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1716,273035189,23.750105142593384,completed,14.0,3.227375036950774,"Photocenter shifted 3.23 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-172,237157751,14.853970766067505,completed,40.0,1.0763128521077954,"Photocenter shifted 1.08 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1719,120314731,25.049268007278442,completed,74.0,3.358075539564367,"Photocenter shifted 3.36 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1712,48503881,67.93806505203247,failed,,,,"Depth measured at the target's own pixel in this sector (423 ppm) doesn't match the known transit depth (4608 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1721,164527535,33.2357759475708,completed,80.0,1.4628579672344357,"Photocenter shifted 1.46 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1718,63212231,52.81506896018982,completed,40.0,0.9792576443707522,"Photocenter shifted 0.98 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1725,377908774,27.63829016685486,completed,74.0,1.6043013953270948,"Photocenter shifted 1.60 px from target -- signal likely from a nearby contaminant, not the target star",
