host,oe_timing_offset_frac,oe_timing_significance,oe_n_epochs_odd,oe_n_epochs_even,oe_status
Kepler-1507,0.029584700449602215,0.32132905568337544,3,2,ok
Kepler-1508,0.09691746536976115,0.9362105653028275,2,3,ok
Kepler-1509,,,0,1,"too few epochs (odd=0, even=1)"
Kepler-151,0.04258344877626182,0.6984872854186496,2,2,ok
Kepler-1511,0.15626597602350242,2.080609765569816,5,5,ok
Kepler-1512,0.16064095052466956,1.7453968227024963,6,6,ok
Kepler-1513,0.0007059321653248059,0.025558362589479997,23,22,ok
Kepler-1514,0.005499149484933432,0.1139537771454712,5,5,ok
Kepler-1515,0.2857817089552967,1.944739386083647,11,11,ok
Kepler-1516,,,0,1,"too few epochs (odd=0, even=1)"
Kepler-1517,0.06104988873519423,1.0042884159663477,2,3,ok
Kepler-1518,0.020911025270237648,0.9417222797230768,5,5,ok
Kepler-1519,0.023682117697413397,0.3359737010797607,6,6,ok
Kepler-152,0.0026386869875383917,0.024997356671700683,4,4,ok
Kepler-1520,0.01079706432529715,0.1785622688224797,7,9,ok
Kepler-1521,0.005073603391667898,0.06828742629448525,14,13,ok
Kepler-1522,0.058213215030452334,0.8965547768406987,8,7,ok
Kepler-1523,0.01834296287345069,0.21584538107773543,17,17,ok
Kepler-1524,0.017565021554437656,0.4043971076411053,5,6,ok
Kepler-1525,0.05651607351504553,0.8032562362523946,11,13,ok
Kepler-1526,0.07433740040808327,0.7669715337384332,11,11,ok
Kepler-1527,0.07495498692669368,0.9662740735725471,2,2,ok
Kepler-1528,0.008287770987580354,0.1714324888220845,2,3,ok
Kepler-1529,0.0027821807615044983,0.059555199927763786,16,21,ok
Kepler-153,,,1,2,"too few epochs (odd=1, even=2)"
Kepler-1530,0.02672809350287882,0.40666220597793845,14,14,ok
Kepler-1531,0.048822166678909026,0.6320594875659951,4,6,ok
Kepler-1532,0.0318935634878159,0.685763519213577,15,14,ok
Kepler-1533,0.044373212628118275,0.5087673331767323,2,3,ok
Kepler-1535,0.003739315212940189,0.07396068082102741,13,14,ok
Kepler-1537,0.051902685574437855,0.9224806489532141,13,12,ok
Kepler-1538,0.061350154549925574,0.6094603842853291,4,7,ok
Kepler-1539,0.04760092309429585,0.40906231519505615,23,23,ok
Kepler-154,,,1,2,"too few epochs (odd=1, even=2)"
Kepler-1540,0.016564883598413925,0.4580476794359144,30,30,ok
Kepler-1541,0.02378637226015635,0.47911264875755544,8,9,ok
Kepler-1542,0.013270965599978136,0.5238482285754438,10,10,ok
Kepler-1543,0.03131724547826118,1.1481484160905642,7,10,ok
Kepler-1544,0.051763543701434045,0.6742127852553812,2,4,ok
Kepler-1545,,,1,2,"too few epochs (odd=1, even=2)"
Kepler-1546,,,1,2,"too few epochs (odd=1, even=2)"
Kepler-1547,0.023578207898677643,0.36578732098152467,18,18,ok
Kepler-1548,,,0,1,"too few epochs (odd=0, even=1)"
Kepler-1549,0.03263700929335605,1.285799752693563,23,26,ok
Kepler-155,0.021273863236105778,0.4465235807127856,10,11,ok
