host,cadence_min,n_points,baseline_days
EPIC_201497682,2.000182507399586,16186,24.092512642548172
EPIC_201595106,2.000199596659513,16261,25.20666702159815
EPIC_201757695,2.0001788193621906,16230,24.120249190194045
EPIC_201841433,2.000177812878974,16232,24.123014114135003
EPIC_206024342,1.9999387177813333,9727,22.962021580551664
EPIC_206032309,1.9999702350469306,9519,22.72627077362631
EPIC_206042996,1.999958834348945,9749,22.938638106394137
EPIC_206317286,1.9999655411811545,9649,22.956777493054688
EPIC_211822797,2.0001970991143025,15281,24.07320466883266
EPIC_211945201,2.0001924052485265,15273,24.07317170762417
EPIC_212297394,0.3333378778916085,92628,24.410463880649786
EPIC_212424622,1.9999729454139015,11660,23.752572030311967
EPIC_212499991,1.9999709311377956,11531,23.749774963315758
EPIC_212587672,0.3333298293000553,68143,23.83272454235339
EPIC_212624936,1.9999923907744233,11364,23.752816712035838
EPIC_212737443,1.999962885165587,10218,23.713647193163524
EPIC_220492298,2.0001140675231,12953,23.784732384227937
EPIC_220674823,0.3333512830431573,72811,23.79393039120623
EPIC_228836835,2.0001928931014845,15987,25.007974236934388
EPIC_229004835,2.000196916415007,16379,25.277484735892813
EPIC_246851721,0.3333378792012809,100965,25.959788970236332
EPIC_248847494,2.000196923618205,15935,23.937083658835945
EPIC_249893012,2.0000594466546318,12488,24.282723746900047
FU_Tau,2.0001737974234857,15606,24.31042587656202
GJ_1002,0.3333418940019328,65657,23.22036506627228
GJ_1061,2.0000307081863866,13368,20.265584062640073
GJ_1132,2.0000189597703866,15869,24.15579627082093
GJ_1148,1.9999790314614074,15986,26.042779187028827
GJ_1151,1.9999743385778856,14054,24.53022846997601
GJ_1252,2.0000246280324063,16481,25.335118252510938
GJ_1265,0.33333989151287824,81135,22.913753780590923
GJ_1289,1.9999528635526076,12847,22.99814127701302
GJ_143,2.000032056494092,18275,27.880992728702495
GJ_15_A,1.9999870613901294,13063,23.311022661450124
GJ_160.2,1.9999663358248654,17216,25.589851912759286
GJ_163,2.000020477353246,12971,20.26547926789567
GJ_179,2.0000193097803276,17310,25.72386020378576
GJ_180,2.000006569614925,17319,25.726477654692644
GJ_2030,2.0000179696580744,14732,25.554421815493924
GJ_2056,2.000033975491533,17457,25.839322598604667
GJ_2126,30.00034531694837,937,24.375205947574614
GJ_229,1.9999964910311974,14632,21.772171430956178
GJ_238,2.0000064893974923,18278,27.880667215688618
GJ_251,1.9999824012484169,16532,26.317847188857968
GJ_27.1,2.00001128083386,18298,27.405632301514288
GJ_273,1.9999770371578052,16324,24.449717538132745
GJ_3021,1.9999693582212785,18260,27.880129383129542
GJ_3082,2.0000032355164876,18293,27.40556418062306
GJ_3090,2.000023687360226,18298,27.405828167732125
GJ_3138,2.0000394204544136,12750,20.265625593107643
GJ_317,1.9999897737216088,12977,24.08317531855073
GJ_3222,2.0000357363460353,13435,20.265631472779887
GJ_328,1.9999716671736678,12956,24.055156792042908
GJ_3293,1.9999824169644853,17180,25.578942058537223
GJ_3323,2.0000206381155294,17220,25.70026223991681
GJ_3341,2.0000142806384247,17394,25.775184660297782
GJ_3378,2.000032017858757,16627,24.878162455374195
GJ_338_B,1.9999669569369871,18626,27.34540195185855
GJ_341,2.000021640997147,16161,24.36137207829097
GJ_3470,0.333366462145932,88218,23.953976493362916
GJ_3473,2.000007884853403,16341,24.454266319593216
GJ_3512,2.0000239781074924,17605,26.318372259678426
GJ_357,2.0000313482887577,13038,24.172543406377144
GJ_3634,2.0000206354961847,15854,24.136384747771444
GJ_367,2.0000018600330804,16483,24.552806690761145
GJ_3779,1.999989746218489,13432,24.629031319636397
GJ_3929,2.000002798085916,14644,26.484887228340767
GJ_393,0.33333788051095325,79965,24.316442608392208
GJ_3942,2.0000158987386385,15070,25.407214294399182
GJ_3988,2.0000121867997223,16041,26.48495935974006
GJ_411,1.9999656212348782,15913,26.35370176470724
GJ_414_A,1.9999776910117362,15939,26.35386153495756
GJ_422,2.000010213450878,15675,24.802929542269112
GJ_4274,0.33334056271996815,80376,22.890454612622307
GJ_4276,2.0000259223161265,14946,23.765592797242334
GJ_433,1.999968974487274,15464,24.596879909687914
GJ_436,2.0000065247586463,15914,26.58061094486993
GJ_463,1.9999689715405111,16112,25.12879918557701
GJ_480,1.9999682878915337,12174,23.524654963157673
GJ_486,1.9999843818004592,13144,24.68866988649438
GJ_504,2.0000105343206087,13408,25.10563057804461
GJ_508.2,1.9999723118598922,12242,23.584402908264792
GJ_514,2.0000199210699066,13204,24.88629287202184
GJ_536,0.3333412280335324,66946,26.24030856559557
GJ_581,0.3333385458245175,42002,24.587948465555655
GJ_625,1.9999667460797355,14976,23.77044350209053
GJ_649,1.9999974136953824,17228,25.67093335356526
GJ_674,2.00003602905781,14205,24.43786924982851
GJ_676_A,2.000034689262975,14338,24.437875050105504
GJ_680,0.3333378752722638,112919,27.948416960014583
GJ_682,2.0000407242332585,14332,24.437931000706158
GJ_685,1.9999811269372003,18420,26.849750631685765
