hostname,tic_id,disc_year,disc_facility
TOI-1450 A,TIC 377293776,2024,Transiting Exoplanet Survey Satellite (TESS)
WASP-132,TIC 127530399,2022,Transiting Exoplanet Survey Satellite (TESS)
GJ 3473,TIC 452866790,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-216,TIC 55652896,2019,Transiting Exoplanet Survey Satellite (TESS)
TOI-4311,TIC 122617317,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1823,TIC 142381532,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-1774,TIC 4897275,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-2134,TIC 75878355,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-2076,TIC 27491137,2021,Transiting Exoplanet Survey Satellite (TESS)
HIP 97166,TIC 237222864,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-558,TIC 207110080,2021,Transiting Exoplanet Survey Satellite (TESS)
HD 23472,TIC 425997655,2019,Transiting Exoplanet Survey Satellite (TESS)
TOI-1859,TIC 229742722,2023,Transiting Exoplanet Survey Satellite (TESS)
HD 5278,TIC 263003176,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-5322,TIC 336691874,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-216,TIC 55652896,2019,Transiting Exoplanet Survey Satellite (TESS)
TOI-2328,TIC 394287035,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-2152,TIC 395393265,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-2524,TIC 169249234,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-1451,TIC 417931607,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-1259 A,TIC 288735205,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-824,TIC 193641523,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-791,TIC 306472057,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-4030,TIC 390021939,2026,Transiting Exoplanet Survey Satellite (TESS)
TIC 161045582,TIC 161045582,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-813,TIC 55525572,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-1227,TIC 360156606,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-4029,TIC 393633044,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-238,TIC 9006668,2024,Transiting Exoplanet Survey Satellite (TESS)
