host,label,cadence_min,n_points
HD_183263,1,1.9999729251139797,9629
HD_183579,1,2.0000018289283616,17215
HD_184010,1,1.99999344702519,13633
HD_18438,1,1.999996143313183,16876
HD_185269,1,2.000044688611524,19593
HD_185283,1,2.0000045111373765,17210
HD_18599,1,2.0000256950879702,18297
HD_187085,1,2.000022616048227,17206
HD_187123,1,1.9999812513560755,18317
HD_18742,1,1.9999844436824787,14818
HD_188015,1,1.999976891784172,18315
HD_188641,1,2.0000051181705203,16768
HD_189567,1,2.0000045111373765,17173
HD_189733,1,0.33333249906718265,104331
HD_190007,1,1.9999984067544574,9479
HD_190228,1,2.0000172522850335,14192
HD_190360,1,2.0000222107046284,15579
HD_190647,1,2.0000138346949825,16773
HD_190984,1,2.000009205657989,17188
HD_191806,1,2.000035020937503,18407
HD_191939,1,2.0000272928882623,13318
HD_192263,1,0.33333653220324777,76913
HD_192310,1,2.0000265755152213,16778
HD_192699,1,2.0000104773498606,9477
HD_194490,1,2.00000981138146,16776
HD_195019,1,1.9999662412010366,18730
HD_196050,1,2.0000239571527345,17209
HD_196067,1,2.000003504981578,17201
HD_19615,1,1.9999870905303396,16731
HD_196885_A,1,1.9999561816075584,13386
HD_197037,1,2.000000469488441,13201
HD_199509,1,1.9999957952677505,17216
HD_19994,1,2.0000159583287314,14730
HD_20003,1,2.0000017126949388,18276
HD_200964,1,1.9999682528577978,13384
HD_202206,1,0.3333648630359676,95868
HD_202696,1,2.00001518955105,18878
HD_202772_A,1,2.000003890352673,17070
HD_203030,1,1.9999863892007852,13184
HD_20329,1,2.000184306889423,14104
HD_203387,1,0.3333654491143534,92954
HD_2039,1,2.000037417637941,18274
HD_204313,1,2.0000166305180755,18226
HD_204941,1,2.000020653831598,18195
HD_205158,1,1.999973046586092,18270
HD_205739,1,2.0000105978397187,18171
HD_206255,1,1.9999884692879277,18270
HD_206610,1,2.0001940161455423,16356
HD_207496,1,2.0000115519360406,17216
HD_20781,1,1.9999918184475973,14758
HD_20782,1,1.9999918181201792,14743
HD_207832,1,2.0000287004586426,18220
HD_207897,1,2.0000278210136457,14840
HD_20794,1,2.000027020148991,13522
HD_208487,1,2.000014621153241,18119
HD_208527,1,1.9999621943134116,19598
HD_20868,1,1.9999867791557335,14692
HD_208897,1,1.9999548202031292,18791
HD_209458,1,0.3333278140416951,110873
HD_210193,1,2.000016632155166,18126
HD_210277,1,0.33332580205751583,70432
HD_210702,1,1.9999601826566504,18781
HD_211403,1,1.9999571180233033,19025
HD_211810,1,0.33333888044580817,101868
HD_211970,1,2.0000005375914043,18266
HD_212301,1,1.9999613109393977,18273
HD_212771,1,1.9999710476986365,18297
HD_213240,1,2.0000132797213155,18261
