host,trap_vshape,trap_t14_ratio,trap_vshape_err,trap_depth,trap_depth_snr,trap_rmse,trap_nbins,trap_status
Kepler-1266,0.6229464108393672,1.9451401700638833,0.3964946076086318,0.018033887304589175,2.7030091830147516,0.01643117021041313,60,ok
Kepler-1268,0.3102038332678893,1.071580911870083,1.319474195872027,0.005470140828000582,1.1372851902209686,0.01256105625826516,60,ok
Kepler-1269,0.30401980815116103,1.1606292132772815,0.38837487838804896,0.003664586608719083,4.191705819824078,0.002408768525905086,60,ok
Kepler-127,0.06378076944668519,1.3090628623165166,,0.000139205011465843,,0.0004920770260731911,60,ok
Kepler-1270,0.785860396046988,1.827135453019324,1.6727137198290838,0.00043682159605727173,0.7069418208490981,0.001244121545021427,60,ok
Kepler-1271,0.09384820731167981,0.8672777425510574,,0.0005314580430559345,,0.002430989586986181,60,ok
Kepler-1272,0.1364502612234031,0.7106882248562887,,0.004719655740495708,,0.0036302360137351317,60,ok
Kepler-1273,0.04876414123957524,2.3866007686304997,,0.010466942944557573,,0.024193755828416267,60,ok
Kepler-1274,0.8444330711900218,0.6530084160242776,0.4838393700834306,0.0015446297239055829,2.268493211013976,0.0006900239477216906,60,ok
Kepler-1275,0.9075021301553555,0.3419606059959487,4.717208329463026,0.0010911950686485778,0.357562186725694,0.0030103225002368374,60,ok
Kepler-1276,0.33242523244268307,0.9447949326600731,0.6913436390448405,0.0013836555424875576,2.8721724833028546,0.001213430347360748,60,ok
Kepler-1277,0.8928837144931114,0.5725529414715363,392297.22242576507,0.000638117233967303,2.2760493469279597e-06,0.0018066159295439424,60,ok
Kepler-1278,0.544172586520278,1.5169525905545975,0.40880896168278197,0.0025299601036277053,3.3751039502675106,0.0019619269821095865,60,ok
Kepler-1279,0.04856900463291475,0.6482033222294596,,6.609607556086789e-05,,0.0022195254246347323,60,ok
Kepler-128,0.16600186868195319,0.8292877944546487,,0.0007619816955831877,,0.0006134913784909432,60,ok
Kepler-1281,0.9763782263809527,1.5750338398743204,2658833.2577492376,0.016583535434957185,3.672206249202804e-07,0.03298242193651568,60,ok
Kepler-1282,0.3303754551877405,0.8241676086620721,1.921430440862465,0.00880875779677383,2.009998866903604,0.01045359157294564,60,ok
Kepler-1283,0.16835319095050685,0.9851017622353511,34564646.543934196,0.0040868284451268935,1.2776832337895,0.008738540563462741,60,ok
Kepler-1284,0.9902764741418201,2.090870320849069,1002910.9049111535,0.050684341279086026,9.874022169003436e-07,0.021264245947159404,60,ok
