host,label,ra,dec,gaia_ruwe,gaia_nss,gaia_gmag,gaia_sep_arcsec,gaia_source,gaia_nss_flag,gaia_ruwe_high
Kepler-616,1.0,294.989137,46.8383058,0.98,0.0,14.936372,0.3,2.080484842545877e+18,0.0,0.0
Kepler-617,1.0,283.7407247,47.5161237,0.971,0.0,14.808847,1.14,2.107607354856795e+18,0.0,0.0
Kepler-618,1.0,286.2498525,48.0609256,0.988,0.0,14.791927,0.12,2.1311364913750753e+18,0.0,0.0
Kepler-619,1.0,290.8490899,48.4159782,0.989,0.0,14.658643,0.24,2.12950323557176e+18,0.0,0.0
Kepler-62,1.0,283.2125621,45.3496992,0.971,0.0,13.708515,1.2,2.1070012834316334e+18,0.0,0.0
Kepler-620,1.0,291.1593939,51.3348228,1.118,0.0,14.630363,0.36,2.1362108749763123e+18,0.0,0.0
Kepler-621,1.0,290.927245,39.9141166,8.995,0.0,14.914197,0.36,2.0530679359924948e+18,0.0,1.0
Kepler-622,1.0,284.4784454,40.9331723,1.069,0.0,14.639585,0.48,2.1036458144622828e+18,0.0,0.0
Kepler-623,1.0,296.9867284,47.4773531,1.005,0.0,14.951609,0.3,2.0863888076717655e+18,0.0,0.0
Kepler-624,1.0,295.1933631,39.5396946,0.951,0.0,13.444978,0.18,2.0762459503498445e+18,0.0,0.0
Kepler-625,1.0,292.1504723,39.6375254,0.971,0.0,13.252274,0.3,2.053177406120369e+18,0.0,0.0
Kepler-626,1.0,288.6986828,39.7082044,0.997,0.0,13.932477,0.42,2.099728391973442e+18,0.0,0.0
Kepler-627,1.0,292.1042198,39.7678585,1.013,0.0,13.936728,0.3,2.0531834534343485e+18,0.0,0.0
Kepler-629,1.0,289.4179128,39.9450757,0.926,0.0,13.346602,0.48,2.1012480888421468e+18,0.0,0.0
Kepler-63,1.0,289.2262876,49.5482814,0.752,0.0,11.535905,0.84,2.1326284899962578e+18,0.0,0.0
Kepler-630,1.0,293.4270647,39.9423967,0.976,0.0,13.841997,0.24,2.053235577156249e+18,0.0,0.0
Kepler-631,1.0,296.885724,40.2281717,0.984,0.0,13.48158,0.36,2.0737192382700856e+18,0.0,0.0
Kepler-632,1.0,297.252613,40.288605,,0.0,14.012033,31.560000000000002,2.0737123319557345e+18,0.0,
Kepler-633,1.0,295.2173259,40.5921599,0.955,0.0,13.699747,0.72,2.0766019172343475e+18,0.0,0.0
Kepler-634,1.0,291.19509,40.7027352,1.049,0.0,13.480224,0.24,2.101507470508342e+18,0.0,0.0
Kepler-635,1.0,289.7732613,40.8007019,0.97,0.0,13.253903,0.12,2.101380545634324e+18,0.0,0.0
Kepler-636,1.0,293.5920614,41.0950891,1.157,0.0,13.862024,0.84,2.0773827079293048e+18,0.0,0.0
Kepler-637,1.0,292.4172566,41.4168384,1.048,0.0,13.317224,0.18,2.0536269345759345e+18,0.0,0.0
Kepler-638,1.0,284.9194213,41.6172093,1.006,0.0,13.507072,0.06,2.104054832788419e+18,0.0,0.0
Kepler-639,1.0,292.1868271,41.726944,0.985,0.0,13.257141,0.72,2.1016756614275064e+18,0.0,0.0
Kepler-640,1.0,296.0322,42.1317392,0.975,0.0,13.675629,0.42,2.0771197485456023e+18,0.0,0.0
Kepler-641,1.0,291.8235292,42.5161945,1.06,0.0,13.750827,0.18,2.1257776435025807e+18,0.0,0.0
Kepler-642,1.0,293.8345542,42.624948,1.071,0.0,13.281812,0.06,2.0777641697423918e+18,0.0,0.0
Kepler-643,1.0,290.3272423,42.8982283,1.05,0.0,13.757101,0.42,2.1020389125813345e+18,0.0,0.0
Kepler-644,1.0,295.4757022,43.4931119,0.892,0.0,13.948612,0.18,2.078049767888232e+18,0.0,0.0
Kepler-645,1.0,290.3227098,44.0358625,1.028,0.0,14.019939,0.06,2.126865575897687e+18,0.0,0.0
Kepler-646,1.0,290.4714596,44.3870422,0.938,0.0,13.753484,0.6599999999999999,2.12697057925713e+18,0.0,0.0
Kepler-647,1.0,284.7882977,44.5916225,0.918,0.0,13.922611,0.36,2.106710978002604e+18,0.0,0.0
Kepler-648,1.0,283.8996207,45.0169137,0.99,0.0,13.903444,0.12,2.1067846109220746e+18,0.0,0.0
Kepler-649,1.0,285.6558336,45.0794516,0.978,0.0,13.381532,0.84,2.106384010732717e+18,0.0,0.0
Kepler-65,1.0,288.6887221,41.1511076,0.841,0.0,10.966515,0.42,2.1021191769291543e+18,0.0,0.0
Kepler-650,1.0,289.0009451,45.1542968,1.923,0.0,14.365098,0.3,2.1271729237577244e+18,0.0,1.0
