host,label,st_logg,st_rho,rho_circ,rho_ratio
Kepler-884,1.0,,,21.75276693194432,
Kepler-885,1.0,4.1885,0.392124,250.26207293385247,2.8049716133648315
Kepler-886,1.0,4.43055,0.950893,15.372936986261282,1.2086251966595138
Kepler-887,1.0,4.26614,0.490011,40.252331065612424,1.9145852066117022
Kepler-888,1.0,4.51702,1.28184,150.38279138861273,2.069364322209452
Kepler-889,1.0,4.1486,0.352444,29.534120970945636,1.923233927860023
Kepler-890,1.0,4.1247,0.333833,121.20321644952531,2.5599848798759943
Kepler-891,1.0,3.85915,0.133413,32.951996400470705,2.392683581438788
Kepler-892,1.0,4.66336,2.53122,63.75540388537685,1.4011871079776803
Kepler-893,1.0,4.35023,0.734647,12980.556734362777,4.2472146102427395
Kepler-894,1.0,4.5746,1.57902,180.9108885198955,2.059077075761929
Kepler-895,1.0,4.55692,1.85571,57.58959406231142,1.491833909216513
Kepler-896,1.0,3.78133,0.107895,73.90709660566142,2.8356848222684756
Kepler-897,1.0,4.1081,0.319925,64.88875042507914,2.3071212323278356
Kepler-898,1.0,4.48129,1.46272,41.061225753635235,1.448270710113457
Kepler-9,1.0,4.4082,0.888746,0.9213595846522631,0.015651498946806706
Kepler-900,1.0,4.54394,1.67567,79.82936001161168,1.6779741531343526
Kepler-901,1.0,4.64039,2.50825,19815.77743857704,3.8976402948968962
Kepler-902,1.0,4.26907,0.560641,135.51889342169255,2.3833149919815835
Kepler-903,1.0,4.00027,0.222687,33.84749710526816,2.1818316951967076
Kepler-904,1.0,4.39058,0.809226,25.143795617078403,1.4923610098607787
Kepler-905,1.0,4.49183,1.24853,98.92435702346128,1.8989042540203696
Kepler-906,1.0,4.50829,1.18333,702.8083744569238,2.773731052809839
Kepler-907,1.0,,,64.92403404801826,
Kepler-908,1.0,3.99827,0.228374,0.5768350038929567,0.402404947979523
Kepler-909,1.0,4.28217,0.553973,8.651940551926792,1.1936249284742402
Kepler-91,1.0,,,60.29248184233043,
Kepler-910,1.0,4.10677,0.296451,68.63654389819916,2.364602487408263
Kepler-911,1.0,3.88308,0.137741,24.47821024783423,2.249716429059881
Kepler-912,1.0,3.89129,0.14908,48.43499894811132,2.5117399105592364
Kepler-914,1.0,4.21366,0.451726,4434.565030006912,3.991975939951388
Kepler-915,1.0,4.13174,0.318228,69.85420246257095,2.3414541492420984
Kepler-916,1.0,4.47135,1.19586,27.27293704336272,1.35805157043364
Kepler-917,1.0,3.67874,0.0715467,44.332316150875954,2.7921308144152266
Kepler-918,1.0,4.45381,1.04548,35.92769719891774,1.5361136526133943
Kepler-919,1.0,4.29208,0.592255,45.11609508854406,1.8818227674639498
Kepler-92,1.0,3.94865,0.178313,24.73801523895931,2.1421818459266984
Kepler-920,1.0,4.44965,1.08512,69.3485489498136,1.8055596102214504
Kepler-921,1.0,4.39776,0.878886,3716.504625871755,3.626202131159076
Kepler-922,1.0,4.50034,1.25256,499.5409407598883,2.6007725488247138
Kepler-923,1.0,4.20759,0.430113,18.38188681103176,1.63080751841246
