host,tic_id,elapsed_s,status,sector_used,shift_pixels,verdict,error_message
TIC_191146556,191146556,15.467694759368896,completed,17.0,2.259781618333141,"Photocenter shifted 2.26 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_190743990,190743990,29.607501983642578,completed,56.0,1.6720737217686739,"Photocenter shifted 1.67 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_19155785,19155785,27.59186100959778,failed,,,,"Checked 1 available sector(s); none gave a trustworthy photocenter. sector 71: measured depth -3222 ppm vs expected 1762 ppm -- ephemeris doesn't line up here. Usually this means the transit is too shallow to localize in pixel data, or the stored ephemeris doesn't propagate cleanly to any sector that has pixel data available."
TIC_190430205,190430205,54.029165744781494,completed,83.0,0.3722956230050207,Borderline: photocenter 0.37 px from target -- weak evidence of a nearby contaminant,
TIC_190081497,190081497,58.654463052749634,completed,62.0,0.5993129109675301,"Photocenter shifted 0.60 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_192372961,192372961,33.32436203956604,failed,,,,"Checked 1 available sector(s); none gave a trustworthy photocenter. sector 58: measured depth -295 ppm vs expected 417 ppm -- ephemeris doesn't line up here. Usually this means the transit is too shallow to localize in pixel data, or the stored ephemeris doesn't propagate cleanly to any sector that has pixel data available."
TIC_189013222,189013222,74.2117760181427,failed,,,,"Checked 2 available sector(s); none gave a trustworthy photocenter. sector 32: measured depth -14556 ppm vs expected 6211 ppm -- ephemeris doesn't line up here; sector 98: measured depth -6545 ppm vs expected 6211 ppm -- ephemeris doesn't line up here. Usually this means the transit is too shallow to localize in pixel data, or the stored ephemeris doesn't propagate cleanly to any sector that has pixel data available."
TIC_192520375,192520375,36.16475796699524,completed,62.0,0.665354740085471,"Photocenter shifted 0.67 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_193708920,193708920,28.28160810470581,completed,55.0,0.18585920066589065,Photocenter consistent with target (0.19 px from catalog position),
TIC_195093356,195093356,22.089465856552124,completed,75.0,2.097480441613564,"Photocenter shifted 2.10 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_195199644,195199644,26.946313858032227,completed,55.0,0.6403665412168686,"Photocenter shifted 0.64 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_1950736,1950736,40.97748589515686,completed,71.0,1.025665092598998,"Photocenter shifted 1.03 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_193628179,193628179,51.76710295677185,completed,74.0,0.8350843702287817,"Photocenter shifted 0.84 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_197959526,197959526,28.724745988845825,completed,28.0,0.5129558381156833,"Photocenter shifted 0.51 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_194179013,194179013,56.86178994178772,completed,91.0,1.7485557757787242,"Photocenter shifted 1.75 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_180987952,180987952,197.30968499183655,completed,88.0,1.0353449607948484,"Photocenter shifted 1.04 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_196286587,196286587,41.55585813522339,failed,,,,"Checked 2 available sector(s); none gave a trustworthy photocenter. sector 34: measured depth -2583 ppm vs expected 927 ppm -- ephemeris doesn't line up here; sector 61: measured depth -1553 ppm vs expected 927 ppm -- ephemeris doesn't line up here. Usually this means the transit is too shallow to localize in pixel data, or the stored ephemeris doesn't propagate cleanly to any sector that has pixel data available."
TIC_198616607,198616607,26.129870891571045,completed,52.0,1.5432507230504062,"Photocenter shifted 1.54 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_201154493,201154493,14.391088008880615,failed,,,,"Checked 1 available sector(s); none gave a trustworthy photocenter. sector 18: measured depth 6680 ppm vs expected 420 ppm -- ephemeris doesn't line up here. Usually this means the transit is too shallow to localize in pixel data, or the stored ephemeris doesn't propagate cleanly to any sector that has pixel data available."
