host,recon_err,var_oot_rms
Kepler-74,0.00011845825792988762,0.0168274317647186
Kepler-740,0.002348361915210262,0.0510716355478655
Kepler-741,0.00024842760649335105,0.027356330336997
Kepler-742,5.255556152405916e-05,0.0187751668081182
Kepler-743,1.177376998384716e-05,0.003150595629529
Kepler-744,1.3806666629534448e-05,0.0071348035556396
Kepler-745,0.0009443040544283576,0.0345614808361499
Kepler-746,1.2389626135700382e-05,0.0076706194031279
Kepler-747,0.0003063177100557368,0.0527602806943327
Kepler-748,0.00023938584854477085,0.0379834670058137
Kepler-75,0.00015530384007433895,0.0307300019763613
Kepler-750,2.6492945835343562e-05,0.0161008660266763
Kepler-751,2.8940816491740406e-05,0.0255886329395815
Kepler-752,0.0002379387860855786,0.056083996927493
Kepler-753,1.7004190340230707e-05,0.0141877211450499
Kepler-754,0.00014333351100503933,0.0370453742073049
Kepler-755,1.3841267104908184e-05,0.0136385029906431
Kepler-756,0.0006130209876573645,0.0461313681758649
Kepler-757,2.666654609129182e-05,0.0223288448026025
Kepler-758,0.00028047712839907035,0.0350516059034675
Kepler-759,5.2587678055715514e-05,0.0253039264402628
Kepler-76,1.6552365991628903e-05,0.0094320155346837
Kepler-760,0.00015538910338364076,0.0391437986564928
Kepler-761,2.5861435915430775e-05,0.0158909861445028
Kepler-762,0.00023626116671948694,0.0454668551608995
Kepler-763,0.001172783988295123,0.0467716355593648
Kepler-764,0.0002254399350931635,0.0350068730309706
Kepler-765,2.7544020895220456e-05,0.0166505048100244
Kepler-766,0.00058423237351235,0.0582800363111454
Kepler-767,0.00035972897239844315,0.0369383768031543
Kepler-768,0.00024964375916169956,0.0714280813934651
Kepler-769,7.532071867899504e-05,0.0242758631660278
Kepler-77,2.7296291818856844e-05,0.0103637239406252
Kepler-770,4.185264515399467e-05,0.0190682049038944
Kepler-771,0.0001380913035973208,0.0249744102627683
Kepler-772,1.000760528313549e-05,0.0111556919148743
Kepler-773,1.1715934931544325e-05,0.0069514480783442
Kepler-774,9.094240510876261e-06,0.0042301819721865
Kepler-775,1.3545008869186859e-05,0.0066728542540794
Kepler-776,0.00033420052204746753,0.0346036422076043
Kepler-777,0.00010540631046751514,0.0356084745717466
Kepler-778,0.00030877596145728603,0.0342363880296129
Kepler-779,0.0003192316471540835,0.0292029008024627
Kepler-78,5.601195965709849e-06,0.0023099489088695
Kepler-780,1.5090937267814297e-05,0.0057446734364574
Kepler-781,0.0010569906298769638,0.0573516326132475
Kepler-782,0.001576754657435231,0.0251431372445904
