tid,toi,tfopwg_disp,ra,dec,st_rad,st_teff
355636844,146.01,FP,358.302034,-56.013252,,
17005768,1460.01,FP,20.610639,26.925729,1.1282001,5766.0
220435095,147.01,FP,73.641474,-57.513453,2.6126101,5620.9
427654774,1474.01,FP,349.289072,70.190576,0.275946,3453.0
421308357,1479.01,FP,288.818098,57.760569,2.63,6423.0
335483600,1480.01,FP,332.613639,63.55055,,8181.0
197650870,1481.01,FP,336.705071,52.227842,4.02,8332.0
452803785,1483.01,FP,338.435039,52.636337,1.09,6109.0
67309890,1484.01,FP,343.156204,48.55001,2.23,5843.7
441732151,1555.01,FP,257.876742,72.135555,1.04,6025.3
405794804,1556.01,FP,324.714399,65.039172,1.65,8009.0
320506985,1557.01,FP,8.163572,54.654594,1.69,5751.0
117322779,1558.01,FP,48.352264,49.783757,,
220518305,156.01,FP,41.467598,-64.320687,1.28,5823.9
245462406,1561.01,FP,38.821696,55.703217,3.35,6777.0
249862365,1562.01,FP,38.123017,52.704091,1.84,6208.0
256414077,1566.01,FP,15.606503,60.715521,1.63,6516.0
259151170,1567.01,FP,50.345888,52.692112,0.86,4503.5
284050395,1568.01,FP,8.989872,65.026035,0.94,5421.0
285666479,1569.01,FP,43.61065,52.07103,4.92,5511.5
285674856,1570.01,FP,53.196298,51.884502,1.8,8348.0
285677945,1571.01,FP,53.098973,50.49904,2.14,5624.8
292321872,1572.01,FP,31.902189,45.500156,2.52,6322.2
307111282,1574.01,FP,14.640115,50.936428,1.21,5791.0
316254876,1575.01,FP,51.988839,54.865617,1.63,5429.5
327011842,1576.01,FP,23.466893,45.010329,5.3874698,4975.0
332154944,1577.01,FP,19.278636,57.514232,1.13,6082.0
348135793,1578.01,FP,34.376965,56.42149,2.11,6742.0
354400186,1579.01,FP,27.738026,48.352316,,8393.7
403136413,158.01,FP,333.578718,-55.378981,2.3,5988.0
370759867,1581.01,FP,28.16355,55.185971,0.97,5865.0
374400599,1582.01,FP,34.69789,64.356382,2.04,6904.3
403256331,1583.01,FP,4.249336,58.679253,4.62,10097.0
418987806,1584.01,FP,6.519425,63.319412,4.27,6919.0
444415148,1585.01,FP,6.308908,62.543115,5.03,9542.0
403287048,152.01,FP,332.357482,-62.334453,1.22,6347.0
269238073,1520.01,FP,350.232731,62.161179,1.5,6153.0
366074069,1521.01,FP,356.770579,69.049522,2.31,6146.0
367102581,1522.01,FP,314.269036,78.674917,1.89,9024.0
387413037,1523.01,FP,311.236535,69.151807,1.53,6745.0
314338017,1524.01,FP,319.144978,58.772809,6.79,8522.0
276380902,1525.01,FP,308.065776,58.328901,3.14,9603.0
313761775,1526.01,FP,318.347586,56.943732,2.38,6298.0
312259170,1529.01,FP,11.042775,59.464498,,8078.0
312469860,1530.01,FP,12.881425,55.710926,1.67,6941.0
