tic_id,sector,ra,dec,st_rad,st_rad_err,st_mass,st_mass_err,st_teff
308225736,104,40.4077947037383,-39.0698993406493,2.20118,,,,5095.0
160714507,104,275.383557462489,-48.8539229535233,1.91084,0.0942461,1.33,0.211194,6503.0
362852137,104,266.164786155416,-47.9803381237767,0.317663,0.0129486,0.296866,0.0225936,3401.0
238169256,104,356.871717209283,-67.7201239339912,,,,,7451.0
57219252,104,274.192227234322,-40.9669184897318,0.350427,0.0147928,0.334701,0.0235633,3229.0
616415905,104,1.42370493717076,-46.1729201014022,,,,,
234507929,104,12.6500537167021,-60.4906323686638,2.28338,0.0890526,1.59,0.277834,7139.0
394632474,104,351.315429302912,-68.5404761739791,11.1767,,,,4803.0
161356637,104,343.86338851447,-52.302707776078,0.533027,0.0300727,0.529733,0.0312494,
180444482,104,15.1471929634341,-36.2382433860083,28.5103,,,,4196.0
616617233,104,19.1488963068874,-32.7661460882827,,,,,
322008992,104,3.22649937363668,-43.570301485515,30.6748,,,,4241.0
406276748,104,326.09036446185,-60.2167651991297,0.952672,0.0444473,1.13,0.146555,6051.0
2027012057,104,336.816067567173,-54.1950426712859,,,,,
219927265,104,298.368662119031,-49.4763458892957,2.01548,0.0983367,1.12,0.148276,6043.2
155985589,104,7.19243037129175,-48.5124262986444,,,,,
196853268,104,277.326716502517,-35.2259750218383,,,,,
330163931,104,271.914965950492,-36.9318275095591,15.9341,,,,4560.0
31566952,104,265.723901573432,-44.2692935819081,,,,,
140496111,104,21.6897710900385,-34.1611929840625,3.95793,,,,5022.0
421218621,104,261.80840635725,-57.7325819725764,0.703025,,0.71,,4508.0
1689157636,104,273.514437287472,-64.7504516456746,,,,,
1988818073,104,318.834222306718,-63.1954977458733,,,,,
100615932,104,309.98238910231,-53.3927156145758,1.69515,0.0609146,1.68,0.276143,7376.0
165880227,104,1.36674620879452,-42.88738807911,111.188,,,,3413.0
115271591,104,25.3638407852751,-38.1328269294885,1.57658,0.0720453,1.45,0.243415,6771.0
651249651,104,45.3372053741587,-37.8499386949809,,,,,
165886263,104,1.93463622265791,-44.0806948129514,10.11,,,,4787.0
197054642,104,277.604483873301,-35.805041026895,0.536432,0.0176173,0.532888,0.0214414,3696.0
616603369,104,19.4406027362919,-35.453353103015,,,,,
1922320758,104,294.452252579306,-69.3996299021675,,,,,
1923409577,104,290.914466116417,-52.8645198370903,,,,,
234521067,104,15.029231698064,-61.4545236721566,2.07048,,,,5885.4
212649145,104,256.371713572909,-50.9869974370866,0.867758,,0.94,,5417.0
247459453,104,253.907593245278,-45.1029530183412,,,,,
