host,n_original,n_after_quality,n_after_outliers,n_final,pct_removed,pre_norm_median_flux,flux_source
TIC_219751469,18746,18503,18494,18494,1.344286781179982,81917.655,pdcsap_flux
TIC_224601047,18843,16740,16740,16740,11.160643209679987,725.5915,pdcsap_flux
TIC_229951289,18424,17734,17734,17734,3.745115067303517,13030.789499999999,pdcsap_flux
TIC_229976631,19610,19610,19610,19610,0.0,5690.56025,pdcsap_flux
TIC_233059608,18419,18419,18419,18419,0.0,274369.03,pdcsap_flux
TIC_233684293,18421,18421,18420,18420,0.005428586938815982,39008.61,pdcsap_flux
TIC_233831759,18882,18024,18023,18023,4.5493062175617,1698.7509,pdcsap_flux
TIC_237108272,18422,18422,18422,18422,0.0,31551.662,pdcsap_flux
TIC_237184773,19607,19607,18924,18924,3.4834497883408977,97849.83,pdcsap_flux
TIC_251086776,15677,14826,14826,14826,5.428334502774767,9951.542,pdcsap_flux
TIC_245947683,16637,15625,15624,15624,6.088838131874741,14204.2135,pdcsap_flux
TIC_262457587,11140,8714,8668,8668,22.1903052064632,10175.56075,pdcsap_flux
TIC_259099556,18423,18423,18419,18419,0.02171199044672667,44572.312,pdcsap_flux
TIC_259863352,18273,18273,18272,18272,0.005472555135987989,230338.435,pdcsap_flux
TIC_259962054,18277,18277,18274,18274,0.01641407233134995,1903.6127999999999,pdcsap_flux
TIC_270435047,17990,17990,17990,17990,0.0,1260.5327,pdcsap_flux
TIC_2760710,18300,18300,18299,18299,0.005464480874317612,533.3989,pdcsap_flux
TIC_276360911,19025,19025,19025,19025,0.0,21657.254,pdcsap_flux
TIC_286132427,13320,12992,12992,12992,2.462462462462467,93050.795,pdcsap_flux
TIC_277099925,18277,18277,18277,18277,0.0,3278.2617,pdcsap_flux
TIC_29781292,18276,18276,18276,18276,0.0,42548.7175,pdcsap_flux
TIC_298073824,18416,18416,18414,18414,0.010860121633360365,91943.06,pdcsap_flux
TIC_310981412,18424,18424,18424,18424,0.0,12603.6145,pdcsap_flux
