host,label,status,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,elapsed_s
EPIC_212297394,1,Success,0.0006101430779446,0.0023091837326215,-0.000175710272356,-4.201880570013257,224.51362483302364
EPIC_212424622,1,Success,2.650585736812422e-05,0.001561207701704,0.0003560392017759,0.0901075891224845,33.370017541979905
EPIC_212499991,1,Success,6.432356259671211e-05,,4.2181020049048e-05,0.8358537284779144,42.29046291700797
EPIC_212587672,1,Success,5.114046913209941e-05,0.0007547502301731,5.411965652002415e-05,0.5993899305761007,148.33035354100866
EPIC_212624936,1,Success,6.628171555504368e-05,0.0016614101256888,0.0005251896488684,-0.1652022863411904,40.649858957971446
EPIC_212737443,1,Success,0.0002437665485767,0.0099718736172132,0.0002058806592284,-0.843287575941583,31.822368125023782
EPIC_220492298,1,Success,7.379519786698501e-05,0.0022412185138229,0.0003414091181596,-1.356787868562738,50.35394270805409
EPIC_220674823,1,Success,2.723589572389605e-05,0.0004916163897467,6.215384093000154e-05,3.2664530796689037,142.05908504204126
EPIC_228836835,1,Success,0.0003322854500667,0.0046706065376542,0.0004706529555998,5.229223353992569,58.12811254197731
EPIC_229004835,1,Success,8.079789669275036e-07,0.0003389566678599,-3.2936020477603023e-06,-41.66661276771617,53.21752075001132
EPIC_246851721,1,Success,1.3989721463381004e-05,2.7478186931664057e-05,1.3888429376773814e-05,-0.2585846397998455,122.8306150000426
EPIC_248847494,1,Success,6.700897626332134e-06,0.0007883192897275,9.071951187289427e-05,,29.71883791597793
EPIC_249893012,1,Success,3.045393679361809e-06,0.0004375245903315,0.0001128914431893,,27.75308579200646
FU_Tau,1,Success,9.6155620755996e-05,0.0063543532582221,0.0008096837438469,,34.17597587505588
GJ_1002,1,Success,7.926649681911118e-06,0.0001650185633724,2.6196216842744313e-05,,107.5316430000239
GJ_1061,1,Success,6.807909186039449e-07,0.0002202469536329,3.210505303852251e-05,,25.06431895797141
GJ_1132,1,Success,3.5108877002982864e-06,0.0004316918203794,0.0001621887360037,,32.70178650005255
GJ_1148,1,Success,6.722269230975001e-07,0.0001203934612167,-4.115821121164487e-05,-1.1358647807315516,27.453702458005864
GJ_1151,1,Success,1.8679405947258664e-06,0.0006145995453068,7.562269164684832e-05,,27.04155945801176
GJ_1252,1,Success,1.5350308370030951e-06,0.0002080997021046,0.000148878737564,0.704696889831725,31.15943475003587
GJ_1265,1,Success,5.440412596434259e-05,0.0006714431548051,4.088844716143569e-07,-0.2859886581161408,102.76604587497422
GJ_1289,1,Success,1.1423162350281412e-06,0.0004788103777932,1.811549101560228e-05,,24.99886920797871
GJ_143,1,Success,1.4521767646901798e-07,0.0002628530129615,-3.645012138786541e-06,0.9943140279654192,41.284517999971285
GJ_15_A,1,Success,2.6289549527704946e-07,0.0001890720188685,4.3447547211084014e-05,,26.96508150000591
GJ_160.2,1,Success,2.2475928466348737e-07,0.0001170520210423,-5.870173006350399e-06,,26.874846249993425
GJ_163,1,Success,6.025919227523756e-07,0.000183877219429,4.4731769762051954e-05,-0.5972961259271237,23.385827042046003
GJ_179,1,Success,1.8222697113928143e-06,0.0006483366501842,4.619118679205503e-05,-1.8002157817649065,36.292265417054296
GJ_180,1,Success,4.186354712860257e-07,0.0003048997158054,2.1459474841556417e-05,,33.62098283396335
GJ_2030,1,Success,2.8171525600583417e-08,7.706773569173224e-05,3.9074157027751966e-06,0.347737607976098,28.436476333998144
GJ_2056,1,Success,3.79243329390861e-07,9.87469240866667e-05,1.2133069573816437e-05,,26.121720291965175
GJ_2126,1,Success,3.012043753020261e-07,6.348026810931717e-05,0.0007993429506724,1.018554578012016,4.50284524995368
GJ_229,1,Success,4.797567177211757e-08,0.0001071313490969,1.2013400785271244e-07,-0.2280677231039571,21.022196375008207
GJ_238,1,Success,6.411810977829621e-07,0.0002315394176715,1.2016500998468516e-05,,31.423438291996717
GJ_251,1,Success,1.5887753043758102e-07,5.831471827048098e-05,0.0001614169495465,0.9328826805585954,22.89963262504898
