tic_id,sector,n_sectors_observed,sectors_observed,st_rad,st_mass,st_teff
1205693844,103,3,"103,102,101",,,
350463976,103,3,"103,102,101",2.85435,2.03,8263.0
2026046338,103,3,"103,102,101",,,
303555469,103,3,"103,102,101",0.811418,0.82,4983.0
1988646496,103,3,"103,102,101",,,
350462060,103,3,"103,102,101",0.744484,0.84,5027.0
343720622,103,3,"103,102,101",0.258459,0.230072,3178.0
1116764594,103,3,"103,102,101",,,
447691425,103,3,"103,102,101",0.793672,0.86,5097.0
343297686,103,3,"103,102,101",0.205679,0.174639,3115.0
361336345,103,3,"103,102,101",3.79989,1.68,7372.27
466679588,103,3,"103,102,101",1.89522,1.99,8161.0
447263332,103,3,"103,102,101",0.761005,0.8,4877.0
1689082443,103,3,"103,102,101",,,
1922402287,103,3,"103,102,101",,,
300432135,103,3,"103,102,101",2.07371,2.43,9562.0
423240775,103,3,"103,102,101",1.82156,1.78,7632.0
406319088,103,3,"103,102,101",14.3525,,4642.0
294292672,103,3,"103,102,101",10.5376,,4861.0
268750437,103,3,"103,102,101",10.3698,,4673.0
1816600800,103,3,"103,102,101",,,
374288012,103,3,"103,102,101",3.08962,1.67,7353.0
277715787,103,3,"103,102,101",2.44218,1.85,7794.0
42748763,103,3,"103,102,101",59.0928,,6496.0
305176519,103,3,"103,102,101",27.2156,,4464.0
363371869,103,3,"103,102,101",3.23981,2.35,9254.0
423422383,103,3,"103,102,101",0.698239,0.71,4524.0
361282196,103,3,"103,102,101",,,
1988836491,103,3,"103,102,101",,,
339847182,103,3,"103,102,101",,,3081.0
294684134,103,3,"103,102,101",3.5262,2.64,10276.0
1988793131,103,3,"103,102,101",,,
364355149,103,3,"103,102,101",0.337699,0.319988,3256.0
277686948,103,3,"103,102,101",0.300587,0.277288,3208.0
300643335,103,3,"103,102,101",0.595069,0.64,4099.0
410348210,103,3,"103,102,101",0.992039,1.04,5776.0
1988696923,103,3,"103,102,101",,,
360696800,103,3,"103,102,101",0.507597,0.505513,3664.0
447185974,103,3,"103,102,101",1.17104,0.51,3603.0
364545901,103,3,"103,102,101",129.32,,3399.0
352140701,103,3,"103,102,101",0.770436,0.79,4864.0
1922636197,103,3,"103,102,101",,,
293901590,103,3,"103,102,101",16.3273,,4605.0
466093558,103,3,"103,102,101",0.637406,0.617599,3986.0
1816332953,103,3,"103,102,101",,,
1987877959,103,3,"103,102,101",,,
311175008,103,3,"103,102,101",3.29641,2.29,9075.0
406272866,103,3,"103,102,101",1.63117,1.53,6979.0
371836310,103,3,"103,102,101",12.5713,,4629.75
1988653635,103,3,"103,102,101",,,
345170989,103,3,"103,102,101",0.735972,0.67,4306.0
1987851055,103,3,"103,102,101",,,
43705631,103,3,"103,102,101",2.68966,2.37,9337.0
238829525,103,3,"103,102,101",,,4338.7
311697391,103,3,"103,102,101",2.30827,2.31,9143.0
360541225,103,3,"103,102,101",,,3171.0
301153917,103,3,"103,102,101",0.957836,1.01,5683.0
277748932,103,3,"103,102,101",2.18056,2.16,8634.0
46473449,103,3,"103,102,101",10.025,,6076.0
1310815601,103,3,"103,102,101",0.920943,0.84,5054.0
372442214,103,3,"103,102,101",84.7803,,3781.0
1815541951,103,3,"103,102,101",0.50126,0.71,4525.0
1816562069,103,3,"103,102,101",,,
372203352,103,3,"103,102,101",2.19731,1.89,7889.0
324425723,103,3,"103,102,101",,,
447749642,103,3,"103,102,101",0.886194,0.88,5174.0
380527368,103,3,"103,102,101",11.6165,,4812.0
343652400,103,3,"103,102,101",0.268672,0.24133,3351.0
456324555,103,3,"103,102,101",3.97492,2.08,8387.0
409780413,103,3,"103,102,101",8.2432,,4896.0
344002749,103,3,"103,102,101",0.721669,0.74,4665.0
1815838232,103,3,"103,102,101",,,
