Host Star,Status,search_seconds,download_seconds,write_seconds,search_method
HD 170469,No TESS Data,4.811390791001031,0.0,0.0,none
HD 171028,No TESS Data,4.1365467499999795,0.0,0.0,none
HD 206893,No TESS Data,4.104562915978022,0.0,0.0,none
HIP 98599,No TESS Data,4.689529416005826,0.0,0.0,none
K2-107,No TESS Data,3.283091958001023,0.0,0.0,none
K2-163,No TESS Data,3.510970833012834,0.0,0.0,none
K2-2016-BLG-0005L,No TESS Data,5.659387124993373,0.0,0.0,none
K2-202,No TESS Data,2.121932750014821,0.0,0.0,none
K2-245,No TESS Data,2.559321207983885,0.0,0.0,none
K2-255,No TESS Data,4.59164995898027,0.0,0.0,none
K2-292,No TESS Data,4.377025166992098,0.0,0.0,none
K2-365,No TESS Data,2.1960077499970794,0.0,0.0,none
K2-385,No TESS Data,6.815373541001463,0.0,0.0,none
K2-412,No TESS Data,11.879936374985846,0.0,0.0,none
K2-52,No TESS Data,3.1069701249944046,0.0,0.0,none
K2-53,No TESS Data,2.659721083007753,0.0,0.0,none
KMT-2016-BLG-1105L,No TESS Data,5.975649833999341,0.0,0.0,none
KMT-2016-BLG-1337L,No TESS Data,5.70853483301471,0.0,0.0,none
KMT-2016-BLG-1820L,No TESS Data,4.819032041006722,0.0,0.0,none
KMT-2016-BLG-2142L,No TESS Data,5.0436527080019005,0.0,0.0,none
KMT-2016-BLG-2321L,No TESS Data,3.813952500000596,0.0,0.0,none
KMT-2016-BLG-2364L,No TESS Data,8.213032125000609,0.0,0.0,none
KMT-2016-BLG-2397L,No TESS Data,3.3820714589965064,0.0,0.0,none
KMT-2016-BLG-2605L,No TESS Data,4.861571207991801,0.0,0.0,none
KMT-2017-BLG-0428L,No TESS Data,6.463454333978007,0.0,0.0,none
KMT-2017-BLG-0849L,No TESS Data,3.479704458004562,0.0,0.0,none
KMT-2017-BLG-1003L,No TESS Data,3.671715000004042,0.0,0.0,none
KMT-2017-BLG-1057L,No TESS Data,3.3060264160158113,0.0,0.0,none
KMT-2017-BLG-1194L,No TESS Data,4.40205924998736,0.0,0.0,none
KMT-2017-BLG-2197L,No TESS Data,4.678387791005662,0.0,0.0,none
KMT-2017-BLG-2331L,No TESS Data,4.459615332976682,0.0,0.0,none
KMT-2018-BLG-0030L,No TESS Data,4.109164333000081,0.0,0.0,none
KMT-2018-BLG-0087L,No TESS Data,6.00679787498666,0.0,0.0,none
KMT-2018-BLG-0247L,No TESS Data,5.788262624992058,0.0,0.0,none
KMT-2018-BLG-0885L,No TESS Data,4.741226500016637,0.0,0.0,none
KMT-2018-BLG-1743L,No TESS Data,6.5480987500050105,0.0,0.0,none
KMT-2018-BLG-1976L,No TESS Data,3.8933434159844182,0.0,0.0,none
KMT-2018-BLG-1988L,No TESS Data,5.419347624992952,0.0,0.0,none
KMT-2018-BLG-1996L,No TESS Data,3.023620291991392,0.0,0.0,none
KMT-2018-BLG-2602L,No TESS Data,4.348643292003544,0.0,0.0,none
KMT-2019-BLG-0297L,No TESS Data,3.512300750007853,0.0,0.0,none
KMT-2019-BLG-0298L,No TESS Data,4.125925125001231,0.0,0.0,none
KMT-2019-BLG-0335L,No TESS Data,3.1254547919961624,0.0,0.0,none
KMT-2019-BLG-0371L,No TESS Data,6.855113165976945,0.0,0.0,none
KMT-2019-BLG-0414L,No TESS Data,2.864159958990058,0.0,0.0,none
KMT-2019-BLG-0578L,No TESS Data,3.48484400002053,0.0,0.0,none
KMT-2019-BLG-1042L,No TESS Data,4.879428499989444,0.0,0.0,none
KMT-2019-BLG-1216L,No TESS Data,3.778174291976029,0.0,0.0,none
KMT-2019-BLG-1367L,No TESS Data,4.1146336249948945,0.0,0.0,none
KMT-2019-BLG-1552L,No TESS Data,4.817686875001527,0.0,0.0,none
KMT-2019-BLG-1715L,No TESS Data,4.097999082994647,0.0,0.0,none
KMT-2019-BLG-1806L,No TESS Data,6.702165541995782,0.0,0.0,none
KMT-2019-BLG-2783L,No TESS Data,4.912493250012631,0.0,0.0,none
KMT-2019-BLG-2974L,No TESS Data,4.699681958009023,0.0,0.0,none
KMT-2020-BLG-0202L,No TESS Data,4.9156245830236,0.0,0.0,none
KMT-2021-BLG-0119L,No TESS Data,5.763683958008187,0.0,0.0,none
KMT-2021-BLG-0240L,No TESS Data,5.622334124986082,0.0,0.0,none
KMT-2021-BLG-0320L,No TESS Data,5.257068917009747,0.0,0.0,none
KMT-2021-BLG-0322L,No TESS Data,5.678213457984384,0.0,0.0,none
KMT-2021-BLG-0736L,No TESS Data,3.2105367920012213,0.0,0.0,none
KMT-2021-BLG-0748L,No TESS Data,5.866776542010484,0.0,0.0,none
KMT-2021-BLG-0852L,No TESS Data,6.232039374997839,0.0,0.0,none
KMT-2021-BLG-0909L,No TESS Data,3.678937291988405,0.0,0.0,none
KMT-2021-BLG-1077L,No TESS Data,4.806966416013893,0.0,0.0,none
KMT-2021-BLG-1105L,No TESS Data,5.408383709000191,0.0,0.0,none
KMT-2021-BLG-1150L,No TESS Data,3.242919374984922,0.0,0.0,none
KMT-2021-BLG-1253L,No TESS Data,3.931237291020807,0.0,0.0,none
KMT-2021-BLG-1372L,No TESS Data,3.3396021669905167,0.0,0.0,none
KMT-2021-BLG-1391L,No TESS Data,3.4914513340045232,0.0,0.0,none
KMT-2021-BLG-1689L,No TESS Data,5.293984749994706,0.0,0.0,none
KMT-2021-BLG-1770L,No TESS Data,5.434022916015238,0.0,0.0,none
KMT-2021-BLG-1898L,No TESS Data,3.2153016660013236,0.0,0.0,none
KMT-2021-BLG-2010L,No TESS Data,7.576650540984701,0.0,0.0,none
KMT-2021-BLG-2478L,No TESS Data,3.4811595839855727,0.0,0.0,none
KMT-2021-BLG-2609L,No TESS Data,3.7819438750157137,0.0,0.0,none
KMT-2022-BLG-0303L,No TESS Data,5.397164584021084,0.0,0.0,none
KMT-2022-BLG-0371L,No TESS Data,3.3436115420190617,0.0,0.0,none
