hostname,pl_name,ra,dec,st_rad,st_teff,st_mass
K2-201,K2-201 c,293.5607117,-23.1312775,0.878161,5507.0,0.956055
Kepler-580,Kepler-580 b,283.4997537,40.5528053,0.64,4298.0,0.67
Kepler-1723,Kepler-1723 b,294.4627362,46.8214022,1.01,6072.0,0.96
omi UMa,omi UMa b,127.5649503,60.7177048,13.84,5075.0,2.72
Kepler-163,Kepler-163 b,295.0027458,46.9873389,0.917,5776.0,0.882
GJ 179,GJ 179 b,73.0245495,6.4752347,0.38,3370.0,0.357
HD 7924,HD 7924 b,20.4956562,76.7101475,0.78,5131.0,0.65
Kepler-1218,Kepler-1218 b,291.5788505,44.5316825,1.1,5986.0,1.06
HATS-57,HATS-57 b,60.9482779,-19.0568182,0.96,5587.0,1.026
Kepler-603,Kepler-603 c,294.2809679,42.2909295,1.01,5808.0,1.01
HD 191939,HD 191939 f,302.0256247,66.8503014,0.94,5348.0,0.81
HD 30669,HD 30669 b,72.1198522,-28.4190757,0.91,5400.0,0.92
OGLE-2014-BLG-1722L,OGLE-2014-BLG-1722L c,268.75238,-31.4690552,,,0.4
K2-244,K2-244 b,183.4686492,-3.8318097,0.92,5677.0,0.86
EPIC 201497682,EPIC 201497682 b,168.9366786,0.4880606,0.554,4991.0,0.78
Kepler-653,Kepler-653 c,282.2130447,46.7177898,1.19,5665.0,1.02
K2-59,K2-59 c,338.94255,-14.027727,0.731,5055.0,0.774
Kepler-531,Kepler-531 b,286.5246582,48.6835481,0.75,4893.0,0.78
HD 104067,HD 104067 c,179.7923543,-20.3556058,0.78,4952.0,0.82
HIP 97166,HIP 97166 c,296.2446203,74.0628577,0.8418,5216.0,0.9342
TOI-2379,TOI-2379 b,358.0920465,-53.043156,0.622,3707.0,0.645
WASP-140,WASP-140 b,60.3855387,-20.4509991,0.87,5300.0,0.9
K2-255,K2-255 b,189.9128532,-3.3705631,0.69,4676.0,0.71
OGLE-2018-BLG-1011L,OGLE-2018-BLG-1011L b,269.014,-29.0828889,,,0.18
Kepler-365,Kepler-365 c,295.626564,49.130411,1.048,6012.0,1.02
Kepler-592,Kepler-592 b,285.7907395,48.6832431,1.04,5913.0,1.04
Kepler-1542,Kepler-1542 d,285.7284757,42.6544651,0.99,5564.0,0.94
Kepler-29,Kepler-29 c,298.348382,47.4913021,0.732,5378.0,0.761
Kepler-506,Kepler-506 b,284.6351885,40.7198296,1.19,6236.0,1.19
Kepler-1814,Kepler-1814 b,285.2166767,41.2824449,0.823,4922.0,0.79
Kepler-1004,Kepler-1004 b,297.3593427,49.7975464,3.39,4972.0,1.11
Kepler-1911,Kepler-1911 b,299.303559,41.4410233,0.972,5721.0,0.954
Kepler-46,Kepler-46 d,289.2687388,42.6041819,0.79,5309.0,0.883
kap CrB,kap CrB b,237.8080012,35.6558818,4.68,4840.0,1.33
Kepler-1548,Kepler-1548 b,287.4711817,46.0805706,0.97,5706.0,0.99
WASP-61,WASP-61 b,75.2996637,-26.0541438,1.55,6250.0,1.82
Kepler-281,Kepler-281 d,294.1081465,44.7706524,0.884,5717.0,0.984
HD 190360,HD 190360 c,300.9092476,29.894541,1.14,5560.0,0.996
Kepler-1287,Kepler-1287 b,289.1346298,47.063018,0.94,5715.0,0.96
Kepler-1506,Kepler-1506 b,290.1498822,41.4645625,0.93,5676.0,0.95
Kepler-913,Kepler-913 b,297.5830564,41.9523531,0.61,4687.0,0.63
TOI-3160 A,TOI-3160 A b,224.5658555,-27.6825503,1.346,6190.0,1.088
Kepler-1066,Kepler-1066 b,298.866621,46.5022325,0.98,5762.0,0.98
Kepler-262,Kepler-262 c,290.7287168,37.2526575,0.881,5841.0,0.816
KOI-351,KOI-351 h,284.4334642,49.3051239,1.185,6031.13,1.242
HD 99492,HD 99492 b,171.689687,3.0071331,0.822539,4929.0,0.85
Kepler-359,Kepler-359 d,293.2936129,42.1963497,1.086,6248.0,0.827
