host,status,n_original,n_after_quality,n_after_outliers,n_final,pct_removed,pre_norm_median_flux,flux_source,elapsed_s
K2-32,Success,88931.0,74579.0,74575.0,74575.0,16.142852323711644,4617.95,pdcsap_flux,1.1026042080193292
K2-333,Success,16287.0,15509.0,15509.0,15509.0,4.776815865414131,3783.4243,pdcsap_flux,0.2350115420122165
K2-334,Success,16287.0,15503.0,15503.0,15503.0,4.8136550623196435,6502.61,pdcsap_flux,0.2342361250193789
K2-336,Success,16286.0,15497.0,15497.0,15497.0,4.844651848213188,2563.494,pdcsap_flux,0.2115854590083472
K2-335,Success,16284.0,15281.0,15281.0,15281.0,6.159420289855078,2352.7837,pdcsap_flux,0.2507666669844184
K2-337,Success,16842.0,15505.0,15505.0,15505.0,7.9384871155444685,3011.4597,pdcsap_flux,0.2242121250019408
K2-339,Success,16172.0,14609.0,14608.0,14608.0,9.67103635913925,521.8394499999999,pdcsap_flux,0.2090112089936155
K2-338,Success,16280.0,15238.0,15238.0,15238.0,6.400491400491404,1885.40715,pdcsap_flux,0.2377089999790769
K2-34,Success,16151.0,15257.0,15221.0,15221.0,5.758157389635321,6098.9663,pdcsap_flux,0.2056087079981807
K2-340,Success,16842.0,15491.0,15491.0,15491.0,8.021612635078966,562.61414,pdcsap_flux,0.2294426249864045
K2-341,Success,16271.0,15277.0,15276.0,15276.0,6.115174236371457,2431.5958499999997,pdcsap_flux,0.2203555419982876
K2-342,Success,16273.0,15277.0,15277.0,15277.0,6.120567811712652,8757.356,pdcsap_flux,0.2104326249973382
K2-343,Success,16274.0,15275.0,15275.0,15275.0,6.138626029249106,380.90445,pdcsap_flux,0.2935224999964703
K2-344,Success,16274.0,15236.0,15236.0,15236.0,6.3782720904510315,3077.4696,pdcsap_flux,0.2806353330088313
K2-345,Success,16272.0,15274.0,15274.0,15274.0,6.133235004916426,532.650275,pdcsap_flux,0.2844761250016745
K2-33,Success,84838.0,75439.0,75439.0,75439.0,11.078761875574628,1140.3662,pdcsap_flux,1.1168687909957953
K2-346,Success,16150.0,15232.0,15232.0,15232.0,5.684210526315791,6236.171,pdcsap_flux,0.2818158340232912
K2-347,Success,16069.0,15230.0,15230.0,15230.0,5.221233430829553,397.540225,pdcsap_flux,0.2909755840082653
K2-349,Success,16255.0,10157.0,10157.0,10157.0,37.51461088895724,590.7828,pdcsap_flux,0.1742883749830071
K2-350,Success,14708.0,11472.0,11472.0,11472.0,22.00163176502583,1165.0342,pdcsap_flux,0.185080957977334
K2-35,Success,16530.0,16198.0,16198.0,16198.0,2.0084694494857835,862.652535,pdcsap_flux,0.2352927089959848
K2-351,Success,14704.0,11412.0,11412.0,11412.0,22.388465723612622,626.9862800000001,pdcsap_flux,0.1732038339832797
K2-353,Success,16190.0,10111.0,10110.0,10110.0,37.55404570722668,3644.7164,pdcsap_flux,0.1857384589966386
K2-355,Success,16738.0,14731.0,14731.0,14731.0,11.9906798900705,959.16174,pdcsap_flux,0.237308292009402
K2-356,Success,16284.0,14653.0,14653.0,14653.0,10.0159665929747,1363.6376,pdcsap_flux,0.2306928329926449
K2-357,Success,16226.0,14678.0,14671.0,14671.0,9.583384691236285,1074.1978,pdcsap_flux,0.2435364589910023
K2-358,Success,16172.0,14696.0,14693.0,14693.0,9.145436557012122,935.7778,pdcsap_flux,0.2482916250010021
K2-366,Success,14107.0,12722.0,12722.0,12722.0,9.817820939958889,4230.6705,pdcsap_flux,0.1900827499921433
K2-367,Success,14985.0,9717.0,9717.0,9717.0,35.15515515515516,1431.3307,pdcsap_flux,0.1763067909923847
K2-369,Success,14568.0,9653.0,9653.0,9653.0,33.73833058758924,6907.8213,pdcsap_flux,0.1617285830143373
K2-370,Success,16642.0,15585.0,15557.0,15557.0,6.519649080639345,11623.0625,pdcsap_flux,0.233064459025627
K2-348,Success,98042.0,88146.0,88143.0,88143.0,10.096693253911592,3198.07,pdcsap_flux,1.333732250001049
K2-371,Success,16342.0,16342.0,16341.0,16341.0,0.006119202056054,513.74646,pdcsap_flux,0.2192635409883223
K2-352,Success,98155.0,92233.0,92228.0,92228.0,6.038408639396875,8562.526,pdcsap_flux,1.287230666988762
K2-372,Success,16285.0,15274.0,15274.0,15274.0,6.208167024869516,1069.65145,pdcsap_flux,0.1970396249962505
K2-354,Success,104278.0,99283.0,99252.0,99252.0,4.819808588580521,790.80605,pdcsap_flux,1.3376913749962114
K2-374,Success,16285.0,15506.0,15506.0,15506.0,4.7835431378569275,2064.65005,pdcsap_flux,0.2131257500150241
K2-375,Success,16272.0,15278.0,15276.0,15276.0,6.12094395280236,1630.13405,pdcsap_flux,0.2178201669885311
K2-37,Success,84606.0,73437.0,73437.0,73437.0,13.2011914048649,3663.9177,pdcsap_flux,0.9946514590119476
K2-376,Success,18232.0,17354.0,17354.0,17354.0,4.81570864414217,17729.349000000002,pdcsap_flux,0.2375298340048175
K2-377,Success,14703.0,11459.0,11459.0,11459.0,22.06352445079236,1172.3767,pdcsap_flux,0.1625018329941667
K2-36,Success,99227.0,93986.0,93944.0,93944.0,5.32415572374455,9873.240000000002,pdcsap_flux,1.3029449580062646
K2-378,Success,14704.0,11423.0,11423.0,11423.0,22.313656147986936,172.57176,pdcsap_flux,0.1705369579722173
K2-368,Success,112273.0,94065.0,94065.0,94065.0,16.2176124268524,1500.5266,pdcsap_flux,1.2932901669992134
K2-38,Success,14063.0,12512.0,12512.0,12512.0,11.028941193202025,8928.723,pdcsap_flux,0.1817709589959122
K2-380,Success,17540.0,14769.0,14769.0,14769.0,15.798175598631705,6987.5894,pdcsap_flux,0.2384079160110559
K2-382,Success,18161.0,15387.0,15387.0,15387.0,15.274489290237325,1898.9669,pdcsap_flux,0.2362020000000484
K2-386,Success,16268.0,12978.0,12978.0,12978.0,20.223752151462993,1622.5048000000002,pdcsap_flux,0.2141197499877307
K2-387,Success,15907.0,13008.0,13008.0,13008.0,18.224680958068777,266.36454000000003,pdcsap_flux,0.2173597090004477
K2-388,Success,15056.0,9338.0,9338.0,9338.0,37.97821466524973,2394.1272,pdcsap_flux,0.1787336250126827
K2-389,Success,15291.0,11446.0,11334.0,11334.0,25.877967431822647,5740.4568,pdcsap_flux,0.1844004580052569
K2-39,Success,14925.0,9666.0,9665.0,9665.0,35.2428810720268,16614.678,pdcsap_flux,0.1706000000122003
K2-390,Success,15290.0,11472.0,11472.0,11472.0,24.97056899934598,1153.74785,pdcsap_flux,0.1863324170117266
K2-373,Success,103833.0,98839.0,98807.0,98807.0,4.840464977415659,15839.793,pdcsap_flux,1.3255147919990122
K2-391,Success,15291.0,11430.0,11430.0,11430.0,25.250147145379632,3010.9450500000003,pdcsap_flux,0.1773269169789273
K2-393,Success,14511.0,9571.0,9571.0,9571.0,34.043139687133895,4774.6543,pdcsap_flux,0.163249041972449
K2-392,Success,15275.0,11342.0,11342.0,11342.0,25.74795417348609,2063.7501,pdcsap_flux,0.1851134999888017
K2-379,Success,106138.0,86492.0,86492.0,86492.0,18.509864516007458,2144.7599,pdcsap_flux,1.233579624997219
K2-394,Success,16644.0,15605.0,15605.0,15605.0,6.242489786109107,4414.299,pdcsap_flux,0.2253073330211918
K2-395,Success,16643.0,15596.0,15595.0,15595.0,6.2969416571531545,783.92535,pdcsap_flux,0.217334540997399
K2-396,Success,16640.0,15575.0,15574.0,15574.0,6.406250000000002,1700.49945,pdcsap_flux,0.2230113339901436
K2-381,Success,110506.0,91246.0,91242.0,91242.0,17.432537599768338,2588.69445,pdcsap_flux,1.2797011250222567
K2-383,Success,103106.0,88503.0,88501.0,88501.0,14.16503404263574,2270.707,pdcsap_flux,1.2298972079879604
K2-397,Success,16914.0,16237.0,16236.0,16236.0,4.008513657325297,5681.326,pdcsap_flux,0.2401475840015337
K2-400,Success,13363.0,13035.0,13035.0,13035.0,2.4545386515004153,1205.3401,pdcsap_flux,0.1832841249997727
K2-398,Success,16511.0,15820.0,15818.0,15818.0,4.19720186542305,1473.3188,pdcsap_flux,0.2342534170020371
K2-4,Success,17517.0,16947.0,16947.0,16947.0,3.253981846206544,651.81976,pdcsap_flux,0.236198415979743
K2-401,Success,16510.0,15789.0,15789.0,15789.0,4.367050272562079,1090.2134,pdcsap_flux,0.2104010830225888
K2-402,Success,16513.0,15918.0,15918.0,15918.0,3.603221704111914,1793.5718,pdcsap_flux,0.2198789160174783
K2-384,Success,105984.0,94762.0,94327.0,94327.0,10.9988300120773,468.03198,pdcsap_flux,1.3577012089954223
K2-403,Success,16568.0,16174.0,16171.0,16171.0,2.396185417672625,3553.5308,pdcsap_flux,0.224977250007214
K2-404,Success,16568.0,16052.0,16052.0,16052.0,3.1144374698213406,1153.96145,pdcsap_flux,0.2218160000047646
