host,n_points,n_points_original,was_binned,SDE,SDE_raw,FAP,period,period_uncertainty,T0,duration,depth,depth_mean,depth_mean_std,depth_mean_even,depth_mean_odd,odd_even_mismatch,rp_rs,snr,transit_count,distinct_transit_count,empty_transit_count,elapsed_s
TIC_431899140,16466,16466,False,15.374441534264133,14.693960066902331,8.0032e-05,1.9778123271480348,0.014953110996677,2913.1200350466665,0.1077422542723993,0.9993535488804768,0.9994294671248776,3.651756240932652e-05,0.999393931585658,0.9994590673920216,0.630435258091736,0.0228651993849673,15.433290971633966,12,11,1,20.67348141700495
TIC_431999925,16307,16307,False,6.691926932579597,6.839106593242114,0.015686275,0.9699328848804182,0.0029687711236461,1491.8487255200484,0.0052924068029696,0.9896623375448104,0.9876008511337668,0.0035894991173432,0.9858211331778772,0.9895076918007912,0.3684394810963893,0.0914362319358945,3.443104509786173,25,23,2,25.86393841699464
TIC_432008938,16309,16309,False,5.340120667552688,4.351266657723417,,11.47567946685736,0.0800383786948062,1503.009991265726,0.0661632266226828,0.9815063542001102,0.9835828586735746,0.0021117097371763,0.9705729512135808,0.9957796469173182,5.381572900981773,0.122297735222942,10.320893695612613,2,2,0,51.52399287500885
TIC_434100688,1191,1191,False,5.717181466152196,4.514578691363973,0.089155662,3.4273545499420095,0.0142845872205465,1354.4323281113775,0.052730322519104,0.9996749497744356,0.9997077537377074,7.843055383460833e-05,0.9997318063399352,0.9996768289634146,0.2429936702669208,0.0162137093203595,4.571313473394935,8,7,1,6.6384767920244485
TIC_434234955,17217,17217,False,11.938497457208337,10.28667371672162,8.0032e-05,6.061954074749559,0.0321497971701361,2178.5171384540736,0.0956573369315588,0.9987267357851992,0.998929644720035,0.0001436889919323,0.998877713176888,0.9989815762631822,0.2556298766766621,0.0320897558999788,7.757984960416455,4,4,0,46.60426383296726
TIC_434718964,17989,17989,False,11.250985318487311,9.20882939292814,8.0032e-05,1.5967890843197232,0.0098142278015932,2854.931209782111,0.0867381243922517,0.9974456708277354,0.997475484956197,0.0001784747742213,0.997546466406446,0.997404503505948,0.2813501914599332,0.0454512235046429,14.11871722421617,18,16,2,54.085962207987905
TIC_435167167,1011,1011,False,8.347509886274185,7.345673972333844,0.00080032,3.0368531561441334,0.0280539487544573,1791.1431698420045,0.1404638173872095,0.9982956953919307,0.9983848009000756,0.0001937315384485,0.9981262697536376,0.998543896990191,0.7486847663261791,0.037126221889332,8.50047573273198,8,7,1,6.0369187500327826
TIC_435861696,17981,17981,False,20.936257562576827,18.352882174033216,8.0032e-05,5.687609870756403,0.026693482960395,2855.4929163545335,0.0747184775599379,0.9571788954857324,0.963034703401974,0.0008242378004853,0.9641269298514816,0.9614375798201472,1.1744878724242682,0.1860955890823689,66.36591597887633,5,5,0,62.91929200000595
TIC_436099179,14737,14737,False,9.030286447972395,8.191492871402799,0.000160064,0.9010205210232868,0.0041215823745268,3235.6136749790144,0.0535961205117375,0.998686706383054,0.9988428053199424,0.00017480453971,0.9985043312951412,0.9992411509293196,1.489245552467802,0.0325902778862831,6.517636326848008,27,24,3,35.18703587498749
TIC_437156845,17845,17845,False,13.735613484324134,13.28288284367676,8.0032e-05,3.489178663554593,0.0155682765404172,3695.244309703328,0.0627936710599127,0.9971313973801532,0.9975664613342102,0.0003041357814047,0.9976368500727996,0.9974732997684296,0.1885826282574099,0.0481661952908996,7.8789838859326915,7,7,0,47.06509641703451
TIC_437740083,13868,13868,False,12.394855511186122,7.611174887629013,8.0032e-05,5.582743558909234,0.0437770040565541,3585.387935935089,0.0289388962058363,0.9954605699728838,0.9950994437864346,0.0003138836030104,0.9951185451094996,0.9950793873972168,0.0440787304577252,0.0605909567050251,14.32405794565397,5,2,3,40.44655362499179
TIC_437893926,14967,14967,False,12.327952716197748,11.264673483374938,8.0032e-05,3.839403227172636,0.0379057093144437,3236.525152569873,0.1517291761791652,0.9981152755960668,0.9981831005149818,0.0001956512353824,0.9981949227810948,0.9981653941072874,0.0529686943013718,0.0390419116038269,9.03088814102177,6,5,1,35.30416183400666
TIC_438295981,17388,17388,False,11.401755640980776,10.27920836362979,8.0032e-05,7.938623158126783,0.0463452733352571,2202.9794671241016,0.0602305276639709,0.9994177743953864,0.9995138136725218,6.612362203427374e-05,0.9995178061811836,0.99950982116386,0.0427121551182221,0.0216996534011804,7.837071925388602,4,4,0,35.90792958397651
TIC_438490744,14683,14683,False,13.287820183122882,12.99932826179506,8.0032e-05,1.665351116846112,0.0137115566302548,1468.502075339753,0.1072847575497493,0.9710650719175528,0.9748121159603524,0.0006755264625109,0.973479109145328,0.9762893875821976,1.4730347181994463,0.1529742562873871,38.775204040985166,13,13,0,32.55960112501634
TIC_439610306,16349,16349,False,6.782633578497878,6.155087252273393,0.013685474,1.8004073384487216,0.0135553732527733,2283.2610304745726,0.1472226752634534,0.9998927400877744,0.9999014902821738,1.786948094469475e-05,0.9999173335174074,0.9998858214221708,0.623654752615406,0.0093137776445679,5.342633766841933,13,12,1,23.62391495797783
