host,label,status,r_star_used,m_star_used,period_v3,duration_v3,SDE_v3,depth_v3,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,ttv_std,ttv_amplitude,elapsed_s
WASP-89,1.0,Success,0.88,0.92,3.35019706524071,0.0698384751277231,14.456047417786204,0.9899817359333872,2.3364261102676777e-05,0.00076419757326,-0.001520845894483,,2.905274254771666e-13,9.094947017729282e-13,38.898435749986675
WASP-90,1.0,Success,1.98,1.55,3.904561828962471,0.0715667440748161,9.907474029683629,0.9967863124843016,3.8704160020016615e-06,0.0005993242033331,-0.0004162563375715,-0.5011148194605263,0.0,0.0,12.761061750003137
WASP-91,1.0,Success,0.86,0.84,2.7978321964816137,0.0282778711828078,24.8637563872737,0.9976949506128484,3.2276539701424376e-06,0.0011632708186602,-0.0001086451175096,0.1593583575730443,1.3642420526593928e-13,4.547473508864641e-13,42.3732471659896
WASP-92,1.0,Success,1.341,1.19,2.179209619363796,0.0734364569742579,12.451283972348463,0.9927107077601968,1.831140241490035e-05,0.0013616238175383,0.0010619387531872,,3.078654119173417e-13,9.094947017729282e-13,22.076057041005697
WASP-93,1.0,Success,1.524,1.334,2.736359038285569,0.028392524036008,15.59177702973036,0.995318104207272,2.7112562357683215e-06,0.0004467845820997,-0.0002944488355636,-0.0892380412331616,1.1007680729470101e-13,2.273736754432321e-13,16.06769020797219
WASP-94_A,1.0,Success,1.48,1.67,3.94929178426716,0.0299025815311257,20.91991354663442,0.9980674352556764,1.1607616933717658e-06,0.0005366939369692,-6.018972878196749e-05,,1.452637127385833e-13,4.547473508864641e-13,26.927389459044207
WASP-94_B,1.0,Success,1.35,1.24,3.962378948839368,0.0299025815311257,10.048844710072778,0.9989519993812556,1.182169239218744e-06,0.0005810686700855,-7.688849159004363e-05,1.2378679368928556,7.956421225387263e-14,2.273736754432321e-13,26.7225104579702
WASP-95,1.0,Success,1.23,1.46,2.187599270231207,0.025818924982419,14.454036128817773,0.9992713335892228,6.436623192961067e-07,0.0012281809241449,3.550401587937291e-05,,1.6592739100719426e-13,4.547473508864641e-13,27.81720770895481
WASP-96,1.0,Success,1.05,1.06,3.428211858702938,0.0487293015657605,21.06880437748875,0.9908168819895627,7.971682951062621e-06,0.000453737932356,-0.0009692845144595,,2.5421149729252077e-13,6.821210263296962e-13,27.428088332992047
WASP-97,1.0,Success,1.08,1.18,2.0713616009900355,0.0262363467595405,21.429905522858277,0.9990696734576376,9.021464226463483e-07,0.0008038268854595,2.8876915083131394e-05,0.3316929767383708,1.1061826067146285e-13,2.273736754432321e-13,38.30200829199748
WASP-98,1.0,Success,0.741,0.809,2.96370206100344,0.0276560599157578,22.982460958900216,0.9850024439887596,1.8850689613076737e-05,0.0014692168587745,-0.0007110636241129,,2.5421149729252077e-13,6.821210263296962e-13,48.33613495796453
WASP-99,1.0,Success,1.64,1.21,5.7607915897272415,0.0318826148490613,13.547785323763955,0.9988968814923802,3.3893175921304536e-07,0.0008657594449491,-4.27941458793768e-05,,0.0,0.0,15.153015999996567
WD_0806-661,1.0,Success,1.0,0.605,8.766161097996966,0.0548080951790227,4.814322841138473,0.9947418135252792,0.0001215876069207,0.0005553322188113,0.0002079386982793,-1.4054881360109688,1.0718497851281241e-13,2.273736754432321e-13,39.44286012504017
WD_1856534,,Timed out after 900s,,,,,,,,,,,,,900.0
WISPIT_1,1.0,Success,1.1161,0.72,7.364498946872233,0.6977135846226914,6.070009427184288,0.9439227167979956,0.0009167449435021,0.0038299972180258,0.048588760926028,0.8796894275327962,1.0718497851281241e-13,2.273736754432321e-13,4.071712833014317
WISPIT_2,1.0,Success,1.3,1.08,9.038804947556468,0.0243644021004999,3.15076913757971,0.983880713808201,1.0655621823583153e-05,0.0109593440913642,1.4466028020576616e-05,-0.5508255657969873,0.0,0.0,17.72640516597312
WTS-1,1.0,Success,1.15,1.2,9.512127183979748,0.0939820613205147,5.235386013801296,0.926952486249812,0.0310643240310421,0.0450183236273623,0.0008985978274463,0.3209886089615207,2.1436995702562485e-13,4.547473508864641e-13,36.799458166991826
WTS-2,1.0,Success,0.752,0.82,1.0177706117260406,0.0462738246190688,16.43047960439024,0.92779981373465,0.017137135578207,0.0220578006798746,0.0251051232438106,,1.741650731862853e-13,4.547473508864641e-13,56.32354483398376
Wendelstein-1,1.0,Success,0.61,0.65,2.665903276193266,0.0646012986481708,20.09200822005795,0.9743507141578204,0.0007043853993537,0.003101201022239,0.0001031222329576,,1.3642420526593928e-13,4.547473508864641e-13,54.00969954195898
Wendelstein-2,1.0,Success,0.66,0.73,1.7532160077025258,0.0650255941383733,17.735691540031837,0.9391844790757023,0.0161269422283808,0.0131492654948647,0.007479060533871,,4.2156207695686947e-13,1.3642420526593924e-12,53.68460345797939
Wolf_1061,1.0,Success,0.307,0.294,6.8492082763480555,0.276595938437136,6.113516815603334,0.9998772660514844,7.797350028983394e-08,1.0841816706816393e-05,6.655877661354559e-06,,2.1436995702562485e-13,4.547473508864641e-13,37.68106925004395
Wolf_1069,1.0,Success,0.1813,0.167,0.2212811999213595,0.0234503858040401,11.51617315687042,0.9992682143023188,4.547902188810193e-06,0.0007522199177424,0.0006541435325675,1.067526399549127,1.1184059900124384e-13,2.273736754432321e-13,112.91344425000716
