host,status,t_search,t_download,search_method,n_sectors_downloaded
TIC_40709970,I/O operation on closed file.,,,,
TIC_1922433415,I/O operation on closed file.,,,,
TIC_1815961134,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,,
TIC_2054959106,Success,0.4413041669758968,13.960980792006012,tic_id_spoc,3.0
TIC_343646670,Success,0.6202161249821074,11.769405333034229,tic_id_spoc,3.0
TIC_1816317215,I/O operation on closed file.,,,,
TIC_219285759,I/O operation on closed file.,,,,
TIC_365893665,I/O operation on closed file.,,,,
TIC_424829832,I/O operation on closed file.,,,,
TIC_265467908,I/O operation on closed file.,,,,
TIC_1208919518,I/O operation on closed file.,,,,
TIC_299878316,I/O operation on closed file.,,,,
TIC_234281396,Success,0.6048577500041574,9.292350208968855,tic_id_spoc,3.0
TIC_276977013,I/O operation on closed file.,,,,
TIC_325280344,I/O operation on closed file.,,,,
TIC_1988815765,Success,0.930074459000025,9.485535166983029,tic_id_spoc,3.0
TIC_403237836,I/O operation on closed file.,,,,
TIC_371837199,Success,0.3970812499755993,13.70911683398299,tic_id_spoc,3.0
TIC_1688912454,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026060005000-s0101-0000001688912454-0303-s/tess2026060005000-s0101-0000001688912454-0303-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_464420341,I/O operation on closed file.,,,,
TIC_1688336549,I/O operation on closed file.,,,,
TIC_1688534307,I/O operation on closed file.,,,,
TIC_317058444,I/O operation on closed file.,,,,
TIC_300872489,I/O operation on closed file.,,,,
TIC_270245472,I/O operation on closed file.,,,,
TIC_372301002,I/O operation on closed file.,,,,
TIC_293797932,I/O operation on closed file.,,,,
TIC_265469420,Success,0.9361001249635592,7.802348124969285,tic_id_spoc,3.0
TIC_1816080118,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026060005000-s0101-0000001816080118-0303-s/tess2026060005000-s0101-0000001816080118-0303-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_392758970,I/O operation on closed file.,,,,
TIC_1140477485,I/O operation on closed file.,,,,
TIC_2026303220,I/O operation on closed file.,,,,
TIC_361966174,I/O operation on closed file.,,,,
TIC_341362242,I/O operation on closed file.,,,,
TIC_277125572,I/O operation on closed file.,,,,
TIC_424412802,I/O operation on closed file.,,,,
TIC_392762103,I/O operation on closed file.,,,,
TIC_341311287,I/O operation on closed file.,,,,
TIC_398447122,I/O operation on closed file.,,,,
TIC_39276230,I/O operation on closed file.,,,,
TIC_1311019215,I/O operation on closed file.,,,,
TIC_2026150531,I/O operation on closed file.,,,,
TIC_271579973,I/O operation on closed file.,,,,
TIC_402885783,Success,0.3310007919790223,8.84034720796626,tic_id_spoc,3.0
TIC_265285561,I/O operation on closed file.,,,,
TIC_304858871,I/O operation on closed file.,,,,
TIC_311962767,I/O operation on closed file.,,,,
TIC_380829837,I/O operation on closed file.,,,,
TIC_406242857,I/O operation on closed file.,,,,
TIC_339401388,Success,0.4081024170154705,6.800149416027125,tic_id_spoc,3.0
TIC_304663241,I/O operation on closed file.,,,,
TIC_304482614,I/O operation on closed file.,,,,
TIC_1815902326,I/O operation on closed file.,,,,
TIC_411978510,I/O operation on closed file.,,,,
TIC_45754445,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026060005000-s0101-0000000045754445-0303-a_fast/tess2026060005000-s0101-0000000045754445-0303-a_fast-lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_1922731130,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026060005000-s0101-0000001922731130-0303-s/tess2026060005000-s0101-0000001922731130-0303-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_410416107,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026060005000-s0101-0000000410416107-0303-a_fast/tess2026060005000-s0101-0000000410416107-0303-a_fast-lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_339276534,I/O operation on closed file.,,,,
TIC_343165279,Success,0.514873250038363,6.407959958014544,tic_id_spoc,3.0
TIC_1205693844,I/O operation on closed file.,,,,
TIC_372300399,I/O operation on closed file.,,,,
TIC_350463976,I/O operation on closed file.,,,,
TIC_2026046338,I/O operation on closed file.,,,,
TIC_303555469,I/O operation on closed file.,,,,
TIC_1988646496,I/O operation on closed file.,,,,
TIC_350462060,I/O operation on closed file.,,,,
TIC_343720622,I/O operation on closed file.,,,,
TIC_1116764594,I/O operation on closed file.,,,,
TIC_447691425,I/O operation on closed file.,,,,
