host,label,status,elapsed_s,SDE,SDE_raw,FAP,period,period_uncertainty,T0,duration,depth,depth_mean,depth_mean_std,depth_mean_even,depth_mean_odd,odd_even_mismatch,rp_rs,snr,transit_count,distinct_transit_count,empty_transit_count,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,depth_duration_ratio,st_rad,st_teff,st_mass
KIC_6442377,1,Success,2516.1462898254395,41.65806537180366,20.68039186210649,8.0032e-05,368.06825072767765,0.566628773885725,168.7125530302872,1.027439725046741,0.9805093216800294,0.9835039974907446,0.0010235400410678814,0.988174595318339,0.9803902656056815,3.716207735048848,0.12555112939068394,33.833519442263956,4.0,3.0,1.0,6.246234780140672e-06,0.004523167315396061,-3.0543263893623163e-06,-0.7896923245287014,0.954322961997039,1.518,6325.0,1.296
KIC_7428736,1,Success,4301.08011007309,44.73152995973936,17.70095683364701,8.0032e-05,670.9330568629795,1.0951268362658766,801.7644171330376,1.4435047063690398,0.9711266681944648,0.9735351219127651,0.001516058658339212,0.9719240010501005,0.9750119827035415,0.7355611658901343,0.15281134479392094,33.15036580253272,2.0,2.0,0.0,1.332787440908711e-05,0.0015439908267205205,1.8418549178833565e-05,-0.4670050582085427,0.6727561496056467,0.818,5305.0,0.753
KIC_5269467,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],12912.668892860413,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_10724369,1,Success,18381.1552901268,45.188678662133846,27.307368751047445,8.0032e-05,373.8043454733858,0.4620992981394636,349.14531013775263,0.9635461450801566,0.96667731469107,0.9664719130060574,0.0015807999150706735,0.968172079954232,0.9647717460578833,0.787422366882371,0.1641637040992836,36.73912094124062,4.0,3.0,1.0,1.2848940749147627e-05,0.006085095177088589,-3.779375704837662e-06,-0.5301152697809438,1.0032496311950405,0.962,5949.0,1.05
KIC_5953297,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],23514.729375123978,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_10670119,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],23880.785957098007,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_6029239,1,Success,22952.418612003326,34.31989909904656,12.749464185895581,8.0032e-05,310.8611537999245,0.38433531518467134,130.6751532283049,1.0059154076795445,0.9920757707178978,0.9924652258633956,0.001090357996535832,0.9935085456362055,0.9909923038311931,0.8145701619298626,0.08005448414611253,29.636794714436366,5.0,5.0,0.0,2.4529904540949494e-06,0.006513280858952831,8.444347318170564e-06,-1.1328245739147451,0.9862417487037284,0.881,5767.0,0.979
KIC_6287313,1,Success,20131.1451048851,55.17874451000066,22.94990128675478,8.0032e-05,368.07307824701616,0.4784911525357529,168.6616876593198,1.1647164243510832,0.9849096217219918,0.985925990643558,0.0011094518314221087,0.9901353037206634,0.9833536326519936,2.838678771748389,0.11047327021655112,36.25338557628079,4.0,3.0,1.0,3.910347589699005e-06,0.0052918622739742014,1.744088106492292e-06,-0.6818729752411361,0.8456218192945377,1.014,6082.0,1.041
KIC_9834040,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],21411.886942863464,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_8278371,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],21442.614580869675,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_5445681,1,Success,13498.004363059998,72.7374697612399,35.4106463639866,8.0032e-05,371.0393872934414,0.7764450013946487,260.5883971596543,1.6709647767158724,0.9826805577938119,0.9858307694389896,0.0008775912662942206,0.9865470364001869,0.9850913970919473,0.589448700826256,0.11835159012136091,50.53157755513478,4.0,4.0,0.0,3.6581870215861635e-06,0.00466238850052981,-2.282502713502055e-06,4.3907559393667475,0.5880917249046866,1.002,5952.0,0.942
KIC_8212002,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],1375.1816923618317,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_9592705,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],852.3055460453033,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_4665571,1,Success,2146.5167191028595,33.60578422766106,11.540263217323384,8.0032e-05,570.9692275332498,0.5285144156665638,230.69160540868853,1.124919489895364,0.9410223814040537,0.9569064608756944,0.005235349120632911,1.0003731844269614,0.9502192726370378,14.966510976250328,0.21839905915427285,34.33523949642467,3.0,2.0,1.0,2.0736301830515543e-05,0.02507695589496184,-6.671783454592628e-07,0.765565502814607,0.8365242044935893,0.788,4821.0,0.765
KIC_7849854,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],2417.9674599170685,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_8890150,1,Success,7829.938678979874,37.433609127201294,15.818819145929323,8.0032e-05,370.9362166502137,0.5349337825088014,257.8440402464514,1.1987196370963265,0.9834924405129903,0.9847284784400501,0.0014989488986816473,0.9766831293941943,0.9934174554095744,6.215251951981917,0.11554431502726156,43.73054027168911,4.0,4.0,0.0,5.676006335382285e-06,0.010182128829968697,4.952239094468958e-06,0.060401724890135226,0.8204524311417108,0.521,3765.0,0.526
KIC_5978559,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],1988.63823056221,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_4478168,1,"TLS: Required feature(s) not computable: ['depth_mean_odd', 'odd_even_mismatch', 'transit_shape_ratio']",1328.1881291866302,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_8947520,1,Success,2210.129576921463,44.254566954750175,14.349033645948227,8.0032e-05,415.70833601670256,0.6434193954125078,170.58631348068343,1.1042924467225974,0.9891704128369664,0.9907477596417957,0.0012842374986636951,0.9855817614582425,1.0002187563116431,19.19594721623927,0.09358647668388546,33.50598181872153,4.0,3.0,1.0,2.270670663348148e-06,0.00689591033105376,1.5647689761699723e-05,-0.9140566045945753,0.895750410837909,0.886,5580.0,0.989
KIC_9150827,1,Success,9395.08430981636,84.35239764774197,31.908097944054898,8.0032e-05,368.01848605184875,0.4244518787944287,168.82897818114463,1.0480513605931796,0.9818698371830253,0.9842951510092719,0.000796526929943962,0.9872380827826039,0.9825293919452726,2.4007841673864956,0.12108992186894935,43.1008927840442,4.0,3.0,1.0,3.3415463421415844e-06,0.0023753066774911025,7.4837580981146345e-06,0.026422849418877837,0.9368527861337859,0.553,3957.0,0.551
KIC_8547140,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],13264.675827264786,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_8583696,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],11631.72951388359,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_6786348,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],11995.687940835953,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_9006449,1,"TLS: Required feature(s) not computable: ['depth_mean_odd', 'odd_even_mismatch', 'depth_consistency_std', 'transit_shape_ratio']",12368.797976970673,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_10080248,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],12463.48097395897,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_8009350,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],13271.37834906578,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_5364071,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],14720.943311214447,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_11403389,1,"TLS: Required feature(s) not computable: ['depth_mean_odd', 'odd_even_mismatch', 'depth_consistency_std', 'transit_shape_ratio']",4096.612152099609,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_7419318,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],8468.917376041412,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_9782691,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],2536.1001267433167,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_5966322,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],3782.1286931037903,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_7457296,1,Success,4556.041666030884,48.69586317849808,28.35868464612885,8.0032e-05,370.91621029099304,0.7749707280132441,257.7647446910127,1.3691883374225529,0.9806442609285893,0.9829407695275093,0.000796679290453044,0.983528004776505,0.9823731087868136,0.5183294824043723,0.12511576229238042,52.3405285650799,4.0,4.0,0.0,5.073729810130203e-06,0.004011900421912035,-1.1075935308246798e-05,0.8110862600977339,0.716223060134018,0.778,5178.0,0.732
